state_id,scenario_id,scenario,horizon,baseline_uncertainty_id,category,subject_id,current_fact,scenario_assumption,uncertainty_state,assumption_id,source_or_basis,reality_status,canon_status,relationship_basis,notes
VECUNCSTATE-A2050-001,A2050,Managed Ecological Adaptation,2050,VUNC-001,presence_vs_abundance,VEC-001,CURRENT FACT (2026 baseline): Ohio presence and habitat documentation do not quantify local abundance.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-01,VFS-001,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-002,A2050,Managed Ecological Adaptation,2050,VUNC-002,study_generalization,VEC-004,CURRENT FACT (2026 baseline): Wooster and Michigan study findings are not a Western Basin-wide range or abundance estimate.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-03,VFS-003,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-003,A2050,Managed Ecological Adaptation,2050,VUNC-003,tick_no_records,VEC-006,CURRENT FACT (2026 baseline): CDC no-record county status is not evidence of tick absence.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-01,VFS-022,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-004,A2050,Managed Ecological Adaptation,2050,VUNC-004,county_scale,VEC-006,CURRENT FACT (2026 baseline): CDC county status does not resolve precise local distribution within a county.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-03,VFS-022,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-005,A2050,Managed Ecological Adaptation,2050,VUNC-005,mosquito_effort,VEC-015,CURRENT FACT (2026 baseline): Ohio pooled counts do not provide comparable county-level trap effort or species composition.,"SCENARIO ASSUMPTION: Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-04,VFS-021,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-006,A2050,Managed Ecological Adaptation,2050,VUNC-006,program_coverage,VEC-016,"CURRENT FACT (2026 baseline): Michigan surveillance totals reflect participating jurisdictions and program methods, not uniform statewide coverage.","SCENARIO ASSUMPTION: Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-04,VFS-025,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-007,A2050,Managed Ecological Adaptation,2050,VUNC-007,state_effort,VEC-017,CURRENT FACT (2026 baseline): Indiana 2026 positive-county summary does not report comparable sampling effort or species-level counts.,"SCENARIO ASSUMPTION: Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-04,VFS-026,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-008,A2050,Managed Ecological Adaptation,2050,VUNC-008,pathogen_health_boundary,VEC-019,"CURRENT FACT (2026 baseline): A positive mosquito pool or tick pathogen record is not a human case, infection, clinical disease, or local transmission proof.","SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-01,VFS-023,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-009,A2050,Managed Ecological Adaptation,2050,VUNC-009,case_geography,VEC-020,CURRENT FACT (2026 baseline): Human case county-of-residence data are not necessarily exposure or infection location.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction,VEFA-A2050-01,VFS-024,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2050-010,A2050,Managed Ecological Adaptation,2050,VUNC-010,held_geometry,VEC-008,CURRENT FACT (2026 baseline): Great Black Swamp remains C — HOLD / noncanonical and is not used as a vector habitat polygon.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. selected review priorities are emerging; Great Black Swamp remains C — HOLD / noncanonical; no future vector habitat polygon is derived from the held geometry.,VEFA-A2050-03,VFS-015,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-001,A2075,Managed Ecological Adaptation,2075,VUNC-001,presence_vs_abundance,VEC-001,CURRENT FACT (2026 baseline): Ohio presence and habitat documentation do not quantify local abundance.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-01,VFS-001,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-002,A2075,Managed Ecological Adaptation,2075,VUNC-002,study_generalization,VEC-004,CURRENT FACT (2026 baseline): Wooster and Michigan study findings are not a Western Basin-wide range or abundance estimate.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-03,VFS-003,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-003,A2075,Managed Ecological Adaptation,2075,VUNC-003,tick_no_records,VEC-006,CURRENT FACT (2026 baseline): CDC no-record county status is not evidence of tick absence.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-01,VFS-022,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-004,A2075,Managed Ecological Adaptation,2075,VUNC-004,county_scale,VEC-006,CURRENT FACT (2026 baseline): CDC county status does not resolve precise local distribution within a county.,"SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-03,VFS-022,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-005,A2075,Managed Ecological Adaptation,2075,VUNC-005,mosquito_effort,VEC-015,CURRENT FACT (2026 baseline): Ohio pooled counts do not provide comparable county-level trap effort or species composition.,"SCENARIO ASSUMPTION: Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-04,VFS-021,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-006,A2075,Managed Ecological Adaptation,2075,VUNC-006,program_coverage,VEC-016,"CURRENT FACT (2026 baseline): Michigan surveillance totals reflect participating jurisdictions and program methods, not uniform statewide coverage.","SCENARIO ASSUMPTION: Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-04,VFS-025,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
VECUNCSTATE-A2075-007,A2075,Managed Ecological Adaptation,2075,VUNC-007,state_effort,VEC-017,CURRENT FACT (2026 baseline): Indiana 2026 positive-county summary does not report comparable sampling effort or species-level counts.,"SCENARIO ASSUMPTION: Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. recurring review routines are mature; uncertainty remains explicit and becomes a candidate for coordinated monitoring or review; it is not resolved by scenario construction",VEFA-A2075-04,VFS-026,fictional,scenario,scenario_assumption,"Uncertainty state preserves source, scale, method, and hold limitations; no probability, abundance, disease, human-risk, or future range claim is created."
