source_id,title,url,product_or_endpoint,source_type,evidence_role,spatial_scope,temporal_scope,use_limitations
d9_nca_midwest,Fifth National Climate Assessment Midwest chapter,https://doi.org/10.7930/NCA5.2023.CH24,"Regional climate hazards, infrastructure, agriculture, and ecological context",federal_assessment,dependency and future context,Midwest / Great Lakes,historical and projected,"Regional assessment; not a local damage, outage, or health model."
d9_nca_energy,Fifth National Climate Assessment energy chapter,https://doi.org/10.7930/NCA5.2023.CH5,"Heat, cooling demand, and energy-system context",federal_assessment,thermal and energy dependency,United States / Midwest,historical and projected,Supports direction and mechanism; no local outage probability.
d9_epa_great_lakes,EPA Great Lakes climate indicators,https://www.epa.gov/climate-indicators/great-lakes,Observed lake levels/temperature and variability context,federal_indicators,lake-level and freight context,Great Lakes,1860-present observations,Observed indicators and synthesis; not a shoreline or damage model.
d9_noaa_seiche,NOAA seiche explanation,https://oceanservice.noaa.gov/facts/seiche.html,Seiche and wind-driven standing-wave mechanism,federal_science,coastal compound mechanism,Great Lakes and enclosed waters,process context,Mechanism source; no local recurrence estimate.
d9_glerl_ice,NOAA GLERL Great Lakes ice cover,https://www.glerl.noaa.gov/data/ice,Ice-cover observations and archive context,federal_dataset,winter/coastal context,Great Lakes,1973-present,Lake-wide ice cover does not establish local shoreline ice shove or harbor conditions.
d9_noaa_llv,NOAA Office for Coastal Management Lake Level Viewer,https://coast.noaa.gov/llv,Screening-level lake-level inundation context,federal_tool,coastal control/context,Great Lakes shoreline,historical and scenario viewer,Calm-day mapped extent excludes wind-driven waves and seiche; not a local damage model.
d9_noaa_inundation,NOAA CO-OPS inundation database,https://tidesandcurrents.noaa.gov/inundationdb/inundation.html?id=9063085,Station-specific coastal-inundation context,federal_tool,coastal warning/context,Toledo station / shoreline,station product,Not adopted as a new inundation footprint in this qualitative layer.
d9_nws_gl_obs,NWS Great Lakes observations,https://www.weather.gov/greatlakes/globs,"Lake wind, wave, and observation service context",federal_service,monitoring dependency,Great Lakes / station network,current and archived observations,Observation access does not imply complete shoreline coverage.
d9_nws_cle_winter,NWS Cleveland winter forecasts,https://www.weather.gov/cle/winter,"Snow, ice, and winter forecast products",federal_service,warning and seasonal dependency,NWS forecast area,current operational products,Forecast products are not historical climatology or infrastructure-loss estimates.
d9_pnas_hab,Western Lake Erie agricultural and meteorological HAB study,https://www.pnas.org/doi/10.1073/pnas.1216006110,Documented nutrient/meteorological/ecological compound mechanism,peer_reviewed,precipitation-nutrient compound mechanism,Western Lake Erie,2011 event and future-consistency analysis,Mechanism evidence; no future bloom magnitude or health outcome.
d9_fema_nfhl,FEMA National Flood Hazard Layer,https://www.fema.gov/flood-maps/national-flood-hazard-layer,Regulatory flood-hazard mapping context,federal_web,flood-planning context,floodplain / mapped community,current product context,Regulatory zones remain distinct from observed flood footprints.
