projection_id,hazard_family,metric,value,units,baseline_period,projection_period,scenario_or_model,model_ensemble_or_method,spatial_scope,observed_or_modeled,source_id,confidence,limitations
PRJ-001,extreme_heat,average air temperature change,3.0 to 5.8,deg F,1980-1999,2040-2059,regional synthesis,GLISA synthesis; source does not map range to one scenario,U.S. and Canadian Great Lakes,modeled_projection,c9_glisa_summary,moderate,Regional range; not a western Lake Erie shoreline or municipal value.
PRJ-002,extreme_heat,average air temperature change,6.3 to 11.4,deg F,1980-1999,2080-2099,regional synthesis,GLISA synthesis,U.S. and Canadian Great Lakes,modeled_projection,c9_glisa_summary,moderate,Late-century bounding range; not a 2075 point estimate.
PRJ-003,extreme_heat,annual days above 90 F change,9 to 37,days per year,1980-1999,2040-2059,regional synthesis,GLISA synthesis,Great Lakes region,modeled_projection,c9_glisa_trends,moderate,Regional range; no local heat-index or mortality inference.
PRJ-004,extreme_heat,annual days above 90 F change,27 to 66,days per year,1980-1999,2080-2099,regional synthesis,GLISA synthesis,Great Lakes region,modeled_projection,c9_glisa_trends,moderate,Late-century bounding range; not a 2075 point estimate.
PRJ-005,heavy_precipitation_flooding,annual precipitation change envelope,-0.3 to +4.2,inches,1980-1999,mid/late-century synthesis,regional synthesis,GLISA summary envelope,Great Lakes region,modeled_projection,c9_glisa_summary,limited,Metric and model aggregation are broad; no flood damage or inundation value.
PRJ-006,all,downscaled daily grid resolution,6,kilometers,1950-2014 historical training/reference,1950-2100,SSP245; SSP370; SSP585,LOCA version 2; up to 27 CMIP6 models and up to 10 members where available,North America / Great Lakes,model_metadata,c9_loca2,high,Method metadata; numeric regional climate slices require explicit extraction and windowing.
PRJ-007,lake_coastal,lake-level change branch,-24 to -132,millimeters,1980-1999,2040-2059,MIROC5 / RCP8.5,25 km RegCM4 plus 1-D lake model and GLERL channel model,Great Lakes cross-lake,modeled_projection,c9_notaro_levels,limited,Opposing-sign branch range; not western Lake Erie shoreline or inundation.
PRJ-008,lake_coastal,lake-level change branch,+75 to +180,millimeters,1980-1999,2040-2059,CNRM / RCP8.5,25 km RegCM4 plus 1-D lake model and GLERL channel model,Great Lakes cross-lake,modeled_projection,c9_notaro_levels,limited,Opposing-sign branch range; not western Lake Erie shoreline or inundation.
PRJ-009,lake_coastal,lake-level change branch,-97 to -296,millimeters,1980-1999,2080-2099,MIROC5 / RCP8.5,25 km RegCM4 plus 1-D lake model and GLERL channel model,Great Lakes cross-lake,modeled_projection,c9_notaro_levels,limited,Late-century bound; not a 2075 point estimate.
PRJ-010,lake_coastal,lake-level change branch,+134 to +420,millimeters,1980-1999,2080-2099,CNRM / RCP8.5,25 km RegCM4 plus 1-D lake model and GLERL channel model,Great Lakes cross-lake,modeled_projection,c9_notaro_levels,limited,Late-century bound; not a 2075 point estimate.
PRJ-011,winter,heavy lake-effect snow day change,-35 to -46,percent,1980-1999,2080-2099,MIROC5/CNRM / RCP8.5,25 km RegCM4 with 1-D lake model,Great Lakes / Lake Erie context,modeled_projection,c9_notaro_snow,limited,Older model study; heavy events remain possible and no exact storm count is inferred.
PRJ-012,heavy_precipitation_flooding,precipitation change envelope,10 to 20,percent,1980-1999,2041-2060,multi-ensemble / mixed pathways,"CMIP5, NARCCAP, and RCM4 comparisons",Great Lakes and Western Lake Erie Basin,modeled_projection,c9_basile_precip,limited,Seasonal/model-dependent range; no direct 2075 support.
