regime_effect_id,test_id,regime_id,scenario_id,horizon,scenario_family,phase16a_technology_modifier_id,phase16a_rule_ids,phase15_modifier_lineage_ids,phase15_anchor_state_ids,phase15_state_evidence_class,observability_effect,coupling_effect,dependency_effect,redundancy_effect,coordination_effect,substitution_effect,governance_friction_effect,digital_dependence_effect,phase16a_allowed_effects,relationship_status,uncertainty,source_lineage,notes
REGIME-EFFECT-16B-001,P16B-CAND-001,A,A2050,2050,Coordinated Technological Adaptation,TM-16A-009,RULE-16A-001;RULE-16A-005;RULE-16A-006;RULE-16A-016,TSS-A2050-01;TDS-A2050-01,TSS-A2050-01;TDS-A2050-01;TGS-A2050-01,SCENARIO_STATE,may increase observability in selected interfaces,"compute, energy, data, and maintenance coupling remains visible",may reduce or delay selected pathway effects without removing dependency,selected redundancy or substitution options remain scenario-qualified,may improve coordination while human authority remains required,may create selected substitution options without proving continuity,governance friction and stewardship requirements remain visible,digital dependence remains visible where observation or compute is used,reduce propagation; improve coordination; increase observability,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-009; Phase 15B TSS-A2050-01; TDS-A2050-01; Phase 15B anchor states TSS-A2050-01;TDS-A2050-01;TGS-A2050-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-002,P16B-CAND-001,A,A2075,2075,Coordinated Technological Adaptation,TM-16A-009,RULE-16A-001;RULE-16A-005;RULE-16A-006;RULE-16A-016,TSS-A2050-01;TDS-A2050-01,TSS-A2075-01;TDS-A2075-01;TGS-A2075-01,SCENARIO_STATE,may increase observability in selected interfaces,"compute, energy, data, and maintenance coupling remains visible",may reduce or delay selected pathway effects without removing dependency,selected redundancy or substitution options remain scenario-qualified,may improve coordination while human authority remains required,may create selected substitution options without proving continuity,governance friction and stewardship requirements remain visible,digital dependence remains visible where observation or compute is used,reduce propagation; improve coordination; increase observability,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-009; Phase 15B TSS-A2050-01; TDS-A2050-01; Phase 15B anchor states TSS-A2075-01;TDS-A2075-01;TGS-A2075-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-003,P16B-CAND-001,B,B2050,2050,Uneven Networked Modernization,TM-16A-010,RULE-16A-001;RULE-16A-005;RULE-16A-006;RULE-16A-016,TSS-B2050-01;TDS-B2050-01,TSS-B2050-01;TDS-B2050-01;TGS-B2050-01,SCENARIO_STATE,observability may be redistributed across strong and weak interfaces,"coupling may increase at bridges, duplication points, and negotiated interfaces",dependency may be redistributed without a guaranteed continuity result,duplication or alternate options may be uneven; they are not immunity,coordination remains uneven and may require negotiation across interfaces,may create uneven substitution options with qualified access,"interoperability, trust, and workforce friction may persist",digital dependence may be redistributed rather than removed,create substitution options; increase coupling; shift workforce requirements,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-010; Phase 15B TSS-B2050-01; TDS-B2050-01; Phase 15B anchor states TSS-B2050-01;TDS-B2050-01;TGS-B2050-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-004,P16B-CAND-001,B,B2075,2075,Uneven Networked Modernization,TM-16A-010,RULE-16A-001;RULE-16A-005;RULE-16A-006;RULE-16A-016,TSS-B2050-01;TDS-B2050-01,TSS-B2075-01;TDS-B2075-01;TGS-B2075-01,SCENARIO_STATE,observability may be redistributed across strong and weak interfaces,"coupling may increase at bridges, duplication points, and negotiated interfaces",dependency may be redistributed without a guaranteed continuity result,duplication or alternate options may be uneven; they are not immunity,coordination remains uneven and may require negotiation across interfaces,may create uneven substitution options with qualified access,"interoperability, trust, and workforce friction may persist",digital dependence may be redistributed rather than removed,create substitution options; increase coupling; shift workforce requirements,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-010; Phase 15B TSS-B2050-01; TDS-B2050-01; Phase 15B anchor states TSS-B2075-01;TDS-B2075-01;TGS-B2075-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-005,P16B-CAND-001,C,C2050,2050,High Capability / High Friction Basin,TM-16A-011,RULE-16A-001;RULE-16A-005;RULE-16A-006;RULE-16A-016,TSS-C2050-01;TDS-C2050-01,TSS-C2050-01;TDS-C2050-01;TGS-C2050-01,SCENARIO_STATE,capability may increase observability at selected nodes without guaranteeing interpretation,"coupling may increase across energy, data, maintenance, and governance seams",selected dependencies may become more consequential without implying collapse,technical options may coexist with brittle maintenance and replacement capacity,coordination may be delayed or contested at high-friction interfaces,selected alternatives may exist without proving access or continuity,governance and trust friction may increase while authority remains human,digital exposure and dependence may increase where capability is tightly coupled,increase observability; increase coupling; create governance / trust friction; create cyber / digital exposure,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-011; Phase 15B TSS-C2050-01; TDS-C2050-01; Phase 15B anchor states TSS-C2050-01;TDS-C2050-01;TGS-C2050-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-006,P16B-CAND-001,C,C2075,2075,High Capability / High Friction Basin,TM-16A-011,RULE-16A-001;RULE-16A-005;RULE-16A-006;RULE-16A-016,TSS-C2050-01;TDS-C2050-01,TSS-C2075-01;TDS-C2075-01;TGS-C2075-01,SCENARIO_STATE,capability may increase observability at selected nodes without guaranteeing interpretation,"coupling may increase across energy, data, maintenance, and governance seams",selected dependencies may become more consequential without implying collapse,technical options may coexist with brittle maintenance and replacement capacity,coordination may be delayed or contested at high-friction interfaces,selected alternatives may exist without proving access or continuity,governance and trust friction may increase while authority remains human,digital exposure and dependence may increase where capability is tightly coupled,increase observability; increase coupling; create governance / trust friction; create cyber / digital exposure,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-011; Phase 15B TSS-C2050-01; TDS-C2050-01; Phase 15B anchor states TSS-C2075-01;TDS-C2075-01;TGS-C2075-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-007,P16B-CAND-002,A,A2050,2050,Coordinated Technological Adaptation,TM-16A-009,RULE-16A-012;RULE-16A-014;RULE-16A-015,TSS-A2050-01;TDS-A2050-01,TSS-A2050-01;TDS-A2050-01;TGS-A2050-01,SCENARIO_STATE,may increase observability in selected interfaces,"compute, energy, data, and maintenance coupling remains visible",may reduce or delay selected pathway effects without removing dependency,selected redundancy or substitution options remain scenario-qualified,may improve coordination while human authority remains required,may create selected substitution options without proving continuity,governance friction and stewardship requirements remain visible,digital dependence remains visible where observation or compute is used,reduce propagation; improve coordination; increase observability,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-009; Phase 15B TSS-A2050-01; TDS-A2050-01; Phase 15B anchor states TSS-A2050-01;TDS-A2050-01;TGS-A2050-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-008,P16B-CAND-002,A,A2075,2075,Coordinated Technological Adaptation,TM-16A-009,RULE-16A-012;RULE-16A-014;RULE-16A-015,TSS-A2050-01;TDS-A2050-01,TSS-A2075-01;TDS-A2075-01;TGS-A2075-01,SCENARIO_STATE,may increase observability in selected interfaces,"compute, energy, data, and maintenance coupling remains visible",may reduce or delay selected pathway effects without removing dependency,selected redundancy or substitution options remain scenario-qualified,may improve coordination while human authority remains required,may create selected substitution options without proving continuity,governance friction and stewardship requirements remain visible,digital dependence remains visible where observation or compute is used,reduce propagation; improve coordination; increase observability,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-009; Phase 15B TSS-A2050-01; TDS-A2050-01; Phase 15B anchor states TSS-A2075-01;TDS-A2075-01;TGS-A2075-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-009,P16B-CAND-002,B,B2050,2050,Uneven Networked Modernization,TM-16A-010,RULE-16A-012;RULE-16A-014;RULE-16A-015,TSS-B2050-01;TDS-B2050-01,TSS-B2050-01;TDS-B2050-01;TGS-B2050-01,SCENARIO_STATE,observability may be redistributed across strong and weak interfaces,"coupling may increase at bridges, duplication points, and negotiated interfaces",dependency may be redistributed without a guaranteed continuity result,duplication or alternate options may be uneven; they are not immunity,coordination remains uneven and may require negotiation across interfaces,may create uneven substitution options with qualified access,"interoperability, trust, and workforce friction may persist",digital dependence may be redistributed rather than removed,create substitution options; increase coupling; shift workforce requirements,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-010; Phase 15B TSS-B2050-01; TDS-B2050-01; Phase 15B anchor states TSS-B2050-01;TDS-B2050-01;TGS-B2050-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
REGIME-EFFECT-16B-010,P16B-CAND-002,B,B2075,2075,Uneven Networked Modernization,TM-16A-010,RULE-16A-012;RULE-16A-014;RULE-16A-015,TSS-B2050-01;TDS-B2050-01,TSS-B2075-01;TDS-B2075-01;TGS-B2075-01,SCENARIO_STATE,observability may be redistributed across strong and weak interfaces,"coupling may increase at bridges, duplication points, and negotiated interfaces",dependency may be redistributed without a guaranteed continuity result,duplication or alternate options may be uneven; they are not immunity,coordination remains uneven and may require negotiation across interfaces,may create uneven substitution options with qualified access,"interoperability, trust, and workforce friction may persist",digital dependence may be redistributed rather than removed,create substitution options; increase coupling; shift workforce requirements,NO NEW PROPAGATION PATHWAY — REGIME MODIFIER ONLY,"Scenario-conditioned qualitative effect; horizon-specific deployment, capacity, adoption, and successful adaptation remain unknown.",Phase 16A TM-16A-010; Phase 15B TSS-B2050-01; TDS-B2050-01; Phase 15B anchor states TSS-B2075-01;TDS-B2075-01;TGS-B2075-01,A/B/C are compared without ranking. The 2075 anchor is context for the frozen regime family; it does not create a new propagation rule or horizon-specific technology guarantee. Technology is not automatically protective.
