source_id,title,url,source_type,publication_or_period,retrieval_date,geographic_scale,method_or_product,evidence_use,use_limitations,retrieval_url,retrieval_provenance
s13_nndss_about,CDC National Notifiable Diseases Surveillance System,https://www.cdc.gov/nndss/about/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,United States / state-local-territorial reporting,case surveillance system overview,NNDSS case-surveillance structure and public-health reporting interface,Case surveillance is not a complete census of infection; disease-specific definitions and reporting completeness vary.,https://www.cdc.gov/nndss/about/index.html,web_extract/source-page verification on 2026-09-09
s13_nndss_wonder,CDC WONDER NNDSS Data,https://wonder.cdc.gov/nndss.html,federal_surveillance,annual and weekly tables; page reviewed 2026-09-09,2026-09-09,United States / jurisdiction and disease tables,reported occurrence tables,reported occurrence and state/territorial reporting basis,"Published occurrence is not exposure geography, infection incidence for all infections, or local transmission.",https://wonder.cdc.gov/nndss.html,web_extract/source-page verification on 2026-09-09
s13_cdc_wnv,CDC West Nile Data and Maps,https://www.cdc.gov/west-nile-virus/data-maps,federal_surveillance,current-year and historic data page; accessed 2026-09-09,2026-09-09,United States / state and territorial,ArboNET and NNDSS context,"separate vector, animal, and human West Nile reporting streams",The page does not make a positive vector record a human infection or transmission finding.,https://www.cdc.gov/west-nile-virus/data-maps,web_extract/source-page verification on 2026-09-09
s13_cdc_lyme,CDC Lyme Disease Surveillance and Data,https://www.cdc.gov/lyme/data-research/facts-stats/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,United States / state and county of residence context,NNDSS case-surveillance context,Lyme case-surveillance geography and reporting limitations,Reported case geography does not identify the place of exposure or local transmission.,https://www.cdc.gov/lyme/data-research/facts-stats/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_legionella_surv,CDC Legionellosis Surveillance and Trends,https://www.cdc.gov/legionella/php/surveillance/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,United States / jurisdiction and national,two national surveillance systems; NNDSS trend context,"Legionellosis surveillance structure, reported cases, provisional status, and exposure fields",Reported cases are descriptive surveillance data; environmental source attribution requires investigation.,https://www.cdc.gov/legionella/php/surveillance/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_legionella_about,CDC About Legionnaires' Disease,https://www.cdc.gov/legionella/about/index.html,federal_public_health,current page; accessed 2026-09-09,2026-09-09,United States / general transmission context,clinical and transmission pathway reference,Legionella aerosolized-water and healthcare/building-water interface,General pathway biology is not a local building contamination or illness finding.,https://www.cdc.gov/legionella/about/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_water_surv,CDC Waterborne Disease Surveillance,https://www.cdc.gov/healthy-water-data/about/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,United States / outbreak investigation,waterborne disease surveillance and outbreak definition,"waterborne surveillance, exposure-location linkage, and outbreak-definition boundary","A water condition does not establish treatment failure, exposure, infection, or illness without a supported evidence chain.",https://www.cdc.gov/healthy-water-data/about/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_nors,CDC National Outbreak Reporting System,https://www.cdc.gov/nors/about/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,United States / state-local-territorial outbreak reporting,outbreak reports through SEDRIC/NORS,"waterborne, foodborne, animal-contact, and enteric outbreak reporting structure","NORS is outbreak reporting, not a denominator for all infections or a continuous local incidence series.",https://www.cdc.gov/nors/about/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_enteric,CDC National Enteric Disease Surveillance,https://www.cdc.gov/national-enteric-surveillance/about/index.html,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,United States / state and territorial laboratories,case-based and laboratory-based surveillance,"Campylobacter, Salmonella, Shigella, and STEC laboratory surveillance plus case-based systems",Laboratory reporting captures identified infections and does not equal all community infections or exposure locations.,https://www.cdc.gov/national-enteric-surveillance/about/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_foodnet,CDC FoodNet,https://www.cdc.gov/foodnet/about/index.html,federal_surveillance,current page; reporting changes after 2025-07-01,2026-09-09,FoodNet surveillance area / ten state health departments,active laboratory-based surveillance,"eight-pathogen surveillance scope, participating partners, coverage, and reporting changes",FoodNet is not a Western Basin county surveillance system; its surveillance area and reporting rules differ from NNDSS/LEDS.,https://www.cdc.gov/foodnet/about/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_fluview,CDC FluView,https://www.cdc.gov/fluview/index.html,federal_surveillance,weekly 2026 surveillance interface; data preliminary,2026-09-09,United States / HHS region / state / national,weekly influenza surveillance report,influenza surveillance reporting interface,Weekly data are preliminary and are not a single community transmission rate.,https://www.cdc.gov/fluview/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_flu_methods,CDC U.S. Influenza Surveillance Purpose and Methods,https://www.cdc.gov/fluview/overview/index.html,federal_surveillance,current methods page; accessed 2026-09-09,2026-09-09,"United States / laboratory, outpatient, hospital, mortality streams","ICLS, NREVSS, ILINet and other surveillance components","laboratory denominators, sentinel outpatient, hospitalization, and mortality stream distinctions",Testing practices and stream denominators differ; hospitalizations and tests do not equal community incidence.,https://www.cdc.gov/fluview/overview/index.html,web_extract/source-page verification on 2026-09-09
s13_cdc_wastewater,CDC About Wastewater Data,https://www.cdc.gov/wastewater/about-data/,federal_surveillance,current page; accessed 2026-09-09,2026-09-09,community / sewershed / state / regional / national,wastewater viral monitoring,community-level respiratory-virus surveillance and early-warning context,Wastewater cannot currently determine the number of infections; sewershed coverage can over-represent connected populations.,https://www.cdc.gov/wastewater/about-data/,web_extract/source-page verification on 2026-09-09
s13_cdc_rabies,CDC About Rabies,https://www.cdc.gov/rabies/about/index.html,federal_public_health,current page; accessed 2026-09-09,2026-09-09,United States / animal-human interface,"animal reservoir, exposure, and post-exposure prophylaxis reference",animal-contact pathway and response interface,"Animal cases, potential exposures, PEP, and human disease are separate records.",https://www.cdc.gov/rabies/about/index.html,web_extract/source-page verification on 2026-09-09
