dependency_id,source_node_id,dependent_node_id,domain,information_type,dependency_role,timeliness,availability_requirement,coverage,uncertainty,authority_level,access_class,relationship_basis,source_id,confidence,notes
IDE-A-001,OBS-SNS-GLOS-TOLEDO-CRIB,OBS-DAT-GLOS-ERDDAP-CRIB,lake_erie_hab,Lake-water-quality observations,public_observation_to_data,unknown,high,point,unknown,regional,public,documented,phase4a_glos_crib,high,Public station observations are exposed through the public ERDDAP product; measurement cadence and current station operation are not inferred.
IDE-A-002,OBS-NET-NOAA-GLERL-HAB,OBS-MOD-NOAA-HAB-FORECAST,lake_erie_hab,Integrated HAB observations,forecast_input,unknown,high,regional,moderate,federal,public,documented,phase4a_glerl_hab,high,GLERL states that collected monitoring data inform forecast models; internal ingestion and update timing are not reconstructed.
IDE-A-003,OBS-DAT-GLOS-ERDDAP-CRIB,OBS-ORG-CITY-TOLEDO-WATER,lake_erie_hab,Toledo-crib water-quality data,decision_support,unknown,moderate,point,unknown,municipal,public,qualified_documented,phase4a_glos_crib,medium,Public availability makes the product an available input; a Toledo-specific operational use path is not established.
IDE-A-004,OBS-MOD-NOAA-HAB-FORECAST,OBS-ORG-CITY-TOLEDO-WATER,lake_erie_hab,Lake Erie HAB forecast,decision_support,unknown,high,regional,moderate,municipal,public,qualified_documented,phase4a_nccos_hab_forecast,medium,Forecast products identify drinking-water managers as stakeholders; no local threshold or direct machine feed is asserted.
IDE-A-005,OBS-ORG-CITY-TOLEDO-WATER,OBS-RSP-TOLEDO-WATER-OPERATIONS,lake_erie_hab,Water-quality operational status,authority_interface,event_driven,high,local,unknown,municipal,public,documented,phase4a_toledo_water_quality,high,The City documents continuous monitoring and treatment operations; this is not an automated trigger or setpoint.
IDE-B-001,OBS-SNS-USGS-04193500,OBS-DAT-USGS-NWIS-RT,maumee_hydrology,River stage and discharge observation,public_observation_to_data,real_time_or_near_real_time,high,point,unknown,federal,public,documented,phase4a_usgs_waterville,high,Representative real-time streamgage product; one station does not cover the full Maumee basin.
IDE-B-002,OBS-DAT-USGS-NWIS-RT,OBS-MOD-NOAA-NWPS,maumee_hydrology,River observation data,forecast_input,real_time_or_near_real_time,high,point,unknown,federal,public,qualified_documented,phase4a_noaa_nwps,medium,The public chain is represented at product level; station-specific forecast ingestion is not documented here.
IDE-B-003,OBS-MOD-NOAA-NWPS,OBS-ORG-NWS,maumee_hydrology,Water prediction and flood information,warning_support,event_driven,high,regional,moderate,federal,public,documented,phase4a_noaa_nwps,high,NWPS is represented as a public NOAA water-prediction interface associated with NWS warning work.
IDE-B-004,OBS-MOD-NOAA-NWPS,OBS-RSP-FLOOD-WARNING-RESPONSE,maumee_hydrology,Flood forecast information,public_response_support,event_driven,high,regional,moderate,multi_agency,public,documented,phase4a_nws_flood,high,Public flood information supports response awareness; local protocols and action timing are not modeled.
IDE-B-005,OBS-ORG-NWS,OBS-RSP-FLOOD-WARNING-RESPONSE,maumee_hydrology,Flood warning and safety information,warning_support,event_driven,moderate,regional,unknown,multi_agency,public,documented,phase4a_nws_flood,high,NWS warnings inform public-safety response; no county-specific decision is assigned.
