huc12,receiving_flowline_ids,downstream_huc12,downstream_relationship_count,physical_transition_count,connector_transition_count,source_method,confidence,divergence_note
041000030101,1D4H0;9ZN3L,041000030102,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030102,6CCCA;7AD5A;91LF0,041000030104,2,2,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030103,5O1B1;COVRP,041000030106,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030104,62MBZ;COVRP,041000030106,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030105,54MUJ;6QWOP,041000030106,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030106,46RC5;EUQPQ;F9CQP,041000030302,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030201,1WGLH;EG4EX,041000030202,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030202,3NE65;5EBTB,041000030204,1,1,0,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030203,10QMM;5EBTB;85OUM;8YNYR;A1SMZ;DTY3D;EI9M9;GC9YZ;GJ9GE,041000030204;041000030301,5,3,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030204,264KV;F9CQP,041000030106,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030301,3KOHE;3KOP9;4S91B;5LBGZ;7F86I;85OUM;8K9WY;9S2E3;AGDC1;DWNUY,041000030203;041000030304,5,3,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030302,7F86I;9BC4K,041000030304,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030303,D8CZ7;F4HDG,041000030306,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030304,CYLO4;FST3I,041000030306,1,0,1,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030305,15KNN;3Z7KR;59HLM;6T27Y;83JNB;93R3C;FUYMI,041000030306;041000030406,4,3,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030306,2AYVE;83JNB;FXPE5,041000030501,2,0,2,native 3DHP topology plus documented forward same-feature crossings,high,Single downstream HUC-12 observed.
041000030401,366KM;5GGQM;64RVW;85OGR;98M0E;AZUCT;BSZRJ;CHBM0;FQ32H,041000030402;041000030405,5,4,1,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030402,1YL92;3KOGH;85PA1;8FEGF;8K9W3;8K9Y5;CHAYW;CM5Y8;GEEZ3,041000030401;041000030405,5,3,2,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030403,1OWJH;2D3PE;4DQT9;4NF42;56R79;7VYGG;80TMX;9WXAC;BO4G3;CR0N4;CR0XG;EI9SJ;G4QCG;GT0XJ;H2T4A,041000030404;041000030405,8,5,3,native 3DHP topology plus documented forward same-feature crossings,review,2 downstream HUC-12s observed; review divergence/boundary effects.
041000030404,1K288;56R61;7NUS;7VYKQ;8P51R;8TZVO;9DGLD;9N77E;9WWNN;9WX8W;AL8IW;B4OKI;B4PFP;BSZ85;C2QIP;FUYCW;FUYO4;GT0WZ;HCFP;R1XW,041000030403;041000030405;041000030406;041000030602;041000030603,11,8,3,native 3DHP topology plus documented forward same-feature crossings,review,5 downstream HUC-12s observed; review divergence/boundary effects.
