routing_id,from_huc12,to_huc12,routing_precedence,routing_basis,physical_geometry,source_authority,source_generation,confidence,qa_status,replacement_ids,replacement_feature_types,unresolved_category,observed_3dhp_downstream_huc12,explanation
WTR-HUC-ROUTE-041000030706,041000030706,041000030707,2,official_3dhp_connector,False,USGS,migrated_nhd,high,REPLACED_AUTHORITATIVE_CONNECTOR,AQ57S;E3NQ7;G9JIT;GT0C4,Channel Line;Hydro Unenforced Connector;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000040605,041000040605,041000040606,2,official_3dhp_connector,False,USGS,migrated_nhd,high,REPLACED_AUTHORITATIVE_CONNECTOR,1A3SO;2RC1B;5G5ZS,Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000030805,041000030805,041000030806,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,1F9J5;4DQYH;4S91U;7HCSZ;9DHJG;9IBYN;9S29U;B4P1Y;DTY3Z,Canal;Channel Line;Hydro Unenforced Connector;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040606,041000040606,041000050102,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,10MMV;4IGRX;5GDC9;907FP;C2MHM;CM1RI,Canal;Channel Line;Drainageway;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030806,041000030806,041000050102,2,official_3dhp_connector,False,USGS,migrated_nhd,high,REPLACED_AUTHORITATIVE_CONNECTOR,C8XLC;CM1RI,Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000040602,041000040602,041000040604,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,2MHEW;3U1JH;7CS4;8TODP;C2ELX;DJWTL;E3C6N;F1FZZ;F6B3X,Channel Line;Drainageway;Surface Connector;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040501,041000040501,041000040502,2,official_3dhp_connector,False,USGS,migrated_nhd,high,REPLACED_AUTHORITATIVE_CONNECTOR,4I9JV;CC5CJ,Channel Line;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000040503,041000040503,041000040504,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,2W602;QPZ9,Channel Line;Drainageway,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040403,041000040403,041000040405,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,72H3M;G4FC6,Channel Line,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040603,041000040603,041000040604,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,10EVL;3KCU7;4RXFG;77BFG;7LWTK;7QRLR;8F2DN;9MVUE;B4DVC;BXI4M;C2ENB;CVKN1;DTM3S;ED2Z5;EMTK0;G4EOY;GIYJB;H2GZI;QPYI,Canal;Channel Line;Drainageway;Hydro Unenforced Connector;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040402,041000040402,041000040405,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,1TG4U;5ZLDO;AKXJC;FZJD7;G4FC6,Channel Line;Drainageway,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040404,041000040404,041000040405,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,35V8C;B4DU9;DA7AJ;ED3TD,Channel Line;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050101,041000050101,041000050102,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,1TNAD;3PF5Z;3U9BJ;4WZEL;7VUW8;BO0V6;E8EPA;EI5OH;F1NQT;FUUUY;QXUD,Channel Line;Drainageway;Hydro Unenforced Connector;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050102,041000050102,041000050103,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,10MR1;10MT3;1JYQR;1TNAL;1TNHP;2QM9;3AW60;3KKNJ;3PFC2;4NATY;56NOV;5L7IM;80Q0W;8FA96;AG9DG;AL500;B9FRR;DYP1V;FG9VM;FPZG4;FZQPQ;GEAUZ;GXSM6,Canal;Channel Line;Drainageway;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050103,041000050103,041000050105,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,1YH7L;362HU;3FQJU;3U9CZ;6XTI4;7QZDC;8AFHV;8K5YK;8TW6C;CVSJM;DF93K;G9G0T;G9G22;GSWSG;H7KJY,Canal;Channel Line;Drainageway;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050104,041000050104,041000050106,2,official_3dhp_connector,False,USGS,migrated_nhd,high,REPLACED_AUTHORITATIVE_CONNECTOR,6SYE3;7M4YZ,Channel Line;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000050105,041000050105,041000050106,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,1ABCR;1ABDU;56NK6;56NPD;5UWQV;9N3LT;AUVJR;D0NOS;D5J40;DAEPA;DK41L;DTU3C;EN1BZ;FG9QE;FPZDW;H2OVP,Canal;Channel Line;Drainageway;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050106,041000050106,041000050202,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,3Z3H1;4WZKF;8TW2Y;9WT8P;BSVX3;DK40U,Channel Line;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040604,041000040604,041000040606,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,80IRB;AKXKE;B4DVC;CVKH4;DOQPQ,Channel Line;Drainageway;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030801,041000030801,041000030802,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,1TR16;2UVN;48VJ0;5BLKK;6XWV5;7M8IW;85OFF;9S1XJ;AGCWN;BXTK6;DP2P3;GXW0G;GXX13;HCDM;M7J0,Canal;Channel Line;Drainageway,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030401,041000030401,041000030405,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,366KM;5GGQM;64RVW;85OGR;98M0E;AZUCT;CHBM0,Channel Line;Drainageway,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030403,041000030403,041000030404,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,1OWJH;2D3PE;4DQT9;4NF42;56R79;7VYGG;80TMX;9WXAC;BO4G3;CR0N4;G4QCG;GT0XJ;H2T4A,Channel Line;Drainageway;Surface Connector;Waterbody Connector,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030404,041000030404,041000030406,1,physical_3dhp,True,USGS,migrated_nhd,high,REPLACED_PHYSICAL,7NUS;BSZ85;C2QIP;R1XW,Channel Line;Drainageway,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
