assumption_id,scenario_id,scenario,horizon,domain,assumption,evidence_basis,source_id,uncertainty,reality_status,canon_status,classification,notes
GSA-A2050-01,A2050,Integrated Basin Governance,2050,data_and_sensors,"Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-006,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2050-02,A2050,Integrated Basin Governance,2050,coordination,"Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-011,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2050-03,A2050,Integrated Basin Governance,2050,adaptive_management,"Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-014,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2050-04,A2050,Integrated Basin Governance,2050,binational_and_tribal,"Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-012,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2050-05,A2050,Integrated Basin Governance,2050,funding,"Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-008,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2050-06,A2050,Integrated Basin Governance,2050,public_private,"Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2050-07,A2050,Integrated Basin Governance,2050,ecological_infrastructure,"Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-009,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2050-08,A2050,Integrated Basin Governance,2050,technology_and_learning,"Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-004,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2075-01,A2075,Integrated Basin Governance,2075,data_and_sensors,"Interoperable public environmental and infrastructure data standards expand across selected basin products. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-006,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
GSA-A2075-02,A2075,Integrated Basin Governance,2075,coordination,"Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. By 2075, this condition is treated as a mature scenario state, not a legal forecast.","Great Lakes coordination precedent, adaptive-governance literature, and explicit scenario construction",GFS-011,moderate,fictional,scenario,SCENARIO ASSUMPTION,"Qualitative assumption; no probability, composite governance score, or deterministic institutional response is assigned."
