assumption_id,scenario_id,scenario,horizon,domain,assumption,evidence_basis,source_id,uncertainty,reality_status,canon_status,classification,numeric_future_value_adopted,notes
VEFA-A2050-01,A2050,Managed Ecological Adaptation,2050,climate_hydrology,"Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",VFS-010,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2050-02,A2050,Managed Ecological Adaptation,2050,urban_containers,"Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",VFS-005,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2050-03,A2050,Managed Ecological Adaptation,2050,forest_edge_host,"Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",VFS-008,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2050-04,A2050,Managed Ecological Adaptation,2050,surveillance,"Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",VFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2050-05,A2050,Managed Ecological Adaptation,2050,settlement_interface,"Settlement and infrastructure planning uses generalized vector-habitat interfaces to target maintenance and monitoring without assigning residents to contact, exposure, or infection. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",VFS-017,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2050-06,A2050,Managed Ecological Adaptation,2050,governance_response,"Public-health, ecological, and local infrastructure actors use more connected monitoring-to-management routines while retaining distinct authority, program limits, and uncertainty. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.",VFS-016,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2075-01,A2075,Managed Ecological Adaptation,2075,climate_hydrology,"Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.",VFS-010,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2075-02,A2075,Managed Ecological Adaptation,2075,urban_containers,"Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.",VFS-005,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2075-03,A2075,Managed Ecological Adaptation,2075,forest_edge_host,"Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.",VFS-008,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2075-04,A2075,Managed Ecological Adaptation,2075,surveillance,"Vector surveillance, method documentation, and cross-program reporting become more coordinated, supporting earlier detection in selected settings without making surveillance complete or quantitative abundance. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.",VFS-007,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2075-05,A2075,Managed Ecological Adaptation,2075,settlement_interface,"Settlement and infrastructure planning uses generalized vector-habitat interfaces to target maintenance and monitoring without assigning residents to contact, exposure, or infection. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.",VFS-017,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-A2075-06,A2075,Managed Ecological Adaptation,2075,governance_response,"Public-health, ecological, and local infrastructure actors use more connected monitoring-to-management routines while retaining distinct authority, program limits, and uncertainty. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.",VFS-016,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2050-01,B2050,Heterogeneous Adaptive Basin,2050,climate_hydrology,"Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",VFS-010,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2050-02,B2050,Heterogeneous Adaptive Basin,2050,urban_containers,"Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",VFS-005,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2050-03,B2050,Heterogeneous Adaptive Basin,2050,forest_edge_host,"Forest and edge conditions form a patchwork of moisture, vegetation, host, and access contexts, so tick and woodland-mosquito opportunities diverge locally. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",VFS-008,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2050-04,B2050,Heterogeneous Adaptive Basin,2050,surveillance,"Surveillance remains functional but uneven across programs, habitats, methods, and jurisdictions; detections can expand in some places without establishing a comparable abundance measure. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",VFS-007,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2050-05,B2050,Heterogeneous Adaptive Basin,2050,settlement_interface,"Population concentration, workplace form, and land-cover interfaces differ across the basin; these differences guide potential monitoring interfaces rather than human-contact estimates. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",VFS-017,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2050-06,B2050,Heterogeneous Adaptive Basin,2050,governance_response,"Management and surveillance operate through overlapping local and regional arrangements, producing functional adaptation in some places and persistent negotiation or coverage gaps in others. This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; This is the B scenario's intermediate 2050 ecological trajectory: local habitat and program differences are emerging and remain structurally uneven; it is not an observed distribution or forecast.",VFS-016,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2075-01,B2075,Heterogeneous Adaptive Basin,2075,climate_hydrology,"Climate and hydrologic conditions become more permissive for some vectors in some settings, but urban, wetland, agricultural, forest-edge, and suburban responses remain different and are not averaged. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.",VFS-010,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2075-02,B2075,Heterogeneous Adaptive Basin,2075,urban_containers,"Container opportunities vary with settlement form, maintenance, shade, precipitation, and local practices; some developed areas constrain opportunities while others remain permissive. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.",VFS-005,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
VEFA-B2075-03,B2075,Heterogeneous Adaptive Basin,2075,forest_edge_host,"Forest and edge conditions form a patchwork of moisture, vegetation, host, and access contexts, so tick and woodland-mosquito opportunities diverge locally. By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.","accepted vector, climate, hydrology, population, and governance context plus explicit scenario construction; By 2075, this is the B scenario's matured or diverged ecological state: local habitat and program differences are durable across overlapping adaptive networks; it is not an observed distribution or forecast.",VFS-008,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative assumption only; no vector count, abundance, prevalence, contact, infection, disease, probability, or exact range is assigned."
