dependency_id,source_node_id,dependent_node_id,domain,dependency_type,dependency_strength,evidence_confidence,modal_alternative,external_orientation,relationship_basis,source_id,notes
FDE-001,FRT-PORT-TOLEDO,FRT-MKT-GREAT-LAKES,port_marine,marine_gateway_dependency,high,high,low,high,documented_corridor,phase5a_toledo_port,Port of Toledo is a marine gateway to Great Lakes/St. Lawrence markets; no volume or vessel schedule.
FDE-002,FRT-PORT-TOLEDO,FRT-RAIL-NS,port_marine,interchange_dependency,high,moderate,moderate,high,documented_interchange,phase5a_toledo_port,On-dock Class I access and public NS interface are documented; carrier substitution is not evaluated.
FDE-003,FRT-PORT-TOLEDO,FRT-RAIL-CSXT,port_marine,interchange_dependency,moderate,moderate,moderate,high,documented_interchange,phase5a_toledo_port,Public port carrier listing supports relevance; terminal assignment is not established.
FDE-004,FRT-PORT-TOLEDO,FRT-RAIL-CN,port_marine,interchange_dependency,moderate,moderate,moderate,high,documented_interchange,phase5a_toledo_port,Public port carrier listing supports relevance; terminal assignment is not established.
FDE-005,FRT-PORT-TOLEDO,FRT-HWY-I75,port_marine,highway_dependency,high,high,high,high,documented_facility_access,phase5a_toledo_port,Port access to I-75 is documented; no plant-specific truck route is modeled.
FDE-006,FRT-PORT-TOLEDO,FRT-HWY-I80-90,port_marine,highway_dependency,high,high,moderate,high,documented_facility_access,phase5a_toledo_port,Port access to I-80/90 is documented; no plant-specific truck route is modeled.
FDE-007,FRT-TERM-IRONVILLE,FRT-MKT-MIDWEST-INDUSTRIAL,industrial_materials,external_market_dependency,high,high,moderate,high,documented_shipment_relationship,phase5a_toledo_port,Ironville finished product exits by truck and rail to generalized markets; no destination facility is named.
FDE-008,FRT-RAIL-NS,FRT-MKT-MIDWEST-INDUSTRIAL,rail,rail_dependency,moderate,moderate,moderate,high,documented_corridor,phase5a_ntad_rail,Public corridor supports regional connectivity; facility-specific dependence is unknown.
FDE-009,FRT-RAIL-CSXT,FRT-MKT-MIDWEST-INDUSTRIAL,rail,rail_dependency,moderate,moderate,moderate,high,documented_corridor,phase5a_ntad_rail,Public corridor supports regional connectivity; facility-specific dependence is unknown.
FDE-010,FRT-RAIL-CN,FRT-MKT-GREAT-LAKES,rail,rail_dependency,moderate,moderate,moderate,high,documented_corridor,phase5a_ntad_rail,Public corridor supports regional connectivity; facility-specific dependence is unknown.
FDE-011,FRT-HWY-I75,FRT-MKT-MICHIGAN-CANADA,highway,external_market_dependency,moderate,moderate,moderate,high,documented_corridor,phase5a_fhwa_faf,"Freight-relevant corridor supports broad regional connectivity, not a specific shipper."
FDE-012,FRT-HWY-I80-90,FRT-MKT-MIDWEST-INDUSTRIAL,highway,external_market_dependency,high,moderate,moderate,high,documented_corridor,phase5a_fhwa_faf,"Freight-relevant corridor supports broad regional connectivity, not a specific shipper."
FDE-013,FRT-FUEL-EXTERNAL,ENE-EIA-59764,energy_fuels,fuel_logistics_dependency,high,low,low,high,engineering_logistics_dependency,phase5a_eia_petroleum,Generalized fuel interface only; no pipeline or contract route is represented.
FDE-014,CARB-EXT-AREA-WOODVILLE,FRT-MKT-MIDWEST-INDUSTRIAL,carbonate_materials,external_market_dependency,moderate,moderate,moderate,moderate,generalized_supply_chain,phase5a_area_woodville,"Aggregate product function implies logistics, but mode and customer are unknown."
FDE-015,CARB-PROC-MM-WOODVILLE,FRT-MKT-MIDWEST-INDUSTRIAL,carbonate_materials,highway_dependency,moderate,moderate,moderate,moderate,generalized_supply_chain,phase5a_mm_woodville,Lime distribution is generalized; no road or rail assignment is made.
FDE-016,CARB-PROC-GRAYMONT-GENOA,FRT-MKT-MIDWEST-INDUSTRIAL,carbonate_materials,external_market_dependency,moderate,moderate,unknown,moderate,generalized_supply_chain,phase5a_graymont_genoa,Genoa product role is documented; source quarry and freight mode remain unresolved.
FDE-017,BER-PROC-ELMORE,FRT-MKT-GREAT-LAKES,strategic_materials,external_market_dependency,high,moderate,unknown,high,generalized_supply_chain,phase5a_materion_elmore,Nonlocal feed and broad strategic end-use context imply external orientation; route and mode absent.
FDE-018,BER-LEG-LUCKEY,FRT-MKT-LICENSED-DISPOSAL,remediation,external_market_dependency,moderate,high,low,moderate,documented_flow,phase5a_luckey_logistics,Licensed off-site disposal is documented; destination and route remain generalized.
FDE-019,FRT-AG-MIDWEST-BULK,FRT-MKT-GREAT-LAKES,agriculture_bulk,external_market_dependency,moderate,low,unknown,high,generalized_supply_chain,phase5a_fhwa_faf,Broad agricultural/bulk context only; Toledo-specific flow remains unresolved.
FDE-020,FRT-PORT-TOLEDO,FRT-MKT-MIDWEST-INDUSTRIAL,port_marine,interchange_dependency,moderate,high,moderate,high,documented_facility_access,phase5b_toledo_annual_report,General-cargo warehouse and liquid-bulk transloading strengthen interchange context; no product route or quantity.
