relationship_id,scenario_id,scenario,horizon,source_node_id,target_node_id,relationship_type,spatial_scale,current_fact,scenario_assumption,scenario_consequence,commuting_migration_boundary,source_or_basis,assumption_id,evidence_strength,reality_status,canon_status,relationship_basis,numeric_future_value_adopted,notes
PFR-A2050-01,A2050,Connected Reconcentration,2050,POP-ZONE-39095,POP-ZONE-39173,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-02,A2050,Connected Reconcentration,2050,POP-ZONE-39095,POP-ZONE-39063,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-03,A2050,Connected Reconcentration,2050,POP-ZONE-39095,POP-ZONE-26115,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-04,A2050,Connected Reconcentration,2050,POP-ZONE-39095,POP-ZONE-18003,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-05,A2050,Connected Reconcentration,2050,POP-ZONE-39095,POP-ZONE-39069,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-06,A2050,Connected Reconcentration,2050,POP-ZONE-39095,POP-ZONE-39123,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-07,A2050,Connected Reconcentration,2050,POP-ZONE-39173,POP-ZONE-39143,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-08,A2050,Connected Reconcentration,2050,POP-ZONE-39173,POP-ZONE-39063,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-09,A2050,Connected Reconcentration,2050,POP-ZONE-39063,POP-ZONE-39147,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-10,A2050,Connected Reconcentration,2050,POP-ZONE-39063,POP-ZONE-39137,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-11,A2050,Connected Reconcentration,2050,POP-ZONE-26115,POP-ZONE-26091,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-12,A2050,Connected Reconcentration,2050,POP-ZONE-18003,POP-ZONE-18033,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
PFR-A2050-13,A2050,Connected Reconcentration,2050,POP-ZONE-18003,POP-ZONE-18151,connected_reconcentration_interface,county_pair,CURRENT FACT (2026 baseline): Phase 11B provides generalized county-scale residence/workplace and dependency context; it does not establish a future flow.,SCENARIO ASSUMPTION: 2050 intermediate trajectory relationship among existing settlement and employment interfaces; no exact movement or service-territory assignment.,"SCENARIO CONSEQUENCE: selected anchor and secondary-center interfaces become more connected without a predicted route, volume, or residential relocation flow.","Commuting is not migration; this relationship is not an individual movement path, migration count, or freight route.",S11C-BASELINE-11B;S11C-NETWORK,S11C-A2050-01,limited,fictional,scenario,explicit qualitative scenario interface; not a documented future route or flow,false,"Spatial scale is a generalized county pair. No population total, household total, housing-unit total, worker count, job count, commuter count, probability, or vulnerability score is assigned."
