technology_modifier_id,technology_family_or_regime,phase15_technology_or_regime_id,modifier_effect,evidence_class,optional_condition,effects_allowed,source_lineage,notes
TM-16A-001,AI / ADVANCED COMPUTE / AUTOMATION,TECH-AI-COMPUTE,"may increase observability or delay interpretation while increasing compute, data, communications, and operator coupling",INFERRED,A/B/C optional; capability is not deployment or authority,reduce propagation; delay propagation; increase observability; increase coupling,Phase 15A interface TSI-001; Phase 15B TSS-A2050-04,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-002,ADVANCED SENSING / AUTONOMOUS SYSTEMS,TECH-SENS-ENVIRONMENTAL,"may increase observation and detection opportunity while remaining dependent on power, communications, maintenance, calibration, and stewardship",INFERRED,A/B/C optional; observation is not control,delay propagation; increase observability; create new dependencies,Phase 15A interface TSI-008; Phase 15B TSS-A2050-04,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-003,CYBERSECURITY / DIGITAL RESILIENCE,TECH-CYBER-RESILIENCE,"may reduce or delay digital propagation but may also create maintenance, interoperability, and trust friction",INFERRED,A/B/C optional; defensive only,reduce propagation; delay propagation; increase coupling; create governance / trust friction,Phase 15A interface TSI-014; Phase 15B TDS-C2050-08,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-004,ADVANCED ENERGY,TECH-ENERGY-DISTRIBUTED,"may create substitution or distributed-operation options while retaining material, maintenance, siting, and governance dependencies",INFERRED,A/B/C optional; no capacity or deployment claim,create substitution options; reduce propagation; create new dependencies,Phase 15A technology node TECH-ENERGY-DISTRIBUTED; Phase 15B TDS-A2050-10 (ADVANCED ENERGY family-level mapping),"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-005,ADVANCED ENERGY,TECH-ENERGY-LDES,"may support load shifting or continuity options in a scenario, without establishing firm capacity or outage protection",INFERRED,A/B/C optional; no dispatch or capacity model,delay propagation; create substitution options; increase coupling,Phase 15A interface TSI-021; Phase 15B TDS-A2050-10 (ADVANCED ENERGY family-level mapping),"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-006,ADVANCED MATERIALS / MANUFACTURING,TECH-MATERIALS-CIRCULAR,may support supply substitution or alternate processing pathways while shifting dependence toward qualified feedstock and logistics,INFERRED,A/B/C optional; not a production forecast,create substitution options; supply substitution; shift workforce requirements,Phase 15A technology node TECH-MATERIALS-CIRCULAR; Phase 15B TDS-A2050-06,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-007,BIOTECHNOLOGY / GENETIC ENGINEERING,TECH-BIO-DIAGNOSTICS,"may increase detection and diagnostic observability while leaving attribution, interpretation, communication, and authority distinct",INFERRED,A/B/C optional; high-level public-health lens only,increase observability; delay propagation; create governance / trust friction,Phase 15A technology node TECH-BIO-DIAGNOSTICS; Phase 15B TDS-A2050-05,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-008,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,TECH-DATA-GOVERNANCE,may enable stewardship and privacy-preserving access or constrain interoperability and timeliness,INFERRED,A/B/C optional; access is not control,increase observability; create substitution options; create governance / trust friction,Phase 15A technology node TECH-DATA-GOVERNANCE; Phase 15B TDS-A2050-02,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-009,REGIME-A,REGIME-A,"Coordinated Technological Adaptation may buffer selected pathways while leaving compute, energy, data, maintenance, and human-authority dependencies visible",SCENARIO_STATE,optional regime modifier only,reduce propagation; improve coordination; increase observability,Phase 15B TSS-A2050-01; TDS-A2050-01,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-010,REGIME-B,REGIME-B,Uneven Networked Modernization may create uneven substitution and observability with uneven interoperability and workforce requirements,SCENARIO_STATE,optional regime modifier only,create substitution options; increase coupling; shift workforce requirements,Phase 15B TSS-B2050-01; TDS-B2050-01,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
TM-16A-011,REGIME-C,REGIME-C,"High Capability / High Friction Basin may increase capability and observability while increasing governance, trust, cyber, and maintenance friction",SCENARIO_STATE,optional regime modifier only,increase observability; increase coupling; create governance / trust friction; create cyber / digital exposure,Phase 15B TSS-C2050-01; TDS-C2050-01,"Technology may reduce, delay, expose, couple, substitute, coordinate, or friction-shift a pathway; it is not automatically protective."
