state_id,scenario_id,scenario,horizon,mechanism_id,mechanism_type,mechanism_name,current_fact,scenario_assumption,scenario_consequence,future_mechanism,mechanism_character,authority_boundary,assumption_id,current_fact_source_id,source_id,reality_status,canon_status,notes
GAC-A2050-001,A2050,Integrated Basin Governance,2050,GCM-001,statute/regulation,Ohio public-water and NPDES requirements,CURRENT FACT (2026 baseline): Ohio public-water and NPDES requirements is recorded as a statute/regulation with mandatory character.,"SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Ohio public-water and NPDES requirements coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-01,s02_ohio_pws,GFS-006,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-002,A2050,Integrated Basin Governance,2050,GCM-002,permit,Ohio EPA and USACE aquatic permitting,CURRENT FACT (2026 baseline): Ohio EPA and USACE aquatic permitting is recorded as a permit with mandatory character.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Ohio EPA and USACE aquatic permitting coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-02,s05_ohio_npdes,GFS-011,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-003,A2050,Integrated Basin Governance,2050,GCM-003,compact,Great Lakes Basin Compact / regional water framework,CURRENT FACT (2026 baseline): Great Lakes Basin Compact / regional water framework is recorded as a compact with mixed character.,"SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Great Lakes Basin Compact / regional water framework coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-03,s13_glc,GFS-014,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-004,A2050,Integrated Basin Governance,2050,GCM-004,treaty/agreement,Great Lakes Water Quality Agreement and binational implementation,CURRENT FACT (2026 baseline): Great Lakes Water Quality Agreement and binational implementation is recorded as a treaty/agreement with mixed character.,"SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Great Lakes Water Quality Agreement and binational implementation coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-04,s15_glwqa,GFS-012,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-005,A2050,Integrated Basin Governance,2050,GCM-005,funding program,NRCS EQIP and conservation assistance,CURRENT FACT (2026 baseline): NRCS EQIP and conservation assistance is recorded as a funding program with voluntary character.,"SCENARIO ASSUMPTION: Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: NRCS EQIP and conservation assistance coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-05,s12_nrcs_eqip,GFS-008,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-006,A2050,Integrated Basin Governance,2050,GCM-006,funding program,FEMA hazard-mitigation assistance,CURRENT FACT (2026 baseline): FEMA hazard-mitigation assistance is recorded as a funding program with mixed character.,"SCENARIO ASSUMPTION: Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: FEMA hazard-mitigation assistance coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-06,s35_fema_mitigation,GFS-007,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-007,A2050,Integrated Basin Governance,2050,GCM-007,funding program,Federal freight and rail investment,CURRENT FACT (2026 baseline): Federal freight and rail investment is recorded as a funding program with mixed character.,"SCENARIO ASSUMPTION: Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Federal freight and rail investment coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-07,s29_fhwa,GFS-009,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-008,A2050,Integrated Basin Governance,2050,GCM-008,market/operator rule,FERC/NERC/PJM reliability and market framework,CURRENT FACT (2026 baseline): FERC/NERC/PJM reliability and market framework is recorded as a market/operator rule with mandatory character.,"SCENARIO ASSUMPTION: Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: FERC/NERC/PJM reliability and market framework coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-08,s23_nerc,GFS-004,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-009,A2050,Integrated Basin Governance,2050,GCM-009,planning process,H2Ohio and conservation planning,CURRENT FACT (2026 baseline): H2Ohio and conservation planning is recorded as a planning process with voluntary character.,"SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: H2Ohio and conservation planning coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-01,s10_h2ohio,GFS-006,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
GAC-A2050-010,A2050,Integrated Basin Governance,2050,GCM-010,emergency protocol,Weather/water warnings to local and utility decision-makers,CURRENT FACT (2026 baseline): Weather/water warnings to local and utility decision-makers is recorded as a emergency protocol with unknown character.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: Weather/water warnings to local and utility decision-makers coordination gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",interoperable_iterative_mechanism,"stronger shared protocol, iterative review, and explicit human handoff","The mechanism cannot by itself create a single basin government, new sovereign territory, permit jurisdiction, enforcement power, or automatic legal decision.",GSA-A2050-02,s36_nws,GFS-011,fictional,scenario,"Mandatory, mixed, and voluntary mechanisms remain distinguishable in the future layer."
