assumption_id,scenario_id,scenario,horizon,domain,assumption,evidence_basis,source_id,uncertainty,reality_status,canon_status,classification,numeric_future_value_adopted,notes
IDFA-A2050-01,A2050,Coordinated Prevention & Detection,2050,environmental_interface,"Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and emerging and selective; episodic opportunities remain possible. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.",phase9_hazard_dependency_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2050-02,A2050,Coordinated Prevention & Detection,2050,mobility_connectivity,"Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and emerging and selective; connectivity is not transmission certainty. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.",phase11_mobility_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2050-03,A2050,Coordinated Prevention & Detection,2050,surveillance_detection,"Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and emerging and selective review routines without creating a common disease denominator. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.",s13_nndss_about,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2050-04,A2050,Coordinated Prevention & Detection,2050,response_healthcare,"Public-health and healthcare actors use clearer detection-to-response handoffs, surge planning, and infection-control coordination that are emerging and selective in selected systems; response capacity is not disease absence. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.",phase10_coordination_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2050-05,A2050,Coordinated Prevention & Detection,2050,infrastructure_dependency,"Treatment resilience, cold-chain/storage continuity, laboratory capacity, energy, communications, and selected facility interfaces are adapted in a emerging and selective pattern without assuming universal performance. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.",phase3_energy_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2050-06,A2050,Coordinated Prevention & Detection,2050,governance_coordination,"Distinct agencies, operators, healthcare systems, laboratories, and public-health programs use more regular cross-system review and mutual-aid coordination that is emerging and selective; authority is not merged. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.",phase10_coordination_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2075-01,A2075,Coordinated Prevention & Detection,2075,environmental_interface,"Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and institutionalized in selected interfaces; episodic opportunities remain possible. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.",phase9_hazard_dependency_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2075-02,A2075,Coordinated Prevention & Detection,2075,mobility_connectivity,"Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and institutionalized in selected interfaces; connectivity is not transmission certainty. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.",phase11_mobility_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2075-03,A2075,Coordinated Prevention & Detection,2075,surveillance_detection,"Wastewater, laboratory, vector, veterinary, and healthcare/AMR observation streams gain stronger interoperability and institutionalized in selected interfaces review routines without creating a common disease denominator. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.",s13_nndss_about,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2075-04,A2075,Coordinated Prevention & Detection,2075,response_healthcare,"Public-health and healthcare actors use clearer detection-to-response handoffs, surge planning, and infection-control coordination that are institutionalized in selected interfaces in selected systems; response capacity is not disease absence. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.",phase10_coordination_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2075-05,A2075,Coordinated Prevention & Detection,2075,infrastructure_dependency,"Treatment resilience, cold-chain/storage continuity, laboratory capacity, energy, communications, and selected facility interfaces are adapted in a institutionalized in selected interfaces pattern without assuming universal performance. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.",phase3_energy_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-A2075-06,A2075,Coordinated Prevention & Detection,2075,governance_coordination,"Distinct agencies, operators, healthcare systems, laboratories, and public-health programs use more regular cross-system review and mutual-aid coordination that is institutionalized in selected interfaces; authority is not merged. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.",phase10_coordination_context,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-B2050-01,B2050,Networked but Uneven Adaptation,2050,environmental_interface,"Environmental and host interfaces diverge across urban, wetland, agricultural, forest-edge, and healthcare settings; adaptation is emerging and selective in some nodes and limited in others. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.",phase9_hazard_dependency_context,high,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-B2050-02,B2050,Networked but Uneven Adaptation,2050,mobility_connectivity,"Distributed mobility, freight, workplace, and settlement networks produce different interface pressures and investigation pathways; connectivity is emerging and selective but not uniform or equivalent to transmission. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.",phase11_mobility_context,high,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-B2050-03,B2050,Networked but Uneven Adaptation,2050,surveillance_detection,"Surveillance coverage, laboratory participation, wastewater observation, vector programs, veterinary reporting, and HAI/AMR detection remain heterogeneous and emerging and selective across nodes. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.",s13_nndss_about,high,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
IDFA-B2050-04,B2050,Networked but Uneven Adaptation,2050,response_healthcare,"Healthcare and public-health response capacity is strong in some centers and constrained or slower in others, with emerging and selective coordination through overlapping institutional networks. 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.","Accepted Phase 13A/13B infectious-disease system and dependency context plus explicit qualitative scenario construction; 2050 is an intermediate trajectory in which adaptation is distributed across basin nodes with uneven coverage, methods, and response timing.",phase10_coordination_context,high,fictional,scenario,SCENARIO ASSUMPTION,false,"No exact future value, incidence, case total, outbreak probability, disease burden, individual risk, or local downscaling is adopted. Transmission opportunity ≠ future incidence; environmental suitability ≠ disease burden; surveillance sensitivity is not disease intensity; infrastructure stress ≠ illness; mobility/connectivity ≠ outbreak. No future case total and no unsupported local downscaling is adopted."
