uncertainty_id,subject_type,subject_id,domain_system,uncertainty_category,statement,resolution_status,evidence_strength,source_id,notes
UNC-001,institutional_boundary,GA-019,Water,source_access,The IJC role page was not fully retrievable during this run; only bounded advisory/coordination roles are recorded.,open,limited,s16_ijc,Do not infer direct domestic permitting or enforcement.
UNC-002,sovereignty,GA-022,Ecology / Biodiversity,current_jurisdiction,Nation-specific current authority in the Western Basin is not established by the available source set.,open,limited,s18_epa_tribal,No tribal polygon or territorial authority is created.
UNC-003,sovereignty,GA-023,Ecology / Biodiversity,current_jurisdiction,Nation-specific current authority in the Western Basin is not established by the available source set.,open,limited,s18_epa_tribal,"Historical association, treaty/resource interest, consultation, and current jurisdiction remain separate."
UNC-004,institutional_boundary,GA-020,Water,agreement_vs_regulation,"The GLWQA provides a binational framework, but this package does not treat it as a stand-alone domestic regulator or individual permitter.",qualified,moderate,s15_glwqa,State and federal implementation must be identified separately.
UNC-005,institutional_boundary,GA-017,Water,advisory_vs_binding,Great Lakes Commission policy recommendations and coordination are not generalized environmental regulation.,qualified,high,s13_glc,Compact agency status does not erase role distinctions.
UNC-006,institutional_boundary,GA-026,Energy / Grid / Compute,operator_vs_owner,PJM high-voltage/market operation is distinct from utility asset ownership and local distribution operation.,qualified,high,s24_pjm,No utility ownership is assigned to PJM.
UNC-007,institutional_boundary,GA-024,Energy / Grid / Compute,federal_vs_local,"FERC interstate/wholesale jurisdiction does not cover all retail, local distribution, municipal, or nuclear functions.",qualified,high,s21_ferc,No local grid operation is assigned to FERC.
UNC-008,program_scope,GA-011,Biogeochemical / Nutrient Flux,voluntary_vs_mandatory,NRCS assistance and conservation contracts are not represented as a universal individual nutrient mandate.,qualified,high,s12_nrcs_eqip,Targets and incentives are not automatically enforceable duties.
UNC-009,program_scope,GA-010,Climate / Natural Hazards,funding_vs_authority,"FEMA planning, mapping, and assistance roles do not make FEMA the local floodplain administrator or asset operator.",qualified,high,s35_fema_mitigation,Funding conditions and regulatory authority remain separate.
UNC-010,data_dependency,GA-005,Water,monitoring_without_control,"USGS data can inform decisions without conferring permit, enforcement, or operational authority.",qualified,high,s06_usgs_data,Scientific observation is preserved as a distinct role.
UNC-011,data_dependency,GA-007,Water,science_without_decision_authority,GLERL research and observing products inform decisions but do not themselves bind a utility or regulator.,qualified,high,s07_glerl,No direct Toledo operating relationship is asserted.
UNC-012,local_authority,GA-038,Climate / Natural Hazards,delegated_responsibility,"County planning and coordination roles do not establish ownership/control over every floodplain, utility, road, or private asset.",open,moderate,s35_fema_mitigation,Specific local delegation requires a separate source review.
UNC-013,private_public_boundary,GA-035,Freight / Industry,authority_vs_operation,"The Port Authority may own/control/finance authority facilities without operating private railroads, vessels, or all tenants.",qualified,high,s33_ohio_port_statute,Public financing is not public operation.
UNC-014,geographic_boundary,GA-030,Energy / Grid / Compute,facility_assignment,FirstEnergy's corporate page does not establish a facility-specific Toledo Edison asset assignment for this map.,open,high,s28_firstenergy,No exact local utility topology is created.
UNC-015,project_boundary,PROJECT,Water,existing_hold,The Toledo intake-coordinate discrepancy remains unresolved and is not used to assign governance geography.,open,high,s03_toledo_treatment,Inherited project hold; Phase 10 does not resolve it.
UNC-016,project_boundary,PROJECT,Ecology / Biodiversity,existing_hold,Great Black Swamp remains C — HOLD / noncanonical; no governance polygon is derived from it.,open,high,s08_usfws_nwi,Inherited project hold; Phase 10 does not resolve it.
