scenario_id,scenario_year,object_id,baseline_object_id,ecological_component,change_type,future_state,reality_status,relationship_basis,assumption_id,source_id,plausibility,notes
A2050,2050,SCN-A2050-01,ECO-001,western_lake_erie_aquatic,resilience_increased,persist,fictional,scenario_assumption,ECSA-A2050-1,noaa_hab,moderate,Qualitative future function; no precise habitat boundary or species location.
A2050,2050,SCN-A2050-02,ECO-002,maumee_tributary_floodplain,resilience_increased,reconnect,fictional,scenario_assumption,ECSA-A2050-2,usgs_3dhp_all,moderate,Qualitative future function; no precise habitat boundary or species location.
A2050,2050,SCN-A2050-03,ECO-003,coastal_wetlands_marshes,restore,expand,fictional,scenario_assumption,ECSA-A2050-3,usfws_nwi,moderate,Qualitative future function; no precise habitat boundary or species location.
A2050,2050,SCN-A2050-04,ECO-004,black_swamp_legacy_agriculture,disturbance_reduced,restore,fictional,scenario_assumption,ECSA-A2050-1,h2ohio_great_black_swamp_history,moderate,Qualitative future function; no precise habitat boundary or species location.
A2050,2050,SCN-A2050-05,ECO-005,terrestrial_habitat_fragmentation,resilience_increased,reconnect,fictional,scenario_assumption,ECSA-A2050-2,phase6a_mrlc_land_cover,moderate,Qualitative future function; no precise habitat boundary or species location.
A2050,2050,SCN-A2050-06,ECO-006,migratory_mobile_species,monitoring_expanded,expand,fictional,scenario_assumption,ECSA-A2050-3,phase6a_usfws_ottawa_nwr,moderate,Qualitative future function; no precise habitat boundary or species location.
A2075,2075,SCN-A2075-01,ECO-001,western_lake_erie_aquatic,resilience_increased,persist,fictional,scenario_assumption,ECSA-A2075-1,noaa_hab,moderate,Qualitative future function; no precise habitat boundary or species location.
A2075,2075,SCN-A2075-02,ECO-002,maumee_tributary_floodplain,resilience_increased,reconnect,fictional,scenario_assumption,ECSA-A2075-2,usgs_3dhp_all,moderate,Qualitative future function; no precise habitat boundary or species location.
A2075,2075,SCN-A2075-03,ECO-003,coastal_wetlands_marshes,restore,expand,fictional,scenario_assumption,ECSA-A2075-3,usfws_nwi,moderate,Qualitative future function; no precise habitat boundary or species location.
A2075,2075,SCN-A2075-04,ECO-004,black_swamp_legacy_agriculture,disturbance_reduced,restore,fictional,scenario_assumption,ECSA-A2075-1,h2ohio_great_black_swamp_history,moderate,Qualitative future function; no precise habitat boundary or species location.
A2075,2075,SCN-A2075-05,ECO-005,terrestrial_habitat_fragmentation,resilience_increased,reconnect,fictional,scenario_assumption,ECSA-A2075-2,phase6a_mrlc_land_cover,moderate,Qualitative future function; no precise habitat boundary or species location.
A2075,2075,SCN-A2075-06,ECO-006,migratory_mobile_species,monitoring_expanded,expand,fictional,scenario_assumption,ECSA-A2075-3,phase6a_usfws_ottawa_nwr,moderate,Qualitative future function; no precise habitat boundary or species location.
B2050,2050,SCN-B2050-01,ECO-001,western_lake_erie_aquatic,management_intensified,persist,fictional,scenario_assumption,ECSA-B2050-1,noaa_hab,high,Qualitative future function; no precise habitat boundary or species location.
B2050,2050,SCN-B2050-02,ECO-002,maumee_tributary_floodplain,dependency_increased,persist,fictional,scenario_assumption,ECSA-B2050-2,usgs_3dhp_all,high,Qualitative future function; no precise habitat boundary or species location.
B2050,2050,SCN-B2050-03,ECO-003,coastal_wetlands_marshes,restore,persist,fictional,scenario_assumption,ECSA-B2050-3,usfws_nwi,high,Qualitative future function; no precise habitat boundary or species location.
B2050,2050,SCN-B2050-04,ECO-004,black_swamp_legacy_agriculture,management_intensified,persist,fictional,scenario_assumption,ECSA-B2050-1,h2ohio_great_black_swamp_history,high,Qualitative future function; no precise habitat boundary or species location.
B2050,2050,SCN-B2050-05,ECO-005,terrestrial_habitat_fragmentation,dependency_increased,persist,fictional,scenario_assumption,ECSA-B2050-2,phase6a_mrlc_land_cover,high,Qualitative future function; no precise habitat boundary or species location.
B2050,2050,SCN-B2050-06,ECO-006,migratory_mobile_species,monitoring_expanded,persist,fictional,scenario_assumption,ECSA-B2050-3,phase6a_usfws_ottawa_nwr,high,Qualitative future function; no precise habitat boundary or species location.
B2075,2075,SCN-B2075-01,ECO-001,western_lake_erie_aquatic,management_intensified,persist,fictional,scenario_assumption,ECSA-B2075-1,noaa_hab,high,Qualitative future function; no precise habitat boundary or species location.
B2075,2075,SCN-B2075-02,ECO-002,maumee_tributary_floodplain,dependency_increased,persist,fictional,scenario_assumption,ECSA-B2075-2,usgs_3dhp_all,high,Qualitative future function; no precise habitat boundary or species location.
B2075,2075,SCN-B2075-03,ECO-003,coastal_wetlands_marshes,restore,persist,fictional,scenario_assumption,ECSA-B2075-3,usfws_nwi,high,Qualitative future function; no precise habitat boundary or species location.
B2075,2075,SCN-B2075-04,ECO-004,black_swamp_legacy_agriculture,management_intensified,persist,fictional,scenario_assumption,ECSA-B2075-1,h2ohio_great_black_swamp_history,high,Qualitative future function; no precise habitat boundary or species location.
B2075,2075,SCN-B2075-05,ECO-005,terrestrial_habitat_fragmentation,dependency_increased,persist,fictional,scenario_assumption,ECSA-B2075-2,phase6a_mrlc_land_cover,high,Qualitative future function; no precise habitat boundary or species location.
B2075,2075,SCN-B2075-06,ECO-006,migratory_mobile_species,monitoring_expanded,persist,fictional,scenario_assumption,ECSA-B2075-3,phase6a_usfws_ottawa_nwr,high,Qualitative future function; no precise habitat boundary or species location.
C2050,2050,SCN-C2050-01,ECO-001,western_lake_erie_aquatic,disturbance_increased,fragment,fictional,scenario_assumption,ECSA-C2050-1,noaa_hab,moderate,Qualitative future function; no precise habitat boundary or species location.
C2050,2050,SCN-C2050-02,ECO-002,maumee_tributary_floodplain,disturbance_increased,contract,fictional,scenario_assumption,ECSA-C2050-2,usgs_3dhp_all,moderate,Qualitative future function; no precise habitat boundary or species location.
C2050,2050,SCN-C2050-03,ECO-003,coastal_wetlands_marshes,resilience_reduced,contract,fictional,scenario_assumption,ECSA-C2050-3,usfws_nwi,moderate,Qualitative future function; no precise habitat boundary or species location.
C2050,2050,SCN-C2050-04,ECO-004,black_swamp_legacy_agriculture,disturbance_increased,fragment,fictional,scenario_assumption,ECSA-C2050-1,h2ohio_great_black_swamp_history,moderate,Qualitative future function; no precise habitat boundary or species location.
C2050,2050,SCN-C2050-05,ECO-005,terrestrial_habitat_fragmentation,disturbance_increased,fragment,fictional,scenario_assumption,ECSA-C2050-2,phase6a_mrlc_land_cover,moderate,Qualitative future function; no precise habitat boundary or species location.
C2050,2050,SCN-C2050-06,ECO-006,migratory_mobile_species,resilience_reduced,contract,fictional,scenario_assumption,ECSA-C2050-3,phase6a_usfws_ottawa_nwr,moderate,Qualitative future function; no precise habitat boundary or species location.
C2075,2075,SCN-C2075-01,ECO-001,western_lake_erie_aquatic,disturbance_increased,fragment,fictional,scenario_assumption,ECSA-C2075-1,noaa_hab,moderate,Qualitative future function; no precise habitat boundary or species location.
C2075,2075,SCN-C2075-02,ECO-002,maumee_tributary_floodplain,disturbance_increased,contract,fictional,scenario_assumption,ECSA-C2075-2,usgs_3dhp_all,moderate,Qualitative future function; no precise habitat boundary or species location.
C2075,2075,SCN-C2075-03,ECO-003,coastal_wetlands_marshes,resilience_reduced,contract,fictional,scenario_assumption,ECSA-C2075-3,usfws_nwi,moderate,Qualitative future function; no precise habitat boundary or species location.
C2075,2075,SCN-C2075-04,ECO-004,black_swamp_legacy_agriculture,disturbance_increased,fragment,fictional,scenario_assumption,ECSA-C2075-1,h2ohio_great_black_swamp_history,moderate,Qualitative future function; no precise habitat boundary or species location.
C2075,2075,SCN-C2075-05,ECO-005,terrestrial_habitat_fragmentation,disturbance_increased,fragment,fictional,scenario_assumption,ECSA-C2075-2,phase6a_mrlc_land_cover,moderate,Qualitative future function; no precise habitat boundary or species location.
C2075,2075,SCN-C2075-06,ECO-006,migratory_mobile_species,resilience_reduced,contract,fictional,scenario_assumption,ECSA-C2075-3,phase6a_usfws_ottawa_nwr,moderate,Qualitative future function; no precise habitat boundary or species location.
