response_id,response_mechanism,applies_to,enabling_condition,limiting_condition,evidence_class,source_lineage,adaptation_capacity_boundary,notes
RESP-16A-001,redundancy,energy;data;water,more than one accepted or scenario-supported service path is explicitly identified,redundancy is not immunity and no facility-level redundancy is asserted,SCENARIO_ASSUMPTION,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-01,capacity or option exists; successful adaptation remains indeterminate,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-002,substitution,energy;materials;freight,an accepted scenario or generalized dependency names an alternate input or interface,"substitution may require qualification, energy, logistics, workforce, or authority",SCENARIO_ASSUMPTION,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-06,option to substitute is not proof of continuity,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-003,load shifting,energy;water,timing or demand can be considered qualitatively without capacity arithmetic,"no dispatch, demand, or capacity is estimated",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv#AR-3B-DEP-016-95a609bc,an option is not a measured result,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-004,conservation,water;energy;materials,"accepted phase products identify stewardship, control, or resource-use interfaces",conservation action and effect are not measured in Phase 16A,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv#AR-10B-GDEP-001-f50f412f,capacity or intent is not successful conservation,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-005,distributed operation,energy;data,Phase 15 optional technology regimes identify distributed or alternative interfaces,"no deployment, capacity, or local adoption is asserted",SCENARIO_ASSUMPTION,data/processed/scenarios/technology_system_states.csv#TSS-A2050-03,scenario option only,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-006,alternate routing,freight;materials,"accepted freight evidence distinguishes corridors, interchange, and modal alternatives",no exact route or shipment quantity is modeled,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv#AR-9B-HZD-007-41e5b974,an alternate interface is not guaranteed access,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-007,increased monitoring,data;water;ecology;infectious disease,"accepted observation, surveillance, or detection relationships support a qualitative monitoring response","monitoring is not control, incidence, exposure, or enforcement",INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv#AR-13B-IDB-006-1b416a5c,monitoring capacity does not ensure detection or response,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-008,manual fallback,data;energy;governance,Phase 15 governance boundaries preserve human/operator review,fallback availability is not established for every interface,SCENARIO_ASSUMPTION,data/processed/scenarios/technology_governance_states.csv#TGS-A2050-01,human authority does not imply successful fallback,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-009,institutional coordination,governance;water;public health,accepted governance roles and coordination interfaces are present,coordination is not unified authority or operational control,INFERRED,data/processed/integration/atlas_dependency_crosswalk.csv#AR-10B-GDEP-001-f50f412f,coordination capacity is not coordination success,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-010,mutual aid,public health;energy;water,Phase 15/Phase 13 scenario contexts allow high-level coordination options,"no agreement, resource volume, or activation is asserted",SCENARIO_ASSUMPTION,data/processed/scenarios/technology_governance_states.csv#TGS-A2050-06,option is not deployment or outcome,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-011,workforce substitution,population;freight;industry,"technology states identify changed tasks, training, and maintenance requirements","automation does not remove workforce, accountability, or skill requirements",SCENARIO_ASSUMPTION,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-04,capacity is not successful substitution,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-012,supply substitution,materials;freight;energy,Phase 15 materials and energy scenarios identify alternate input options,"qualified feedstock, logistics, energy, and market dependencies remain",SCENARIO_ASSUMPTION,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-06,substitution option is not immunity,"Response option is not a guaranteed action, capacity, benefit, or outcome."
RESP-16A-013,technology-assisted decision support,all represented systems,Phase 15A interfaces explicitly support qualitative analytics or observation,AI recommendation is not autonomous authority; sensing is not control,INFERRED,data/processed/integration/technology_system_interfaces.csv#TSI-001,decision support may improve observability without guaranteeing action,"Response option is not a guaranteed action, capacity, benefit, or outcome."
