scenario_id,scenario_year,object_id,baseline_object_id,component,future_state,reality_status,relationship_basis,assumption_id,source_id,plausibility,notes
A2050,2050,SCN-A2050-01,BGC-001,biogeochemical_component,retention_strengthened,fictional,scenario_assumption,BGSA-A2050-01,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2050,2050,SCN-A2050-02,BGC-004,biogeochemical_component,mobilization_reduced,fictional,scenario_assumption,BGSA-A2050-02,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2050,2050,SCN-A2050-03,BGC-005,biogeochemical_component,transport_managed,fictional,scenario_assumption,BGSA-A2050-03,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2050,2050,SCN-A2050-04,BGC-007,biogeochemical_component,delivery_reduced_or_buffered,fictional,scenario_assumption,BGSA-A2050-04,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2050,2050,SCN-A2050-05,BGC-008,biogeochemical_component,condition_improved_but_variable,fictional,scenario_assumption,BGSA-A2050-05,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2050,2050,SCN-A2050-06,BGC-010,biogeochemical_component,wetland_function_strengthened,fictional,scenario_assumption,BGSA-A2050-06,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2050,2050,SCN-A2050-07,BGC-013,biogeochemical_component,treatment_upgraded,fictional,scenario_assumption,BGSA-A2050-01,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2050,2050,SCN-A2050-08,BGC-014,biogeochemical_component,monitoring_expanded,fictional,scenario_assumption,BGSA-A2050-02,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2075,2075,SCN-A2075-01,BGC-001,biogeochemical_component,retention_strengthened,fictional,scenario_assumption,BGSA-A2075-01,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2075,2075,SCN-A2075-02,BGC-004,biogeochemical_component,mobilization_reduced,fictional,scenario_assumption,BGSA-A2075-02,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2075,2075,SCN-A2075-03,BGC-005,biogeochemical_component,transport_managed,fictional,scenario_assumption,BGSA-A2075-03,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
A2075,2075,SCN-A2075-04,BGC-007,biogeochemical_component,delivery_reduced_or_buffered,fictional,scenario_assumption,BGSA-A2075-04,bge_epa_lake_erie,limited,"Qualitative future state; no numeric load, concentration, or HAB magnitude."
