assumption_id,scenario_id,scenario,horizon,domain,assumption,evidence_basis,source_id,uncertainty,reality_status,canon_status,classification,numeric_future_value_adopted,notes
S11C-A2050-01,A2050,Connected Reconcentration,2050,population_distribution,"Connected Reconcentration treats relative population distribution changes among existing county and settlement anchors without a future total. This is an explicit intermediate trajectory scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2050-02,A2050,Connected Reconcentration,2050,settlement_form,"Connected Reconcentration treats settlement form changes through concentration, deconcentration, infill, reuse, and secondary-center relationships. This is an explicit intermediate trajectory scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2050-03,A2050,Connected Reconcentration,2050,housing_form,"Connected Reconcentration treats housing form and reuse diverge qualitatively without converting persons into households or housing units. This is an explicit intermediate trajectory scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2050-04,A2050,Connected Reconcentration,2050,employment_geography,"Connected Reconcentration treats employment geography changes as a relationship among jobs, workers, and settlement locations without forecasting job totals. This is an explicit intermediate trajectory scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2050-05,A2050,Connected Reconcentration,2050,mobility_and_migration_boundary,"Connected Reconcentration treats commuting and migration remain separate; no individual movement or residential-relocation path is modeled. This is an explicit intermediate trajectory scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2050-06,A2050,Connected Reconcentration,2050,infrastructure_service_dependence,"Connected Reconcentration treats service dependence and maintenance interfaces change without assigning residents to exact utility territories or calculating vulnerability. This is an explicit intermediate trajectory scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2075-01,A2075,Connected Reconcentration,2075,population_distribution,"Connected Reconcentration treats relative population distribution changes among existing county and settlement anchors without a future total. This is an explicit matured or diverged scenario state scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,high,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2075-02,A2075,Connected Reconcentration,2075,settlement_form,"Connected Reconcentration treats settlement form changes through concentration, deconcentration, infill, reuse, and secondary-center relationships. This is an explicit matured or diverged scenario state scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2075-03,A2075,Connected Reconcentration,2075,housing_form,"Connected Reconcentration treats housing form and reuse diverge qualitatively without converting persons into households or housing units. This is an explicit matured or diverged scenario state scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
S11C-A2075-04,A2075,Connected Reconcentration,2075,employment_geography,"Connected Reconcentration treats employment geography changes as a relationship among jobs, workers, and settlement locations without forecasting job totals. This is an explicit matured or diverged scenario state scenario assumption, not an official local forecast.",accepted 2026 settlement and employment anchors plus explicit connected-reconcentration scenario construction,S11C-POP-PROJ,moderate,fictional,scenario,SCENARIO ASSUMPTION,false,"Qualitative future state only; no unsupported exact population, household, housing-unit, worker, job, commuter, or migration value is created."
