geoid,name,candidate_intersection_km2
39125,Paulding County,978.61
39161,Van Wert County,617.69
39051,Fulton County,528.25
39137,Putnam County,522.89
39069,Henry County,510.01
39039,Defiance County,404.72
39173,Wood County,398.16
39063,Hancock County,244.84
39095,Lucas County,143.84
39171,Williams County,99.36
39003,Allen County,90.7
39107,Mercer County,77.7
39011,Auglaize County,23.21
39065,Hardin County,20.85
39175,Wyandot County,10.94
39149,Shelby County,0.69
26059,Hillsdale County,0.12
18003,Allen County,0.09
