scenario_id,scenario_year,edge_id,from_object_id,to_object_id,interface_type,change_type,reality_status,relationship_basis,assumption_id,source_id,notes
A2050,2050,BGS-E-A2050-01,SCN-A2050-01,SCN-A2050-02,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2050-01,bge_epa_lake_erie,No exact future transport or effect size.
A2050,2050,BGS-E-A2050-02,SCN-A2050-02,SCN-A2050-03,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2050-02,bge_epa_lake_erie,No exact future transport or effect size.
A2050,2050,BGS-E-A2050-03,SCN-A2050-03,SCN-A2050-04,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2050-03,bge_epa_lake_erie,No exact future transport or effect size.
A2050,2050,BGS-E-A2050-04,SCN-A2050-04,SCN-A2050-05,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2050-04,bge_epa_lake_erie,No exact future transport or effect size.
A2050,2050,BGS-E-A2050-05,SCN-A2050-05,SCN-A2050-06,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2050-05,bge_epa_lake_erie,No exact future transport or effect size.
A2050,2050,BGS-E-A2050-06,SCN-A2050-06,SCN-A2050-07,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2050-06,bge_epa_lake_erie,No exact future transport or effect size.
A2050,2050,BGS-E-A2050-07,SCN-A2050-07,SCN-A2050-08,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2050-01,bge_epa_lake_erie,No exact future transport or effect size.
A2075,2075,BGS-E-A2075-01,SCN-A2075-01,SCN-A2075-02,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2075-01,bge_epa_lake_erie,No exact future transport or effect size.
A2075,2075,BGS-E-A2075-02,SCN-A2075-02,SCN-A2075-03,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2075-02,bge_epa_lake_erie,No exact future transport or effect size.
A2075,2075,BGS-E-A2075-03,SCN-A2075-03,SCN-A2075-04,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2075-03,bge_epa_lake_erie,No exact future transport or effect size.
A2075,2075,BGS-E-A2075-04,SCN-A2075-04,SCN-A2075-05,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2075-04,bge_epa_lake_erie,No exact future transport or effect size.
A2075,2075,BGS-E-A2075-05,SCN-A2075-05,SCN-A2075-06,material_or_control_interface,qualitative_change,fictional,scenario_assumption,BGSA-A2075-05,bge_epa_lake_erie,No exact future transport or effect size.
