relationship_id,phase5a_edge_id,from_id,to_id,mode,commodity_class,evidence_class,upgrade_status,source_id,confidence,notes
EREL-001,FRT-E-002,FRT-PORT-TOLEDO,FRT-MKT-MICHIGAN-CANADA,highway,container_or_general_freight;industrial_materials,documented_corridor,strengthened,phase5a_toledo_port,medium,Port page provides designated Michigan/Canada heavy-haul evidence; exact route and permit remain outside scope.
EREL-002,FRT-E-003,FRT-PORT-TOLEDO,FRT-RAIL-NS,rail,container_or_general_freight;industrial_materials,documented_interchange,strengthened,phase5a_toledo_port,medium,On-dock Class I access plus public NS listing strengthens the interface; terminal-specific use is not claimed.
EREL-003,FRT-E-004,FRT-PORT-TOLEDO,FRT-RAIL-CSXT,rail,container_or_general_freight;industrial_materials,documented_interchange,strengthened,phase5a_toledo_port,medium,Public port carrier listing supports relevance; no terminal-specific use is claimed.
EREL-004,FRT-E-005,FRT-PORT-TOLEDO,FRT-RAIL-CN,rail,container_or_general_freight;industrial_materials,documented_interchange,strengthened,phase5a_toledo_port,medium,Public port carrier listing supports relevance; no terminal-specific use is claimed.
EREL-005,FRT-E-006,FRT-PORT-TOLEDO,FRT-RAIL-WLE,rail,aggregate;lime;industrial_materials,proximity_only,unchanged,phase5a_toledo_port,medium,W&LE is publicly listed but a specific interchange remains unverified.
EREL-006,FRT-E-007,FRT-PORT-TOLEDO,FRT-HWY-I75,highway,container_or_general_freight;industrial_materials,documented_facility_access,confirmed,phase5a_toledo_port,high,Port identifies I-75 access; no plant-specific truck assignment is made.
EREL-007,FRT-E-008,FRT-PORT-TOLEDO,FRT-HWY-I80-90,highway,container_or_general_freight;aggregate;industrial_materials,documented_facility_access,confirmed,phase5a_toledo_port,high,Port identifies I-80/90 access; no plant-specific truck assignment is made.
EREL-008,FRT-E-009,FRT-PORT-TOLEDO,FRT-TERM-IRONVILLE,marine,steel_or_metal_products;industrial_materials,documented_shipment_relationship,confirmed,phase5a_toledo_port,high,Vessel-delivered input to Ironville is documented; quantity and route remain absent.
EREL-009,FRT-E-010,FRT-TERM-IRONVILLE,FRT-MKT-MIDWEST-INDUSTRIAL,rail,steel_or_metal_products,documented_shipment_relationship,confirmed,phase5a_toledo_port,high,Finished product leaves Ironville by rail; destination is generalized.
EREL-010,FRT-E-011,FRT-TERM-IRONVILLE,FRT-MKT-MIDWEST-INDUSTRIAL,highway,steel_or_metal_products,documented_shipment_relationship,confirmed,phase5a_toledo_port,high,Finished product leaves Ironville by truck; destination and route are generalized.
EREL-011,FRT-E-025,BER-PROC-ELMORE,FRT-MKT-GREAT-LAKES,generalized,strategic_materials;industrial_materials,generalized_logistics_dependency,unchanged,phase5a_materion_elmore,medium,Elmore logistics dependency remains generalized; no specific freight mode or route is documented.
EREL-012,FRT-E-026,BER-LEG-LUCKEY,FRT-MKT-LICENSED-DISPOSAL,generalized,industrial_materials;chemicals,documented_shipment_relationship,confirmed,phase5a_luckey_logistics,high,Licensed off-site remediation disposal is documented without a route or quantity.
