scenario_id,scenario_year,state_id,baseline_object_id,hazard_family,change_type,future_state,reality_status,relationship_basis,assumption_id,source_id,plausibility,notes
A2050,2050,CSH-A2050-01,HZ-001,extreme_heat,qualitative_driver,warming_and_hot_days_continue_buffered,fictional,scenario_assumption,CSA-A2050-01,c9_glisa_summary,limited,Qualitative scenario state; no local future hazard surface or probability.
A2050,2050,CSH-A2050-02,HZ-004,heavy_precipitation_flooding,qualitative_driver,precipitation_variability_persists_buffered,fictional,scenario_assumption,CSA-A2050-02,c9_glisa_summary,limited,Qualitative scenario state; no local future hazard surface or probability.
A2050,2050,CSH-A2050-03,HZ-009,drought_low_water,qualitative_driver,drought_low_water_variability_persists_buffered,fictional,scenario_assumption,CSA-A2050-03,c9_nca_midwest,limited,Qualitative scenario state; no local future hazard surface or probability.
A2050,2050,CSH-A2050-04,HZ-012,lake_coastal,qualitative_driver,lake_level_sign_uncertain_buffered,fictional,scenario_assumption,CSA-A2050-04,c9_notaro_levels,limited,Qualitative scenario state; no local future hazard surface or probability.
A2050,2050,CSH-A2050-05,HZ-016,severe_convective,qualitative_driver,convective_change_uncertain_buffered,fictional,scenario_assumption,CSA-A2050-05,c9_nca_midwest,limited,Qualitative scenario state; no local future hazard surface or probability.
A2050,2050,CSH-A2050-06,HZ-018,winter,qualitative_driver,warmer_winter_with_snow_ice_transition_buffered,fictional,scenario_assumption,CSA-A2050-06,c9_notaro_snow,limited,Qualitative scenario state; no local future hazard surface or probability.
A2075,2075,CSH-A2075-01,HZ-001,extreme_heat,qualitative_driver,warming_and_hot_days_continue_buffered,fictional,scenario_assumption,CSA-A2075-01,c9_glisa_summary,limited,Qualitative scenario state; no local future hazard surface or probability.
A2075,2075,CSH-A2075-02,HZ-004,heavy_precipitation_flooding,qualitative_driver,precipitation_variability_persists_buffered,fictional,scenario_assumption,CSA-A2075-02,c9_glisa_summary,limited,Qualitative scenario state; no local future hazard surface or probability.
A2075,2075,CSH-A2075-03,HZ-009,drought_low_water,qualitative_driver,drought_low_water_variability_persists_buffered,fictional,scenario_assumption,CSA-A2075-03,c9_nca_midwest,limited,Qualitative scenario state; no local future hazard surface or probability.
A2075,2075,CSH-A2075-04,HZ-012,lake_coastal,qualitative_driver,lake_level_sign_uncertain_buffered,fictional,scenario_assumption,CSA-A2075-04,c9_notaro_levels,limited,Qualitative scenario state; no local future hazard surface or probability.
A2075,2075,CSH-A2075-05,HZ-016,severe_convective,qualitative_driver,convective_change_uncertain_buffered,fictional,scenario_assumption,CSA-A2075-05,c9_nca_midwest,limited,Qualitative scenario state; no local future hazard surface or probability.
A2075,2075,CSH-A2075-06,HZ-018,winter,qualitative_driver,warmer_winter_with_snow_ice_transition_buffered,fictional,scenario_assumption,CSA-A2075-06,c9_notaro_snow,limited,Qualitative scenario state; no local future hazard surface or probability.
B2050,2050,CSH-B2050-01,HZ-001,extreme_heat,qualitative_driver,warming_and_hot_days_continue_managed_unevenly,fictional,scenario_assumption,CSA-B2050-01,c9_glisa_summary,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2050,2050,CSH-B2050-02,HZ-004,heavy_precipitation_flooding,qualitative_driver,precipitation_variability_persists_managed_unevenly,fictional,scenario_assumption,CSA-B2050-02,c9_glisa_summary,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2050,2050,CSH-B2050-03,HZ-009,drought_low_water,qualitative_driver,drought_low_water_variability_persists_managed_unevenly,fictional,scenario_assumption,CSA-B2050-03,c9_nca_midwest,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2050,2050,CSH-B2050-04,HZ-012,lake_coastal,qualitative_driver,lake_level_sign_uncertain_managed_unevenly,fictional,scenario_assumption,CSA-B2050-04,c9_notaro_levels,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2050,2050,CSH-B2050-05,HZ-016,severe_convective,qualitative_driver,convective_change_uncertain_managed_unevenly,fictional,scenario_assumption,CSA-B2050-05,c9_nca_midwest,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2050,2050,CSH-B2050-06,HZ-018,winter,qualitative_driver,warmer_winter_with_snow_ice_transition_managed_unevenly,fictional,scenario_assumption,CSA-B2050-06,c9_notaro_snow,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2075,2075,CSH-B2075-01,HZ-001,extreme_heat,qualitative_driver,warming_and_hot_days_continue_managed_unevenly,fictional,scenario_assumption,CSA-B2075-01,c9_glisa_summary,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2075,2075,CSH-B2075-02,HZ-004,heavy_precipitation_flooding,qualitative_driver,precipitation_variability_persists_managed_unevenly,fictional,scenario_assumption,CSA-B2075-02,c9_glisa_summary,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2075,2075,CSH-B2075-03,HZ-009,drought_low_water,qualitative_driver,drought_low_water_variability_persists_managed_unevenly,fictional,scenario_assumption,CSA-B2075-03,c9_nca_midwest,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2075,2075,CSH-B2075-04,HZ-012,lake_coastal,qualitative_driver,lake_level_sign_uncertain_managed_unevenly,fictional,scenario_assumption,CSA-B2075-04,c9_notaro_levels,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2075,2075,CSH-B2075-05,HZ-016,severe_convective,qualitative_driver,convective_change_uncertain_managed_unevenly,fictional,scenario_assumption,CSA-B2075-05,c9_nca_midwest,moderate,Qualitative scenario state; no local future hazard surface or probability.
B2075,2075,CSH-B2075-06,HZ-018,winter,qualitative_driver,warmer_winter_with_snow_ice_transition_managed_unevenly,fictional,scenario_assumption,CSA-B2075-06,c9_notaro_snow,moderate,Qualitative scenario state; no local future hazard surface or probability.
