register_id,domain,system_node_id,node_name,primary_modes,dependency_classes,dependency_strength,known_redundancy,unknown_redundancy,external_orientation,evidence_confidence,source_id,notes
FDR-001,port_marine,FRT-PORT-TOLEDO,Port of Toledo,marine;rail;highway,marine_gateway_dependency;interchange_dependency;external_market_dependency,high,multiple named modes and 13-terminal context,terminal-specific use and carrier substitution,high,high,phase5a_toledo_port,Gateway concentration is visible; no vulnerability claim.
FDR-002,rail,FRT-RAIL-NS,Norfolk Southern Class I corridor context,rail,rail_dependency;interchange_dependency,moderate,other listed Class I interfaces,facility-specific use and substitution,high,moderate,phase5a_ntad_rail,Corridor evidence is stronger than facility-use evidence.
FDR-003,rail,FRT-RAIL-CSXT,CSX Class I corridor context,rail,rail_dependency;interchange_dependency,moderate,other listed Class I interfaces,facility-specific use and substitution,high,moderate,phase5a_ntad_rail,Corridor evidence is stronger than facility-use evidence.
FDR-004,rail,FRT-RAIL-CN,Canadian National Class I corridor context,rail,rail_dependency;external_market_dependency,moderate,other listed Class I interfaces,facility-specific use and substitution,high,moderate,phase5a_ntad_rail,Corridor evidence is stronger than facility-use evidence.
FDR-005,highway,FRT-HWY-I75,I-75 corridor,highway,highway_dependency;external_market_dependency,high,parallel regional highways,plant-specific movement,high,high,phase5a_fhwa_faf,Regional connectivity is documented; local assignments are not.
FDR-006,highway,FRT-HWY-I80-90,I-80/I-90 corridor,highway,highway_dependency;external_market_dependency,high,parallel regional highways,plant-specific movement,high,high,phase5a_fhwa_faf,Regional connectivity is documented; local assignments are not.
FDR-007,fuel,FRT-FUEL-EXTERNAL,External fuel interface,generalized,fuel_logistics_dependency;external_market_dependency,high,unknown,pipeline and contract substitution unknown,high,low,phase5a_eia_petroleum,"Generalized external interface, not a pipeline map."
FDR-008,carbonate_materials,CARB-EXT-AREA-WOODVILLE,Area Aggregates Woodville,generalized,external_market_dependency;highway_dependency,moderate,unknown,mode and customer unknown,moderate,moderate,phase5a_area_woodville,Existing facility node; freight access remains unresolved.
FDR-009,carbonate_materials,CARB-PROC-MM-WOODVILLE,Martin Marietta Woodville,generalized,external_market_dependency;highway_dependency,moderate,unknown,mode and customer unknown,moderate,moderate,phase5a_mm_woodville,Existing facility node; freight access remains unresolved.
FDR-010,carbonate_materials,CARB-PROC-GRAYMONT-GENOA,Graymont Genoa,generalized,external_market_dependency,moderate,unknown,quarry/feed and mode unknown,moderate,moderate,phase5a_graymont_genoa,Existing facility node; specific freight access remains unresolved.
FDR-011,strategic_materials,BER-PROC-ELMORE,Materion Elmore,generalized,external_market_dependency;interchange_dependency,high,unknown,nonlocal feed route and mode unknown,high,moderate,phase5a_materion_elmore,External orientation is supported; precise logistics are not.
FDR-012,agriculture_bulk,FRT-AG-MIDWEST-BULK,Midwest agricultural bulk context,multimodal,external_market_dependency,moderate,unknown,Toledo-specific route unknown,high,low,phase5a_fhwa_faf,Broad commodity context only.
