crosswalk_id,pathway,claim,source,evidence_type,supports,does_not_support,confidence,status,notes
C-001,Drinking Water / HAB,Western Lake Erie HAB/source-water conditions are monitored,NOAA HAB forecast; Ohio EPA HAB,environmental evidence,source-water condition and monitoring context,"finished-water concentration, exposure, dose, illness",high,environmental_presence,Claim boundary is limited to the stated evidence.
C-002,Drinking Water / HAB,Toledo treatment is a control interface,City of Toledo Water Treatment,institutional control,treatment/control context,effective personal dose or harm,high,controlled_pathway,Claim boundary is limited to the stated evidence.
C-003,Ambient Air,EPA AQS provides public ambient observations,EPA AQS/AirData,environmental evidence,monitoring and regulatory interpretation,"facility plume, personal concentration, dose, illness",high,monitoring_control,Claim boundary is limited to the stated evidence.
C-004,Ambient Air,Ohio/Michigan stations provide geographically relevant context,Ohio EPA; Michigan EGLE air monitoring,environmental evidence,state monitoring context,uniform regional coverage or causation,moderate,monitoring_control,Claim boundary is limited to the stated evidence.
C-005,Legacy Contamination,Luckey contamination and remediation are documented,USACE Luckey Site,environmental evidence,soil/groundwater legacy and cleanup,"individual exposure, illness, plume",high,environmental_presence,Claim boundary is limited to the stated evidence.
C-006,Legacy Contamination,Luckey groundwater monitoring includes onsite exceedances and sampled residential result,USACE Fall 2025 groundwater release,environmental evidence,monitoring distinction between onsite and sampled residential well,documented individual exposure or dose,high,monitoring_control,Claim boundary is limited to the stated evidence.
C-007,Food / Fish,Ohio fish advisories provide consumption guidance,Ohio EPA/ODH fish advisories,advisory evidence,generic consumption advisory context,"actual consumption, dose, harm",high,advisory_context,Claim boundary is limited to the stated evidence.
C-008,Recreational Water,Ohio recreational-water monitoring supports advisories,Ohio EPA recreational water,monitoring/advisory evidence,generic recreation context,individual recreation or illness,moderate,advisory_context,Claim boundary is limited to the stated evidence.
C-009,Heat,NWS warnings/observations identify heat stress conditions,NWS heat products,meteorological evidence,environmental stress and protective guidance,"individual dose, illness, mortality",high,environmental_presence,Claim boundary is limited to the stated evidence.
C-010,All pathways,No included source demonstrates an actual individual exposure,Phase 2C and Phase 7A evidence review,evidence gap,absence of documented exposure claim in package,proof that no person was ever exposed,moderate,unknown,"This is a scope/evidence statement, not a population study."
