assumption_id,scenario_id,scenario_year,ecological_component,assumption,driver,basis,source_id,plausibility,uncertainty,dependency,status,notes
ECSA-A2050-1,A2050,2050,cross_system,Wetland and riparian restoration expands through coordinated adaptive management.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-A2050-2,A2050,2050,cross_system,Ecological monitoring and nutrient management support stronger connectivity.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-A2050-3,A2050,2050,cross_system,Land availability and maintenance constrain restoration reach.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,unknown,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-A2075-1,A2075,2075,cross_system,Wetland and riparian restoration expands through coordinated adaptive management.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-A2075-2,A2075,2075,cross_system,Ecological monitoring and nutrient management support stronger connectivity.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-A2075-3,A2075,2075,cross_system,Land availability and maintenance constrain restoration reach.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,unknown,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-B2050-1,B2050,2050,cross_system,"Working agriculture, cities, industry, and ecological functions continue together.",landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,high,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-B2050-2,B2050,2050,cross_system,"Targeted buffers, drainage adaptation, and selective restoration persist.",landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,high,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-B2050-3,B2050,2050,cross_system,Fragmentation remains but strategic links are maintained.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,high,unknown,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-B2075-1,B2075,2075,cross_system,"Working agriculture, cities, industry, and ecological functions continue together.",landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,high,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-B2075-2,B2075,2075,cross_system,"Targeted buffers, drainage adaptation, and selective restoration persist.",landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,high,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-B2075-3,B2075,2075,cross_system,Fragmentation remains but strategic links are maintained.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,high,unknown,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-C2050-1,C2050,2050,cross_system,Compound disturbance pressure outpaces broad restoration capacity.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-C2050-2,C2050,2050,cross_system,Aquatic and wetland management becomes more intensive and uncertain.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-C2050-3,C2050,2050,cross_system,Ecological refugia and managed support become more important.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,unknown,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-C2075-1,C2075,2075,cross_system,Compound disturbance pressure outpaces broad restoration capacity.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-C2075-2,C2075,2075,cross_system,Aquatic and wetland management becomes more intensive and uncertain.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,moderate,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
ECSA-C2075-3,C2075,2075,cross_system,Ecological refugia and managed support become more important.,landscape_and_ecological_drivers,qualitative_scenario_basis,usfws_nwi,moderate,unknown,connectivity_and_disturbance,scenario_assumption,No probability or forecast is assigned.
