control_id,control_type,control_name,targets,documented_mechanism,support_status,effectiveness_status,source_id,confidence,notes
HZC-001,warning,NWS forecasts and hazard warnings,heat;convective;winter;flood,Public forecast and warning interface exists.,documented_control,effectiveness not quantified,b9_nws_points,moderate,"Not a guarantee of receipt, compliance, or hazard reduction."
HZC-002,heat_warning,NWS heat warning / forecast interface,extreme heat,NWS forecast and warning products can support public heat decisions.,documented_control,effectiveness not quantified,b9_nws_points,moderate,"No cooling-center inventory, receipt/compliance evidence, or health analysis."
HZC-003,hydrologic_monitoring,USGS stream gauges,flood;low flow,Daily streamflow observation supports flood and low-flow awareness.,documented_control,coverage partial,b9_usgs_dv,high,One representative gauge does not cover all tributaries.
HZC-004,lake_monitoring,NOAA CO-OPS Toledo water-level observations,lake level;coastal,CO-OPS station 9063085 measures and archives local daily-mean water levels.,documented_control,coverage partial; effectiveness not applicable,b9_coops_daily,high,One station is not a complete Great Lakes network or shoreline risk score.
HZC-005,drought_monitoring,U.S. Drought Monitor,drought;low water,Weekly multi-indicator drought assessment supports regional awareness.,documented_control,local specificity limited,b9_drought_gov,high,Assessment is not groundwater measurement.
HZC-006,floodplain_management,FEMA regulatory flood-hazard mapping and management,flood,Regulatory flood mapping provides planning context.,documented_planning_context,effectiveness not inferred,b9_fema_nfhl,moderate,Regulatory zones are not observed event footprints.
HZC-007,stormwater_context,Ohio EPA NPDES permitted-discharge and treatment context,precipitation;stormwater,Ohio EPA NPDES provides permitted-discharge and treatment regulatory context; no local municipal stormwater control inventory is established here.,documented_planning_context,effectiveness unknown,bge_ohio_epa_npdes,moderate,"Permits are not actual loads or evidence of local outfall, overflow, or treatment performance."
HZC-008,ecological_buffer,USFWS NWI wetlands and floodplain storage context,flood;nutrient;ecology,USFWS NWI provides wetland inventory and a potential retention/buffering interface as physical system logic.,potential_buffer_inference,effectiveness site-specific,bge_usfws_nwi,moderate,"Inventory presence does not establish condition, storage, or nutrient-removal rate."
HZC-009,agricultural_conservation,H2Ohio conservation and nutrient-management pathway,drought;precipitation;nutrient,"H2Ohio provides a nutrient-management and water-quality intervention pathway, not a verified local control inventory.",documented_management_pathway,regional outcome heterogeneous,bge_ohio_h2ohio,moderate,Program context does not establish farm-level adoption or achieved reduction.
HZC-010,coastal_management,lake-level viewer and shoreline planning tools,lake level;coastal,Screening tools expose lake-level context for planning.,documented_tool,not effectiveness,d9_noaa_llv,moderate,Calm-day viewer excludes wind/seiche and erosion.
HZC-011,winterization,seasonal winter maintenance context,winter;freeze-thaw,Winter forecasts can support seasonal preparation; asset maintenance is not inventoried here.,plausible_control,effectiveness not quantified,d9_nws_cle_winter,limited,No asset-level winterization inventory.
HZC-012,information_integration,NWS Great Lakes observation interface,lake;coastal;winter,NWS Great Lakes observations provide a public lake-condition information interface; cross-network coordination is not established here.,documented_interfaces_only,integration effectiveness unknown,d9_nws_gl_obs,moderate,No comprehensive emergency-management model.
