edge_id,from_id,to_id,material,flow_type,relationship_basis,reality_status,canon_status,confidence,source_id,relationship_date,current_status,notes
CARB-E01,CARB-GEO-REGIONAL,CARB-EXT-AREA-WOODVILLE,limestone,resource_to_extraction,scientific_inference,real,inferred,medium,SRC-ODNR-BEDROCK-2006,not_applicable,current_2026_baseline,Facility lies in the regional carbonate landscape; this does not delineate its worked geologic unit.
CARB-E02,CARB-GEO-REGIONAL,CARB-EXT-MM-WOODVILLE,dolomitic limestone,resource_to_extraction,scientific_inference,real,inferred,medium_high,SRC-ODNR-MINERALS-2021,not_applicable,current_2026_baseline,ODNR corroborates the quarry; generalized geology is not a quarry boundary.
CARB-E03,CARB-EXT-MM-WOODVILLE,CARB-PROC-MM-WOODVILLE,dolomitic limestone,extraction_to_processing,supply_chain_inference,real,inferred,medium,SRC-MM-WOODVILLE-2025,not_applicable,current_2026_baseline,"Co-location and dolomitic feed are documented, but an explicit internal feed statement was not located."
CARB-E04,CARB-EXT-AREA-WOODVILLE,CARB-MAT-AGGREGATE,limestone / aggregate,facility_to_product,documented_supply_relationship,real,verified,high,SRC-KOKOSING-SPECIALTY-2026,not_applicable,current_2026_baseline,Official company page lists Woodville specialty aggregate products.
CARB-E05,CARB-EXT-AREA-WOODVILLE,CARB-END-AGRICULTURE,agricultural lime,facility_to_end_use,documented_supply_relationship,real,verified,high,SRC-KOKOSING-SPECIALTY-2026,not_applicable,current_2026_baseline,Official company page lists agricultural lime at Woodville; no customer or route asserted.
CARB-E06,CARB-PROC-MM-WOODVILLE,CARB-MAT-LIME,lime / magnesia products,facility_to_product,observed,real,verified,high,SRC-MM-WOODVILLE-2025,not_applicable,current_2026_baseline,Company documentation identifies dolomitic limestone processing and lime kilns at Woodville.
CARB-E07,CARB-GEO-REGIONAL,CARB-PROC-GRAYMONT-GENOA,dolomitic limestone,resource_to_processing,supply_chain_inference,real,inferred,medium,SRC-GRAYMONT-GENOA-2026,not_applicable,current_2026_baseline,"Genoa uses dolomitic limestone, but the specific quarry/feed relationship is unresolved."
CARB-E08,CARB-PROC-GRAYMONT-GENOA,CARB-MAT-LIME,dolomitic hydrated lime,facility_to_product,observed,real,verified,high,SRC-GRAYMONT-GENOA-2026,not_applicable,current_2026_baseline,Official Graymont product/facility materials support Genoa lime production.
CARB-E09,CARB-MAT-LIME,CARB-END-WATER,quicklime / hydrated lime,functional_dependency,engineering_dependency,real,verified,high,SRC-EPA-CAO-2022,not_applicable,current_2026_baseline,General water-sector dependency; no named local facility-to-Toledo contract is claimed.
CARB-E10,CARB-MAT-LIME,CARB-END-METALLURGY,lime,functional_dependency,engineering_dependency,real,verified,high,SRC-EPA-CAO-2022,not_applicable,current_2026_baseline,Nationally documented metallurgical function; no named local customer relationship.
CARB-E11,CARB-MAT-LIME,CARB-END-CONSTRUCTION,lime,functional_dependency,engineering_dependency,real,verified,high,SRC-EPA-CAO-2022,not_applicable,current_2026_baseline,Documented construction function; no shipment route or customer asserted.
