termination_id,test_id,branch_id,phase16a_stressor_id,initial_system_id,last_stage_id,last_stage,last_target_system_id,baseline_or_scenario,scenario_condition,termination_status,termination_basis,continuation_check,defensible_branch_termination,notes
TERM-16B-001,P16B-CAND-001,P16B-001-HEAT,STRESS-HEAT-EXTREME,SYS-CLIMATE,P16B-CAND-001-P16B-001-HEAT-STAGE-01,1,SYS-ENERGY,baseline,baseline Phase 16A rule application; no future scenario state is asserted,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-002,P16B-CAND-001,P16B-001-LOW-FLOW,STRESS-LOW-FLOW-DROUGHT,SYS-CLIMATE,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-02,2,SYS-ENERGY,baseline,baseline Phase 16A rule application; no future scenario state is asserted,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-003,P16B-CAND-001,P16B-001-GRID,STRESS-ELECTRIC-GRID,SYS-ENERGY,P16B-CAND-001-P16B-001-GRID-STAGE-01,1,SYS-DATA,scenario-conditioned,Phase 15B state reference(s) TDS-A2050-01; not a baseline path,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-004,P16B-CAND-002,P16B-002-HAB,STRESS-HAB-WATER-QUALITY,SYS-BIOGEOCHEMISTRY,P16B-CAND-002-P16B-002-HAB-STAGE-01,1,SYS-ECOLOGY,baseline,baseline Phase 16A rule application; no future scenario state is asserted,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-005,P16B-CAND-002,P16B-002-TREATMENT-ENERGY,STRESS-WATER-TREATMENT,SYS-WATER,P16B-CAND-002-P16B-002-TREATMENT-ENERGY-STAGE-01,1,SYS-ENERGY,baseline,baseline Phase 16A rule application; no future scenario state is asserted,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-006,P16B-CAND-002,P16B-002-TREATMENT-DISEASE,STRESS-WATER-TREATMENT,SYS-WATER,P16B-CAND-002-P16B-002-TREATMENT-DISEASE-STAGE-01,1,SYS-INFECTIOUS-DISEASE,baseline,baseline Phase 16A rule application; no future scenario state is asserted,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-007,P16B-CAND-003,P16B-003-TRANSPORT,STRESS-TRANSPORT-FREIGHT,SYS-FREIGHT,P16B-CAND-003-P16B-003-TRANSPORT-STAGE-01,1,SYS-ENERGY,baseline,baseline Phase 16A rule application; no future scenario state is asserted,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-008,P16B-CAND-003,P16B-003-CRITICAL-MATERIAL,STRESS-CRITICAL-MATERIAL,SYS-MATERIALS,,0,,baseline stressor with no selected current path,No Phase 16A scenario or baseline stage is selected for this stressor.,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_PHASE16A_RULE_FOR_STRESSOR,"The stressor has a valid Phase 16A initial system, but no defensible Phase 16A propagation rule is selected for this stressor; no stage is fabricated.",true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-009,P16B-CAND-003,P16B-003-FUEL,STRESS-FUEL-CONSTRAINT,SYS-FREIGHT,P16B-CAND-003-P16B-003-FUEL-STAGE-01,1,SYS-ENERGY,baseline,baseline Phase 16A rule application; no future scenario state is asserted,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_LATER_PHASE16A_RULE_FOR_SAME_STRESSOR_AND_TARGET,The selected branch was checked for a later Phase 16A rule for the same stressor beginning at the preceding target system; no defensible continuation is selected.,true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
TERM-16B-010,P16B-CAND-003,P16B-003-FEEDSTOCK,STRESS-INDUSTRIAL-FEEDSTOCK,SYS-MATERIALS,,0,,baseline stressor with no selected current path,No Phase 16A scenario or baseline stage is selected for this stressor.,TERMINATED — NO DEFENSIBLE CURRENT PATH,NO_PHASE16A_RULE_FOR_STRESSOR,"The stressor has a valid Phase 16A initial system, but no defensible Phase 16A propagation rule is selected for this stressor; no stage is fabricated.",true,Missing continuation is retained as a valid analytical result; termination is not a failure score or probability statement.
