event_id,site_id,site_name,start_date,end_date,date_precision,event_type,material,activity,role,agency,operator,source_id,confidence,notes,reality_status,canon_status
MEH-E001,LUCKEY,Luckey Site,1942,1945,range,historical_production,magnesium,Federal magnesium processing facility operated during World War II,production,U.S. government,National Lead,PH2C-USACE-LUCKEY-2026,high,,historical,verified
MEH-E002,LUCKEY,Luckey Site,1949,1958,range,historical_production,beryllium,AEC beryllium production,production,Atomic Energy Commission,Brush Beryllium Company,PH2C-USACE-LUCKEY-2026,high,"Produced beryllium oxide, hydroxide, and pebbles.",historical,verified
MEH-E003,LUCKEY,Luckey Site,1951,1952,approximate,material_storage,radioactively contaminated scrap metal,"Approximately 1,000 tons sent for proposed magnesium processing but not used",storage,Atomic Energy Commission,Brush Beryllium Company,PH2C-USACE-LUCKEY-2026,high,USACE states site investigations determined this scrap did not cause the site's radioactive contamination.,historical,verified
MEH-E004,LUCKEY,Luckey Site,1957,1960,range,historical_production,beryllium,Sintering and powder blending,production,Atomic Energy Commission,Brush Beryllium Company,PH2C-USACE-LUCKEY-2026,high,,historical,verified
MEH-E005,LUCKEY,Luckey Site,1958,1958,year,production_cessation,beryllium,Beryllium production ceased,closure,Atomic Energy Commission,Brush Beryllium Company,PH2C-USACE-LUCKEY-2026,high,,historical,verified
MEH-E006,LUCKEY,Luckey Site,1959,1959,year,closure,process sludge,AEC closure contract and two-acre diked landfill construction,waste management,Atomic Energy Commission,Brush Beryllium Company,PH2C-USACE-LUCKEY-2026,high,"Sludge from three lagoons was reportedly moved to the landfill, capped, graded, and seeded.",historical,verified
MEH-E007,LUCKEY,Luckey Site,1961,1961,year,ownership_transition,not applicable,Federal sale of facility,ownership,General Services Administration,various subsequent owners,PH2C-USACE-LUCKEY-2026,high,,historical,verified
MEH-E008,PROGRAM,FUSRAP,1974,1974,year,federal_program,radiological legacy,FUSRAP initiated,institutional response,U.S. Department of Energy predecessor program,not applicable,PH2C-USACE-FUSRAP,high,,real,verified
MEH-E009,LUCKEY,Luckey Site,1992,1992,year,federal_designation,beryllium,Luckey designated a FUSRAP site due to extensive surface contamination,designation,U.S. Department of Energy,not applicable,PH2C-USACE-LUCKEY-2026,high,,real,verified
MEH-E010,PROGRAM,FUSRAP,1997-10,1997-10,month,agency_transition,radiological legacy,Congress transferred FUSRAP execution from DOE to USACE,institutional response,U.S. Congress / USACE / DOE,not applicable,PH2C-USACE-FUSRAP,high,,real,verified
