scenario_id,scenario_year,pathway_family,baseline_object_id,change_type,state,assumption_id,plausibility,uncertainty,relationship_basis,notes
A,2050,Drinking Water / HAB,P-01,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-01-01,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2050,Ambient Air,P-02,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-01-02,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2050,Soil / Groundwater / Legacy Contamination,P-03,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-01-03,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2050,Food / Fish / Recreational Water,P-04,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-01-04,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2050,Heat,P-05,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-01-05,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2075,Drinking Water / HAB,P-01,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-02-01,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2075,Ambient Air,P-02,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-02-02,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2075,Soil / Groundwater / Legacy Contamination,P-03,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-02-03,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2075,Food / Fish / Recreational Water,P-04,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-02-04,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
A,2075,Heat,P-05,control_strengthened,condition → monitoring → control remains a qualitative dependency chain,EA-02-05,high,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2050,Drinking Water / HAB,P-01,persist,condition → monitoring → control remains a qualitative dependency chain,EA-03-01,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2050,Ambient Air,P-02,persist,condition → monitoring → control remains a qualitative dependency chain,EA-03-02,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2050,Soil / Groundwater / Legacy Contamination,P-03,persist,condition → monitoring → control remains a qualitative dependency chain,EA-03-03,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2050,Food / Fish / Recreational Water,P-04,persist,condition → monitoring → control remains a qualitative dependency chain,EA-03-04,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2050,Heat,P-05,persist,condition → monitoring → control remains a qualitative dependency chain,EA-03-05,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2075,Drinking Water / HAB,P-01,persist,condition → monitoring → control remains a qualitative dependency chain,EA-04-01,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2075,Ambient Air,P-02,persist,condition → monitoring → control remains a qualitative dependency chain,EA-04-02,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2075,Soil / Groundwater / Legacy Contamination,P-03,persist,condition → monitoring → control remains a qualitative dependency chain,EA-04-03,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2075,Food / Fish / Recreational Water,P-04,persist,condition → monitoring → control remains a qualitative dependency chain,EA-04-04,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
B,2075,Heat,P-05,persist,condition → monitoring → control remains a qualitative dependency chain,EA-04-05,moderate,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
C,2050,Drinking Water / HAB,P-01,uncertainty_increased,condition → monitoring → control remains a qualitative dependency chain,EA-05-01,exploratory,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
C,2050,Ambient Air,P-02,uncertainty_increased,condition → monitoring → control remains a qualitative dependency chain,EA-05-02,exploratory,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
C,2050,Soil / Groundwater / Legacy Contamination,P-03,uncertainty_increased,condition → monitoring → control remains a qualitative dependency chain,EA-05-03,exploratory,moderate,scenario relationship; not an exact route,No exposure magnitude or disease outcome.
