uncertainty_id,subject,category,statement,resolution_status,source_id,confidence,notes
IDBU-001,IDB-001,climate_vector,"Climate observations can frame seasonal context, but this package does not estimate vector suitability, abundance, or disease incidence.",open,phase9_hazard_dependency_context,high,Driver is not deterministic cause.
IDBU-002,IDB-002,hydrology_vector,"Standing-water and wetland context can identify a habitat interface, but vector response is not quantified.",open,phase1_water_context,high,Hydrology is not a vector count or disease surface.
IDBU-003,IDB-004,vector_human,"Vector ecology and pathogen-in-vector context do not establish human contact, exposure, infection, or clinical disease.",qualified,phase12_vector_dependency_context,high,Vector ecology != human disease.
IDBU-004,IDB-010,water_chain,"Water-system condition or flooding identifies an exposure opportunity only; contamination, exposure, infection, illness, and outbreak require separate evidence.",qualified,s13_cdc_water_surv,high,Contamination != illness.
IDBU-005,IDB-009,infrastructure_condition,Water and energy infrastructure are generalized dependencies; facility condition and treatment performance are not modeled.,open,phase1_water_context,high,No facility-specific burden or service assignment.
IDBU-006,IDB-013,food_freight,"Food/freight connectivity is an interface for distribution and investigation, not evidence of shipment, contamination, or outbreak.",open,phase5_freight_context,high,No commodity route or outbreak claim.
IDBU-007,IDB-019,population_contact,"Population concentration identifies a possible contact structure, not contact events, exposure, infection, or incidence.",qualified,phase11_population,high,Aggregate settlement scale only.
IDBU-008,IDB-020,mobility,"Aggregate mobility can indicate possible connectivity, but commuting and movement are not transmission observations.",qualified,phase11_mobility_context,high,Mobility != transmission.
IDBU-009,IDB-021,respiratory_setting,Indoor/community setting is a qualitative interface for respiratory systems; no density-to-incidence relationship is estimated.,open,s13_cdc_flu_methods,high,Population concentration != incidence.
IDBU-010,IDB-026,zoonotic_host,"Wildlife, domestic-animal, and occupational interfaces are pathway contexts; animal contact does not establish human infection or disease.",qualified,s13_cdc_rabies,high,Animal endpoint and human endpoint remain separate.
IDBU-011,IDB-031,surveillance_ascertainment,"Surveillance intensity, testing, reporting, and laboratory participation change detection opportunity and do not equal incidence or burden.",qualified,s13_nndss_about,high,Surveillance != incidence.
IDBU-012,IDB-034,healthcare_scale,Healthcare facility presence creates a care and detection interface; it does not establish facility-level disease burden.,qualified,s13_cdc_nhsn,high,Healthcare presence != prevalence.
IDBU-013,IDB-033,infrastructure_continuity,"Energy and communications dependencies may affect continuity of healthcare or surveillance functions, but no outage probability or health outcome is modeled.",open,phase3_energy_context,high,Infrastructure dependency is not disease burden.
IDBU-014,IDB-036,spatial_scale,"County, sewershed, facility, watershed, program, and generalized regional scales remain distinct and are not downscaled to neighborhoods or individuals.",qualified,phase11_population,high,Native source scale is retained.
