assumption_id,scenario_id,scenario_year,domain,assumption,basis,source_id,plausibility,uncertainty,dependency,status,notes
ISA-A2050-01,A2050,2050,cross_system,"Interoperable public observation standards expand across selected water, weather, and environmental products.",scenario extrapolation from coordinated observing-system guidance,phase4c_noaa_ioos,moderate,moderate,IOOS-style coordination and compatible public products,scenario_assumption,No universal data standard or complete coverage is assumed.
ISA-A2050-02,A2050,2050,cross_system,Provenance and public explanation become routine properties of high-consequence decision-support products.,scenario extrapolation from trustworthy AI and resilience guidance,phase4c_nist_ai_rmf,moderate,moderate,shared catalogs and traceable source lineage,scenario_assumption,The scenario strengthens provenance without making every process transparent.
ISA-A2050-03,A2050,2050,lake_erie_hab,HAB and drinking-water products share selected cross-agency inputs while City authority remains human.,Phase 4A/4B factual chain plus scenario assumption,phase4a_glerl_hab,moderate,moderate,shared forecast and explanation products,scenario_assumption,A direct machine-to-machine feed is not required by the scenario.
ISA-A2050-04,A2050,2050,maumee_hydrology,Flood and weather products expose clearer public context and interoperable warning explanations.,Phase 4A/4B factual chain plus scenario assumption,phase4a_nws_flood,moderate,moderate,public warning interoperability,scenario_assumption,No precise warning latency or coverage is forecast.
ISA-A2050-05,A2050,2050,environmental_regulatory,Selected regulatory records gain stronger provenance and cross-agency linkage while case authority remains institutional.,scenario extrapolation from public environmental data and AI governance,phase4c_nist_ai_rmf,moderate,moderate,traceable public regulatory data,scenario_assumption,No universal open access to operational or enforcement records is assumed.
ISA-A2050-06,A2050,2050,energy_information,PJM/EIA information remains partly public while operator and infrastructure boundaries remain protected.,Phase 4A/4B factual boundary plus resilience guidance,phase4c_cisa_cpg,high,moderate,public context plus restricted operational detail,scenario_assumption,No SCADA or private telemetry is introduced.
ISA-A2075-01,A2075,2075,cross_system,Interoperability is mature across major public environmental and infrastructure information products.,scenario continuation from IOOS coordination driver,phase4c_noaa_ioos,moderate,moderate,shared public standards,scenario_assumption,Mature coordination does not imply universal integration.
ISA-A2075-02,A2075,2075,cross_system,"Source provenance, model lineage, and public explanations are treated as routine infrastructure.",scenario continuation from NIST AI RMF,phase4c_nist_ai_rmf,moderate,moderate,traceable analysis,scenario_assumption,Institutional trust remains uneven.
ISA-A2075-03,A2075,2075,lake_erie_hab,"Lake Erie forecasts and drinking-water evidence are jointly legible across agencies, with City authority retained.",Phase 4A/4B chain plus scenario continuation,phase4a_glerl_hab,moderate,moderate,shared water decision context,scenario_assumption,No single integrated lake truth system is assumed.
ISA-A2075-04,A2075,2075,maumee_hydrology,Hydrologic and weather information is interoperable enough to support regional warning explanation.,Phase 4A/4B chain plus scenario continuation,phase4a_nws_flood,moderate,moderate,regional warning context,scenario_assumption,No complete basin coverage is assumed.
ISA-A2075-05,A2075,2075,environmental_regulatory,Regulatory data lineage is broadly shared while legal authority remains distributed.,scenario continuation from EPA data boundary,phase4a_epa_echo,moderate,moderate,provenance-linked oversight,scenario_assumption,Shared data do not erase jurisdiction.
ISA-A2075-06,A2075,2075,energy_information,PJM and public statistical information are trusted public interfaces around protected operational detail.,scenario continuation from PJM/CISA boundary,phase4c_cisa_cpg,high,moderate,public context with operational limits,scenario_assumption,No sensitive infrastructure disclosure is assumed.
ISA-B2050-01,B2050,2050,cross_system,"Observation ownership remains distributed among agencies, municipalities, and operators.",scenario extrapolation from IOOS coordination and local resilience,phase4c_noaa_ioos,moderate,moderate,federated exchange,scenario_assumption,No single regional data owner is assumed.
ISA-B2050-02,B2050,2050,cross_system,Selective exchange and minimum-necessary data practices become normal for public/operational boundaries.,scenario extrapolation from NIST Privacy Framework,phase4c_nist_privacy_framework,moderate,moderate,federated sharing,scenario_assumption,No specific privacy technology is assumed.
ISA-B2050-03,B2050,2050,lake_erie_hab,Local water managers retain decision capability while lake observations and forecasts are cross-checked across organizations.,Phase 4A/4B chain plus scenario assumption,phase4a_toledo_water_quality,moderate,moderate,local decision resilience,scenario_assumption,No local autonomy guarantee is made.
ISA-B2050-04,B2050,2050,maumee_hydrology,Municipal and regional flood information can degrade gracefully when a central product is unavailable.,scenario extrapolation from CISA continuity guidance,phase4c_cisa_cpg,moderate,moderate,redundant local exchange,scenario_assumption,No specific outage or response delay is forecast.
ISA-B2050-05,B2050,2050,environmental_regulatory,"Regulated reporters, state authorities, and federal programs exchange selected records without collapsing jurisdiction.",Phase 4B authority boundary plus scenario assumption,phase4a_epa_npdes,moderate,moderate,selective regulatory federation,scenario_assumption,Periodic reporting remains periodic.
ISA-B2050-06,B2050,2050,energy_information,PJM and utilities preserve operational boundaries while exchanging high-level continuity information.,Phase 4A/4B public boundary plus CISA guidance,phase4c_cisa_cpg,moderate,moderate,federated operator continuity,scenario_assumption,No utility topology is modeled.
ISA-B2075-01,B2075,2075,cross_system,Distributed observation owners use durable federation agreements rather than one central platform.,scenario continuation from IOOS and resilience guidance,phase4c_noaa_ioos,moderate,moderate,federated exchange,scenario_assumption,No universal standard is assumed.
ISA-B2075-02,B2075,2075,cross_system,Minimum-necessary exchange and privacy-aware stewardship remain institutional norms.,scenario continuation from NIST Privacy Framework,phase4c_nist_privacy_framework,moderate,moderate,selective access,scenario_assumption,No specific privacy technology is assumed.
ISA-B2075-03,B2075,2075,lake_erie_hab,Toledo and neighboring authorities maintain local water decisions while multiple observation paths cross-check one another.,Phase 4A/4B chain plus scenario continuation,phase4a_toledo_water_quality,moderate,moderate,local resilience,scenario_assumption,No single authority controls all lake information.
ISA-B2075-04,B2075,2075,maumee_hydrology,Flood information remains resilient through local fallback and regional coordination.,scenario continuation from CISA guidance,phase4c_cisa_cpg,moderate,moderate,redundant local services,scenario_assumption,No exact fallback performance is forecast.
ISA-B2075-05,B2075,2075,environmental_regulatory,"Regulatory data exchange is federated, with durable state/federal jurisdiction boundaries.",Phase 4B authority boundary plus scenario continuation,phase4a_epa_npdes,moderate,moderate,federated oversight,scenario_assumption,Shared data do not create one regulator.
ISA-B2075-06,B2075,2075,energy_information,Operator continuity depends on multiple trusted regional information exchanges with protected details.,scenario continuation from PJM/CISA boundary,phase4c_cisa_cpg,moderate,moderate,distributed continuity,scenario_assumption,No sensitive topology is exposed.
ISA-C2050-01,C2050,2050,cross_system,Dense sensing and machine-assisted analysis become strategically valuable across environmental and infrastructure domains.,explicit fictional scenario extrapolation from AI governance and observing systems,phase4c_nist_ai_rmf,exploratory,high,AI-assisted analysis and model dependence,scenario_assumption,No precise sensor count or deployment is assumed.
ISA-C2050-02,C2050,2050,cross_system,"Automated anomaly detection and recommendation expand, but final public authority remains human-supervised.",explicit fictional scenario assumption bounded by NIST AI RMF,phase4c_nist_ai_rmf,exploratory,high,human-in-the-loop decision support,scenario_assumption,AI does not receive sovereign or final governmental authority.
ISA-C2050-03,C2050,2050,lake_erie_hab,"HAB forecasts combine dense observations and AI-assisted analysis, increasing speed and model dependence for water managers.",Phase 4A/4B chain plus explicit scenario assumption,phase4a_glerl_hab,exploratory,high,forecast/model dependence,scenario_assumption,No local treatment automation or threshold is asserted.
ISA-C2050-04,C2050,2050,maumee_hydrology,Flood systems use machine-assisted anomaly detection and predictive products while NWS/public authorities retain warning authority.,Phase 4A/4B chain plus explicit scenario assumption,phase4c_nist_ai_rmf,exploratory,high,automated analysis with human warning authority,scenario_assumption,No exact prediction or response performance is forecast.
ISA-C2050-05,C2050,2050,environmental_regulatory,Environmental records gain stronger authentication/provenance while contested interpretations and access limits increase.,EPA boundary plus NIST/CISA scenario extrapolation,phase4c_cisa_cpg,exploratory,high,trusted lineage versus contested interpretation,scenario_assumption,No attack path or vulnerability is modeled.
ISA-C2050-06,C2050,2050,energy_information,PJM/operator information becomes more interconnected and compute-dependent while operational access becomes more restricted.,Phase 4A/4B public boundary plus explicit scenario assumption,phase4c_cisa_cpg,exploratory,high,"automation, availability, and restricted operational information",scenario_assumption,No SCADA or sensitive topology is introduced.
ISA-C2075-01,C2075,2075,cross_system,"Information infrastructure is dense, interconnected, and treated as a strategic continuity asset.",explicit fictional continuation from AI/resilience guidance,phase4c_cisa_cpg,exploratory,high,"availability, provenance, and concentration",scenario_assumption,No physical network topology is modeled.
ISA-C2075-02,C2075,2075,cross_system,"AI-assisted analysis and bounded automated operations are common, but human authority remains explicit and contestable.",explicit fictional continuation bounded by NIST AI RMF,phase4c_nist_ai_rmf,exploratory,high,supervisory human authority,scenario_assumption,No sovereign AI or final governmental AI authority is assumed.
ISA-C2075-03,C2075,2075,lake_erie_hab,Lake Erie water decisions depend on dense observation/model ecosystems with strong provenance and persistent model disagreement.,Phase 4A/4B chain plus explicit scenario continuation,phase4c_nist_ai_rmf,exploratory,high,model dependence and trust,scenario_assumption,No exact sensor locations or treatment controls are forecast.
ISA-C2075-04,C2075,2075,maumee_hydrology,"Flood understanding relies on automated analysis, local fallback, and human/public warning legitimacy.",Phase 4A/4B chain plus explicit scenario continuation,phase4c_cisa_cpg,exploratory,high,automated continuity and authority,scenario_assumption,No response probability or delay is calculated.
ISA-C2075-05,C2075,2075,environmental_regulatory,Regulatory decisions use authenticated machine-assisted records but remain jurisdictionally and politically contested.,EPA boundary plus explicit scenario continuation,phase4c_nist_ai_rmf,exploratory,high,provenance versus legitimacy,scenario_assumption,No specific failure or enforcement outcome is asserted.
ISA-C2075-06,C2075,2075,energy_information,"Energy information is highly interconnected, compute-dependent, and selectively restricted around operator decisions.",Phase 4A/4B boundary plus explicit scenario continuation,phase4c_cisa_cpg,exploratory,high,"availability, concentration, and restricted access",scenario_assumption,No sensitive topology or offensive security content is modeled.
