state_id,scenario_id,scenario,horizon,authority_id,actor_id,domain_system,authority_or_role,current_fact,scenario_assumption,scenario_consequence,future_authority_pattern,legal_status,human_decision_boundary,assumption_id,current_fact_source_id,source_id,reality_status,canon_status,notes
GAU-A2050-001,A2050,Integrated Basin Governance,2050,AUTH-001,GA-001,Water,regulate,CURRENT FACT (2026 baseline): GA-001 has the recorded regulate role in Water; binding status is binding.,"SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: regulate in Water gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-01,s01_epa_sdwa,GFS-006,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-002,A2050,Integrated Basin Governance,2050,AUTH-005,GA-002,Water,regulate,CURRENT FACT (2026 baseline): GA-002 has the recorded regulate role in Water; binding status is binding.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: regulate in Water gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-02,s02_ohio_pws,GFS-011,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-003,A2050,Integrated Basin Governance,2050,AUTH-008,GA-002,Water,monitor,CURRENT FACT (2026 baseline): GA-002 has the recorded monitor role in Water; binding status is not_applicable.,"SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: monitor in Water gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-03,s02_ohio_pws,GFS-014,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-004,A2050,Integrated Basin Governance,2050,AUTH-014,GA-004,Water,operate,CURRENT FACT (2026 baseline): GA-004 has the recorded operate role in Water; binding status is not_applicable.,"SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: operate in Water gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-04,s03_toledo_treatment,GFS-012,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-005,A2050,Integrated Basin Governance,2050,AUTH-017,GA-005,Water,monitor,CURRENT FACT (2026 baseline): GA-005 has the recorded monitor role in Water; binding status is not_applicable.,"SCENARIO ASSUMPTION: Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: monitor in Water gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-05,s06_usgs_data,GFS-008,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-006,A2050,Integrated Basin Governance,2050,AUTH-020,GA-006,Climate / Natural Hazards,warn,CURRENT FACT (2026 baseline): GA-006 has the recorded warn role in Climate / Natural Hazards; binding status is not_applicable.,"SCENARIO ASSUMPTION: Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: warn in Climate / Natural Hazards gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-06,s36_nws,GFS-007,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-007,A2050,Integrated Basin Governance,2050,AUTH-022,GA-006,Data / Sensors / Security,provide_data,CURRENT FACT (2026 baseline): GA-006 has the recorded provide_data role in Data / Sensors / Security; binding status is not_applicable.,"SCENARIO ASSUMPTION: Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: provide_data in Data / Sensors / Security gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-07,s36_nws,GFS-009,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-008,A2050,Integrated Basin Governance,2050,AUTH-031,GA-010,Climate / Natural Hazards,fund,CURRENT FACT (2026 baseline): GA-010 has the recorded fund role in Climate / Natural Hazards; binding status is mixed.,"SCENARIO ASSUMPTION: Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: fund in Climate / Natural Hazards gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-08,s35_fema_mitigation,GFS-004,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-009,A2050,Integrated Basin Governance,2050,AUTH-037,GA-012,Biogeochemical / Nutrient Flux,coordinate,CURRENT FACT (2026 baseline): GA-012 has the recorded coordinate role in Biogeochemical / Nutrient Flux; binding status is mixed.,"SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: coordinate in Biogeochemical / Nutrient Flux gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-01,s44_ohio_oda,GFS-006,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
GAU-A2050-010,A2050,Integrated Basin Governance,2050,AUTH-049,GA-018,Water,coordinate,CURRENT FACT (2026 baseline): GA-018 has the recorded coordinate role in Water; binding status is mixed.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: coordinate in Water gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",stronger protocol around distributed authority,CURRENT AUTHORITY RETAINED; SCENARIO COORDINATION CHANGE,"Any model, sensor, AI recommendation, automated screening, or algorithmic prioritization remains advisory or administrative support; the named legal/public/operational actor retains final human decision authority.",GSA-A2050-02,s14_gsgp,GFS-011,fictional,scenario,"Scenario coordination does not amend statute, treaty, compact, permit, sovereignty, ownership, or operating authority."
