disturbance_id,ecological_component,affected_function,disturbance_type,description,relationship_basis,evidence_status,spatial_scope,source_id,confidence,notes
ECDIS-001,western_lake_erie_aquatic,aquatic condition,nutrient_enrichment,Nutrient enrichment is a documented basin-scale pressure context for western Lake Erie.,documented_water_quality_context,documented_context,western Lake Erie / Maumee watershed,epa_lake_erie,high,Presence of pressure does not quantify ecological consequence.
ECDIS-002,western_lake_erie_aquatic,HAB and aquatic productivity,HAB_or_hypoxia_condition,HAB conditions are a recurring ecological-condition interface in the lake system.,documented_monitoring_science,documented_context,western Lake Erie,noaa_hab,high,"No current footprint, probability, or effect size is modeled."
ECDIS-003,maumee_tributary_floodplain,river/floodplain function,hydrologic_alteration,"Drainage and altered hydrology constrain wetland, floodplain, and tributary interfaces.",historical_context_plus_hydrography,qualified_context,Maumee basin,h2ohio_great_black_swamp_history,moderate,No parcel or ditch-level causal claim.
ECDIS-004,coastal_wetlands_marshes,wetland function,wetland_loss_or_alteration,Wetland loss and alteration are represented as broad contemporary landscape pressures.,documented_wetland_inventory,qualified_context,Western Basin focus window,usfws_nwi,moderate,Inventory does not measure loss rate or condition.
ECDIS-005,terrestrial_habitat_fragmentation,habitat continuity,habitat_fragmentation,Developed and transportation edges constrain broad terrestrial continuity.,generalized_land_cover,qualified_context,Western Basin landscape,phase6a_mrlc_land_cover,moderate,No conservation-priority ranking or damage attribution.
ECDIS-006,black_swamp_legacy_agriculture,wetland/agricultural interface,agricultural_landscape_change,Modern agriculture and drainage represent the legacy working-landscape context.,historical_context_plus_inventory,qualified_context,Former swamp landscape context,h2ohio_great_black_swamp_history,moderate,Does not use the held polygon as a boundary.
ECDIS-007,coastal_wetlands_marshes,shoreline habitat,shoreline_modification,Coastal development and shoreline modification are broad interface pressures.,generalized_land_cover,qualified_context,Lake Erie coastal edge,phase6a_mrlc_land_cover,low,No site-specific impact is inferred.
ECDIS-008,migratory_mobile_species,migratory stopover function,habitat_fragmentation,Fragmentation of coastal habitat can constrain broad stopover function.,documented_protected_area,qualified_context,Western Lake Erie coastal edge,phase6a_usfws_ottawa_nwr,low,Generalized function only; no occurrence or route is asserted.
ECDIS-009,western_lake_erie_aquatic,aquatic condition,climate_sensitive_condition,"Aquatic ecological conditions may be climate-sensitive, but Phase 6B does not model future change.",documented_monitoring_science,qualified_context,Western Lake Erie,noaa_hab,low,Current analytical layer only; no climate projection.
ECDIS-010,terrestrial_habitat_fragmentation,habitat mosaic,urban_development,Urban/developed expansion is represented as a broad landscape interface.,generalized_land_cover,qualified_context,Western Basin landscape,phase6a_mrlc_land_cover,moderate,No future projection or quantitative conversion estimate.
