response_state_id,test_id,branch_id,stage_id,stage,phase16a_rule_id,phase16a_response_id,response_mechanism,response_evidence_class,adaptation_state,enabling_condition,limiting_condition,capacity_boundary,source_lineage,scenario_condition,notes
RESPONSE-16B-001,P16B-CAND-001,P16B-001-HEAT,P16B-CAND-001-P16B-001-HEAT-STAGE-01,1,RULE-16A-001,RESP-16A-003,load shifting,INFERRED,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,timing or demand can be considered qualitatively without capacity arithmetic,"no dispatch, demand, or capacity is estimated",an option is not a measured result,data/processed/integration/atlas_dependency_crosswalk.csv#AR-3B-DEP-016-95a609bc,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-002,P16B-CAND-001,P16B-001-LOW-FLOW,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-01,1,RULE-16A-005,RESP-16A-004,conservation,INFERRED,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,"accepted phase products identify stewardship, control, or resource-use interfaces",conservation action and effect are not measured in Phase 16A,capacity or intent is not successful conservation,data/processed/integration/atlas_dependency_crosswalk.csv#AR-10B-GDEP-001-f50f412f,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-003,P16B-CAND-001,P16B-001-LOW-FLOW,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-02,2,RULE-16A-006,RESP-16A-003,load shifting,INFERRED,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,timing or demand can be considered qualitatively without capacity arithmetic,"no dispatch, demand, or capacity is estimated",an option is not a measured result,data/processed/integration/atlas_dependency_crosswalk.csv#AR-3B-DEP-016-95a609bc,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-004,P16B-CAND-001,P16B-001-GRID,P16B-CAND-001-P16B-001-GRID-STAGE-01,1,RULE-16A-016,RESP-16A-005,distributed operation,SCENARIO_ASSUMPTION,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,Phase 15 optional technology regimes identify distributed or alternative interfaces,"no deployment, capacity, or local adoption is asserted",scenario option only,data/processed/scenarios/technology_system_states.csv#TSS-A2050-03,Phase 15B state reference(s) TDS-A2050-01; not a baseline path,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-005,P16B-CAND-002,P16B-002-HAB,P16B-CAND-002-P16B-002-HAB-STAGE-01,1,RULE-16A-012,RESP-16A-007,increased monitoring,INFERRED,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,"accepted observation, surveillance, or detection relationships support a qualitative monitoring response","monitoring is not control, incidence, exposure, or enforcement",monitoring capacity does not ensure detection or response,data/processed/integration/atlas_dependency_crosswalk.csv#AR-13B-IDB-006-1b416a5c,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-006,P16B-CAND-002,P16B-002-TREATMENT-ENERGY,P16B-CAND-002-P16B-002-TREATMENT-ENERGY-STAGE-01,1,RULE-16A-014,RESP-16A-008,manual fallback,SCENARIO_ASSUMPTION,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,Phase 15 governance boundaries preserve human/operator review,fallback availability is not established for every interface,human authority does not imply successful fallback,data/processed/scenarios/technology_governance_states.csv#TGS-A2050-01,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-007,P16B-CAND-002,P16B-002-TREATMENT-DISEASE,P16B-CAND-002-P16B-002-TREATMENT-DISEASE-STAGE-01,1,RULE-16A-015,RESP-16A-007,increased monitoring,INFERRED,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,"accepted observation, surveillance, or detection relationships support a qualitative monitoring response","monitoring is not control, incidence, exposure, or enforcement",monitoring capacity does not ensure detection or response,data/processed/integration/atlas_dependency_crosswalk.csv#AR-13B-IDB-006-1b416a5c,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-008,P16B-CAND-003,P16B-003-TRANSPORT,P16B-CAND-003-P16B-003-TRANSPORT-STAGE-01,1,RULE-16A-019,RESP-16A-006,alternate routing,INFERRED,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,"accepted freight evidence distinguishes corridors, interchange, and modal alternatives",no exact route or shipment quantity is modeled,an alternate interface is not guaranteed access,data/processed/integration/atlas_dependency_crosswalk.csv#AR-9B-HZD-007-41e5b974,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-009,P16B-CAND-003,P16B-003-FUEL,P16B-CAND-003-P16B-003-FUEL-STAGE-01,1,RULE-16A-020,RESP-16A-012,supply substitution,SCENARIO_ASSUMPTION,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,Phase 15 materials and energy scenarios identify alternate input options,"qualified feedstock, logistics, energy, and market dependencies remain",substitution option is not immunity,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-06,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
RESPONSE-16B-010,P16B-CAND-004,P16B-004-INFECTIOUS-DATA,P16B-CAND-004-P16B-004-INFECTIOUS-DATA-STAGE-01,1,RULE-16A-022,RESP-16A-010,mutual aid,SCENARIO_ASSUMPTION,OPTION IDENTIFIED — CAPACITY AND SUCCESS REMAIN INDETERMINATE,Phase 15/Phase 13 scenario contexts allow high-level coordination options,"no agreement, resource volume, or activation is asserted",option is not deployment or outcome,data/processed/scenarios/technology_governance_states.csv#TGS-A2050-06,baseline Phase 16A rule application; no future scenario state is asserted,"Response/adaptation is an option attached to the frozen rule; it is not guaranteed action, capacity, benefit, or outcome."
