edge_id,from_id,to_id,relationship_type,relationship_basis,geographic_scale,source_id,evidence_status,confidence,reality_status,canon_status,notes
VEE-001,VEC-001,VEC-009,uses_habitat,documented_source,urban/suburban generalized,v12_ohio_mosquitoes,documented_relationship,high,real,verified,"Culex pipiens habitat includes stagnant water, catch basins, ditches, and water-holding containers."
VEE-002,VEC-001,VEC-011,uses_habitat,documented_source,ditch/floodplain generalized,v12_ohio_mosquitoes,documented_relationship,moderate,real,verified,The source describes ditches and stagnant water; the floodplain interface is generalized and not a local density estimate.
VEE-003,VEC-001,VEC-012,host_association,documented_source,regional ecology,v12_ohio_mosquitoes,documented_relationship,high,real,verified,Ohio source describes bird preference; host association is not human contact or infection.
VEE-004,VEC-001,VEC-019,pathogen_context,documented_source,state/county surveillance,v12_ohio_mosquitoes,documented_context,moderate,real,verified,Culex and WNV are retained as ecological context; no disease attribution is made.
VEE-005,VEC-003,VEC-009,uses_habitat,documented_source,urban/container generalized,v12_ohio_mosquitoes,documented_relationship,high,real,verified,"Aedes albopictus uses artificial and natural containers, tires, treeholes, and gutters."
VEE-006,VEC-003,VEC-013,seasonal_activity,documented_source,regional seasonality,v12_ohio_mosquitoes,documented_relationship,moderate,real,verified,Day activity and warm-season container development are retained without a suitability curve.
VEE-007,VEC-004,VEC-009,uses_habitat,documented_source,study-area container habitat,v12_ohio_ae_japonicus,documented_relationship,moderate,real,verified,Wooster and Michigan studies support container-habitat context; findings are not generalized abundance.
VEE-008,VEC-005,VEC-010,uses_habitat,documented_source,woodland/park generalized,v12_ohio_mosquitoes,documented_relationship,high,real,verified,"Aedes triseriatus is associated with wooded areas, parks, treeholes, and some artificial containers."
VEE-009,VEC-006,VEC-010,host_seeking_interface,documented_source,forest/edge generalized,v12_cdc_ticks_live,documented_relationship,moderate,real,verified,CDC describes tick questing on grasses/shrubs and host-associated habitat; no exact route is mapped.
VEE-010,VEC-006,VEC-012,host_association,documented_source,regional ecology,v12_cdc_ticks_live,documented_relationship,moderate,real,verified,"Host-seeking behavior is ecological context, not human-vector contact or infection."
VEE-011,VEC-007,VEC-010,uses_habitat,documented_source,eastern U.S. terrestrial context,v12_cdc_dvariabilis,documented_relationship,limited,real,verified,Broad D. variabilis distribution and spring/summer biting context are not local abundance evidence.
VEE-012,VEC-008,VEC-014,hydrologic_context,accepted_layer,wetland/watershed,phase1_hydrology_context,accepted_context,high,real,verified,Accepted wetland/hydrology context is reused without adding vector detections.
VEE-013,VEC-014,VEC-011,habitat_opportunity,documented_plus_inferred,watershed/floodplain,phase1_hydrology_context,project_inference,limited,real,inferred,Precipitation and standing-water opportunity are physically plausible; no measured abundance response is asserted.
VEE-014,VEC-013,VEC-001,seasonal_development,documented_source,Ohio/regional,v12_osu_culex,documented_relationship,moderate,real,verified,OSU describes temperature-linked larval duration and seasonal diapause/emergence context.
VEE-015,VEC-013,VEC-003,seasonal_development,documented_source,Indiana/regional,v12_in_ae_albopictus,documented_relationship,moderate,real,verified,Indiana source states that high temperatures can shorten the stated Aedes life-cycle duration.
VEE-016,VEC-013,VEC-006,seasonal_activity,documented_source,county/regional,v12_cdc_ixodes,documented_relationship,moderate,real,verified,CDC identifies spring/summer/fall activity and above-freezing winter adult questing context.
VEE-017,VEC-012,VEC-019,lifecycle_context,documented_source,state/county surveillance,v12_cdc_wnv_about,documented_context,moderate,real,verified,Bird–mosquito pathogen-cycle context is retained without moving to human infection or disease.
VEE-018,VEC-015,VEC-019,tests_vector_pools,documented_source,Ohio agency/county,v12_ohio_vector_update,documented_surveillance,high,real,verified,Ohio summary reports pooled mosquito testing and positive WNV pools with agency/county scope.
VEE-019,VEC-016,VEC-019,tests_vector_pools,documented_source,Michigan participating counties,v12_mi_annual_2023,documented_surveillance,high,real,verified,"Michigan annual summary reports local mosquito sampling, identification, and laboratory testing."
VEE-020,VEC-017,VEC-019,tests_vector_pools,documented_source,Indiana counties,v12_in_wnv_2026,documented_surveillance,moderate,real,verified,Indiana release reports positive mosquito tests in 33 counties; comparable effort is not reported.
VEE-021,VEC-018,VEC-006,classifies_county_status,documented_source,county,v12_cdc_tick_sets,documented_surveillance,high,real,verified,CDC county tick statuses retain established/reported/no-record classes and explicit non-absence caveats.
VEE-022,VEC-018,VEC-020,tests_pathogens_in_ticks,documented_source,county,v12_cdc_tick_sets,documented_surveillance,high,real,verified,CDC pathogen-in-tick status uses molecular detection in host-seeking Ixodes; it is not a human case record.
VEE-023,VEC-019,VEC-020,keeps_pathogen_streams_separate,project_boundary,state/county program,v12_cdc_wnv_data,boundary_rule,high,real,verified,Mosquito-pool and tick-pathogen programs remain separate surveillance streams; no combined pathogen index is created.
VEE-024,VEC-006,VEC-008,generalized_habitat_interface,accepted_ecology_context,wetland/forest edge,phase6_ecology_context,accepted_context,limited,real,inferred,"Phase 6 wetland and terrestrial context is reused as a generalized interface, not a local tick or mosquito occurrence claim."
VEE-025,VEC-009,VEC-015,surveillance_target_context,project_inference,urban/agency,v12_cdc_mosquito_traps,project_inference,limited,real,inferred,Container habitat can guide surveillance targeting conceptually; no program performance or local detection is inferred.
VEE-026,VEC-013,VEC-015,seasonal_program_timing,documented_program,state/agency,v12_ohio_vector_update,documented_program,moderate,real,verified,Ohio reports summer/fall surveillance timing; this is not a complete seasonal effort series.
