state_id,scenario_id,scenario,horizon,baseline_object_id,surveillance_dimension,current_fact,surveillance_capacity_state,detection_timing_state,method_and_effort_state,management_response_interface,abundance_inference_boundary,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
SURVSTATE-001-A2050,A2050,Managed Ecological Adaptation,2050,VEC-015,mosquito surveillance program,CURRENT FACT (2026 baseline): Program and pooled results are retained as surveillance records with effort and scale limits.,"selected programs coordinate methods, effort documentation, and reporting",earlier detection is plausible in priority interfaces,method and effort remain separate across programs,detection can feed targeted management without proving control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2050-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-002-A2050,A2050,Managed Ecological Adaptation,2050,VEC-016,regional/state participating programs,CURRENT FACT (2026 baseline): Participating jurisdictions and methods vary; counts are not a statewide abundance index.,"selected programs coordinate methods, effort documentation, and reporting",earlier detection is plausible in priority interfaces,method and effort remain separate across programs,detection can feed targeted management without proving control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2050-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-003-A2050,A2050,Managed Ecological Adaptation,2050,VEC-017,state and local mosquito activity reporting,"CURRENT FACT (2026 baseline): State/county surveillance context; species, effort, and human cases remain separate.","selected programs coordinate methods, effort documentation, and reporting",earlier detection is plausible in priority interfaces,method and effort remain separate across programs,detection can feed targeted management without proving control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2050-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-004-A2050,A2050,Managed Ecological Adaptation,2050,VEC-018,federal vector and tick surveillance interface,"CURRENT FACT (2026 baseline): CDC programs maintain separate vector, pathogen, animal, and human records; no combined index is created.","selected programs coordinate methods, effort documentation, and reporting",earlier detection is plausible in priority interfaces,method and effort remain separate across programs,detection can feed targeted management without proving control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2050-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-005-A2050,A2050,Managed Ecological Adaptation,2050,VDE-017,detection-to-decision interface,CURRENT FACT (2026 baseline): Detection can inform decisions; monitoring is not control and does not guarantee complete detection.,"selected programs coordinate methods, effort documentation, and reporting",earlier detection is plausible in priority interfaces,method and effort remain separate across programs,detection can feed targeted management without proving control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2050-04,VFS-016,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-001-A2075,A2075,Managed Ecological Adaptation,2075,VEC-015,mosquito surveillance program,CURRENT FACT (2026 baseline): Program and pooled results are retained as surveillance records with effort and scale limits.,routine cross-program protocols support sustained detection and management in selected interfaces,earlier detection and recurring review are treated as mature scenario states,"methods, denominators, and coverage remain explicitly non-comparable",management response is more connected but does not eliminate vectors or uncertainty,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2075-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-002-A2075,A2075,Managed Ecological Adaptation,2075,VEC-016,regional/state participating programs,CURRENT FACT (2026 baseline): Participating jurisdictions and methods vary; counts are not a statewide abundance index.,routine cross-program protocols support sustained detection and management in selected interfaces,earlier detection and recurring review are treated as mature scenario states,"methods, denominators, and coverage remain explicitly non-comparable",management response is more connected but does not eliminate vectors or uncertainty,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2075-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-003-A2075,A2075,Managed Ecological Adaptation,2075,VEC-017,state and local mosquito activity reporting,"CURRENT FACT (2026 baseline): State/county surveillance context; species, effort, and human cases remain separate.",routine cross-program protocols support sustained detection and management in selected interfaces,earlier detection and recurring review are treated as mature scenario states,"methods, denominators, and coverage remain explicitly non-comparable",management response is more connected but does not eliminate vectors or uncertainty,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2075-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-004-A2075,A2075,Managed Ecological Adaptation,2075,VEC-018,federal vector and tick surveillance interface,"CURRENT FACT (2026 baseline): CDC programs maintain separate vector, pathogen, animal, and human records; no combined index is created.",routine cross-program protocols support sustained detection and management in selected interfaces,earlier detection and recurring review are treated as mature scenario states,"methods, denominators, and coverage remain explicitly non-comparable",management response is more connected but does not eliminate vectors or uncertainty,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2075-04,VFS-007,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-005-A2075,A2075,Managed Ecological Adaptation,2075,VDE-017,detection-to-decision interface,CURRENT FACT (2026 baseline): Detection can inform decisions; monitoring is not control and does not guarantee complete detection.,routine cross-program protocols support sustained detection and management in selected interfaces,earlier detection and recurring review are treated as mature scenario states,"methods, denominators, and coverage remain explicitly non-comparable",management response is more connected but does not eliminate vectors or uncertainty,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-A2075-04,VFS-016,moderate,moderate,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-001-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-015,mosquito surveillance program,CURRENT FACT (2026 baseline): Program and pooled results are retained as surveillance records with effort and scale limits.,functional but uneven participation and capacity by jurisdiction and habitat,"detection timing varies by program, method, and local coverage",heterogeneous methods and effort remain structural,local detection can inform local response; monitoring is not control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2050-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-002-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-016,regional/state participating programs,CURRENT FACT (2026 baseline): Participating jurisdictions and methods vary; counts are not a statewide abundance index.,functional but uneven participation and capacity by jurisdiction and habitat,"detection timing varies by program, method, and local coverage",heterogeneous methods and effort remain structural,local detection can inform local response; monitoring is not control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2050-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
SURVSTATE-003-B2050,B2050,Heterogeneous Adaptive Basin,2050,VEC-017,state and local mosquito activity reporting,"CURRENT FACT (2026 baseline): State/county surveillance context; species, effort, and human cases remain separate.",functional but uneven participation and capacity by jurisdiction and habitat,"detection timing varies by program, method, and local coverage",heterogeneous methods and effort remain structural,local detection can inform local response; monitoring is not control,"Surveillance intensity, effort, coverage, and detection timing are not abundance and do not establish presence, establishment, or pathogen prevalence.",VEFA-B2050-04,VFS-007,high,high,fictional,scenario,scenario_assumption,"Surveillance future state is a qualitative detection/decision scenario, not an abundance index, control-effectiveness claim, human-risk model, or disease forecast."
