up_hydrosequence,down_hydrosequence,up_id3dhp,down_id3dhp,from_huc12,to_huc12,up_feature_type,down_feature_type,up_physicality,down_physicality,up_source_generation,down_source_generation,transition_class,transition_id
9333212,9318443,10E4W,5ZK1T,041000071202,041000071203,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,9333212->9318443
9198707,9183384,10ET0,FB620,041000040604,041000040603,Waterbody Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,9198707->9183384
9447426,9433611,10EVL,C2ENB,041000040603,041000040604,Hydro Unenforced Connector,Hydro Unenforced Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,9447426->9433611
7700938,7683575,10MR1,56NOV,041000050102,041000050103,Drainageway,Channel Line,drainageway,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,7700938->7683575
7577778,7560176,10MT3,3AW60,041000050102,041000050103,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,7577778->7560176
11838063,11827268,10Q22,15K0Z,041000030704,041000030706,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,11838063->11827268
12821475,12811529,10QMM,A1SMZ,041000030203,041000030301,Surface Connector,Channel Line,authoritative_network_connector,physical_channel,migrated_nhd,migrated_nhd,authoritative_network_connector,12821475->12811529
1816398,1760355,13G1G,8D8VI,041000090903,041000090804,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,1816398->1760355
12392095,12381404,13G4G,FJ341,041000040301,041000040302,Channel Line,Channel Line,physical_channel,physical_channel,migrated_nhd,migrated_nhd,physical_hydrography,12392095->12381404
6964228,6945453,15801,A1FX0,041000071203,041000071205,Waterbody Connector,Waterbody Connector,authoritative_network_connector,authoritative_network_connector,migrated_nhd,migrated_nhd,authoritative_network_connector,6964228->6945453
