state_id,scenario_id,scenario,horizon,baseline_node_id,baseline_name,taxon_or_system,vector_group,baseline_presence_context,seasonal_suitability_state,habitat_opportunity_state,overwintering_or_activity_context,future_range_state,establishment_state,abundance_state,pathogen_state,human_interface_state,current_fact,scenario_assumption,scenario_consequence,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
VECSTATE-A2050-VEC-001,A2050,Managed Ecological Adaptation,2050,VEC-001,Northern house mosquito,Culex pipiens,mosquito,"Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.",seasonal development opportunity is moderated in managed priority settings,"persistent stagnant-water opportunities are reduced in selected catch-basin, ditch, and container interfaces",warm-season activity and overwintering remain possible; episodic water conditions are retained,future suitability/opportunity only; no future Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.","SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2050-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2050-VEC-002,A2050,Managed Ecological Adaptation,2050,VEC-002,Culex pipiens/restuans complex context,Culex pipiens plus close relative Culex restuans,mosquito,The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,seasonal development opportunity is moderated in managed priority settings,"persistent stagnant-water opportunities are reduced in selected catch-basin, ditch, and container interfaces",warm-season activity and overwintering remain possible; episodic water conditions are retained,future suitability/opportunity only; no future Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2050-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2050-VEC-003,A2050,Managed Ecological Adaptation,2050,VEC-003,Asian tiger mosquito,Aedes albopictus,mosquito,Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,warm-season container suitability is moderated where container and gutter management is maintained,"selected urban, suburban, woodland, and artificial-container opportunities are reduced but not eliminated",winter constraints and local shade/moisture remain relevant; no overwintering transition is assumed,future suitability/opportunity only; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,"SCENARIO ASSUMPTION: Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2050-02,VFS-001,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2050-VEC-004,A2050,Managed Ecological Adaptation,2050,VEC-004,Asian bush mosquito,Aedes japonicus,mosquito,"Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.",warm-season container suitability is moderated where container and gutter management is maintained,"selected urban, suburban, woodland, and artificial-container opportunities are reduced but not eliminated",winter constraints and local shade/moisture remain relevant; no overwintering transition is assumed,future suitability/opportunity only; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.","SCENARIO ASSUMPTION: Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2050-02,VFS-003,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2050-VEC-005,A2050,Managed Ecological Adaptation,2050,VEC-005,Eastern treehole mosquito,Aedes triseriatus,mosquito,Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,warm-season container suitability is moderated where container and gutter management is maintained,"selected urban, suburban, woodland, and artificial-container opportunities are reduced but not eliminated",winter constraints and local shade/moisture remain relevant; no overwintering transition is assumed,future suitability/opportunity only; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio source describes distribution and habitat; no abundance or disease-incidence inference is made.,"SCENARIO ASSUMPTION: Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2050-02,VFS-001,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2050-VEC-006,A2050,Managed Ecological Adaptation,2050,VEC-006,Blacklegged tick,Ixodes scapularis,tick,"County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.",forest-edge seasonal activity is monitored and managed in selected ecological interfaces,targeted edge stewardship and host-habitat attention reduce some unmanaged opportunity without eliminating tick habitat,"temperature, humidity, host ecology, and above-freezing activity remain possible",future suitability/opportunity only; no future Ixodes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): County status rows below use the CDC 2023 summary; established status is a threshold-based surveillance classification, not abundance.","SCENARIO ASSUMPTION: Forest-edge stewardship and ecological monitoring improve attention to humidity, host, and edge conditions without controlling tick or mosquito presence. This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: This is the A scenario's intermediate 2050 ecological trajectory: priority maintenance and coordinated review are emerging and remain selective; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2050-03,VFS-008,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2075-VEC-001,A2075,Managed Ecological Adaptation,2075,VEC-001,Northern house mosquito,Culex pipiens,mosquito,"Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.",mature adaptive maintenance limits persistent stagnant-water opportunity in selected systems,routine maintenance and drainage adaptation constrain some opportunities while episodic heavy-rain retention remains possible,"seasonal activity and diapause context remain possible under a warmer, managed setting",future suitability/opportunity only; no future Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Ohio source describes widespread occurrence; this is presence and ecology context, not abundance.","SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2075-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2075-VEC-002,A2075,Managed Ecological Adaptation,2075,VEC-002,Culex pipiens/restuans complex context,Culex pipiens plus close relative Culex restuans,mosquito,The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,mature adaptive maintenance limits persistent stagnant-water opportunity in selected systems,routine maintenance and drainage adaptation constrain some opportunities while episodic heavy-rain retention remains possible,"seasonal activity and diapause context remain possible under a warmer, managed setting",future suitability/opportunity only; no future Culex range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): The project retains the complex as a surveillance/ecology context and does not combine species into a pseudo-abundance measure.,"SCENARIO ASSUMPTION: Temperature and precipitation variability remain physical drivers, while adaptive water and habitat management reduces some persistent standing-water opportunities without eliminating seasonal or episodic habitat. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2075-01,VFS-002,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2075-VEC-003,A2075,Managed Ecological Adaptation,2075,VEC-003,Asian tiger mosquito,Aedes albopictus,mosquito,Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,managed container networks constrain persistent opportunities in selected developed and woodland-edge settings,"routine container, tire, gutter, and treehole attention reduces some habitat opportunities while residual habitat remains",winter constraints remain a local uncertainty even as warm-season conditions persist,future suitability/opportunity only; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact",CURRENT FACT (2026 baseline): Ohio and Indiana sources document regional presence/context; county records are not a precise Western Basin distribution.,"SCENARIO ASSUMPTION: Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2075-02,VFS-001,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
VECSTATE-A2075-VEC-004,A2075,Managed Ecological Adaptation,2075,VEC-004,Asian bush mosquito,Aedes japonicus,mosquito,"Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.",managed container networks constrain persistent opportunities in selected developed and woodland-edge settings,"routine container, tire, gutter, and treehole attention reduces some habitat opportunities while residual habitat remains",winter constraints remain a local uncertainty even as warm-season conditions persist,future suitability/opportunity only; no future Aedes range is observed or mapped,not projected; future suitability is not guaranteed establishment,"not estimated; surveillance effort, suitability, and habitat opportunity do not provide abundance",not projected; pathogen-in-vector detection and prevalence remain outside this scenario layer,"not modeled; habitat, settlement, and host interfaces do not establish human-vector contact","CURRENT FACT (2026 baseline): Wooster Ohio and Michigan study evidence is retained as regional context, not a local Western Basin range claim.","SCENARIO ASSUMPTION: Coordinated container, catch-basin, and developed-edge maintenance reduces some unmanaged Aedes and Culex habitat opportunities in selected urban and suburban settings. By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast.","SCENARIO CONSEQUENCE: By 2075, this is the A scenario's matured or diverged ecological state: selected maintenance and recurring review routines are institutionalized while residual habitat remains; it is not an observed distribution or forecast. Ecological opportunity may change qualitatively for this vector context, but presence, abundance, establishment, pathogen prevalence, contact, infection, and clinical disease remain separate and unprojected.",VEFA-A2075-02,VFS-003,moderate,moderate,fictional,scenario,scenario_assumption,"Vector ecology future state; not an observed future record, continuous range, abundance estimate, pathogen forecast, human-risk estimate, or disease forecast."
