pathway,authority_clarity,jurisdiction_overlap,coordination_requirement,monitoring_alignment,enforcement_basis,funding_dependency,public_private_dependency,cross_border_dependency,data_dependency,decision_sequence,uncertainty,notes
agricultural source → watershed transport → water-quality regulation,moderate,moderate,strong,moderate,moderate,strong,not_applicable,limited,strong,strong,moderate,Point-source permits are clearer than diffuse agricultural program obligations; no farm-level mandate inferred.
water-quality permit → municipal treatment operation,strong,limited,strong,strong,strong,limited,not_applicable,not_applicable,strong,strong,limited,Regulator and operator are distinct but linked by permit/compliance information.
scientific water observation → regulatory or operational decision,moderate,limited,moderate,moderate,limited,not_applicable,not_applicable,not_applicable,strong,moderate,moderate,Observation can inform decisions without legal or operational authority.
wetland function → federal/state permitting → restoration,moderate,strong,strong,moderate,strong,moderate,not_applicable,limited,moderate,strong,moderate,Overlapping programs are not automatically dysfunction; exact jurisdiction is activity-specific.
weather warning → utility/grid and local planning,moderate,limited,moderate,moderate,limited,limited,moderate,not_applicable,strong,moderate,moderate,Warning and response links are partly inferred; no command protocol or outage estimate.
FERC/NERC/PJM/utility electricity chain,strong,moderate,strong,moderate,strong,moderate,strong,limited,strong,strong,limited,"Federal regulation, reliability standards, market operation, and private ownership are distributed."
public freight infrastructure → private rail/marine operation,moderate,limited,strong,limited,strong,strong,strong,limited,moderate,strong,moderate,Public funding/roads/port facilities interface with private carriers without public operation.
Great Lakes state programs → binational coordination,moderate,moderate,strong,moderate,limited,moderate,not_applicable,strong,strong,moderate,moderate,"Compact, agreement, and treaty bodies are not collapsed into one regulator."
tribal sovereign/resource interest → consultation/coordination,limited,unknown,moderate,limited,unknown,limited,not_applicable,moderate,moderate,limited,strong,Nation-specific current Western Basin authority is unresolved; no polygon is created.
environmental-health monitoring → water-system operation,moderate,limited,moderate,moderate,limited,limited,not_applicable,not_applicable,strong,moderate,moderate,Health/environmental observation may inform operations without medical or regulatory control.
