observation_id,system_node_id,observation_type,reporting_year_or_period,geography,geographic_scale,observed_value,units,reporting_basis,numerator,denominator,case_definition_or_surveillance_definition,residence_or_exposure_basis,observed_estimated_modeled,source_id,evidence_status,confidence,uncertainty_notes,notes
IDO-001,DID-001,vector_surveillance,2025,Ohio; 42 counties with positive pools,state/county/agency,42,counties,Ohio pooled mosquito surveillance,counties with positive WNV pools,"11,980 pooled samples from 58 agencies in 49 counties",pooled mosquito surveillance; human case definition not applicable,not applicable; vector sampling geography,observed,phase12_vector_findings,documented,high,Species composition and comparable county trap effort are not supplied.,"Positive mosquito pools are not human infection, human cases, or local transmission proof."
IDO-002,DID-001,surveillance_effort,2025,Ohio; statewide agency summary,state/agency/county,"11,980",pooled samples,Ohio pooled mosquito surveillance,pooled samples tested,58 agencies in 49 counties,pooled mosquito surveillance; no human case definition,not applicable; vector sampling geography,observed,phase12_vector_findings,documented,high,Pool counts are not individual mosquito abundance and cannot be compared directly with case counts.,"Sampling effort is retained as a denominator, not converted to incidence."
IDO-003,DID-001,human_case_context,2025,Ohio; county of residence,county of residence,45,reported WNV cases,Ohio human disease surveillance map,reported cases,not meaningful for this contextual count,reported human WNV case; source map context,county of residence; exposure location not supplied,observed,phase12_vector_findings,documented,high,Residence is not exposure or infection location.,"Contextual case observation only; not a vector record, contact measure, or local-transmission finding."
IDO-004,DID-001,vector_surveillance,2023,Michigan participating jurisdictions,state/participating counties,124,WNV-positive mosquito pools,Michigan annual mosquito-pool surveillance,positive pools,"6,351 mosquito pools tested",pooled mosquito surveillance; human case definition not applicable,not applicable; sampling geography,observed,s13_mi_vector,documented,high,Participating jurisdictions and methods vary.,Positive pools remain separate from human cases and community incidence.
IDO-005,DID-001,vector_surveillance,2026 dated update,Indiana; 33 counties,state/county,33,counties with positive mosquito tests,Indiana mosquito testing summary,counties with positive mosquito tests,not supplied in source release,mosquito testing; human case definition not applicable,not applicable; sampling geography,observed,s13_ind_wnv_2026,documented,moderate,Comparable county-level effort and species counts are not supplied.,Positive mosquitoes are not human cases or local transmission proof.
IDO-006,DID-001,human_case_context,2026 dated update,"Allen County, Indiana; county of residence",county of residence,1,reported human WNV case,Indiana human surveillance,reported case,not meaningful for this contextual count,reported human WNV case; source release context,county of residence; exposure location not supplied,observed,s13_ind_wnv_2026,documented,high,Source does not establish exposure location or local transmission.,Case geography is residence-based context and is not a downscaled disease map.
IDO-007,DID-002,case_surveillance_context,2023/current page context,United States; state and county-of-residence reporting context,state/county of residence,reported Lyme cases; value not extracted in Phase 13A,reported cases,state health department case surveillance,reported cases meeting surveillance definition,not supplied for Western Basin frame,CDC Lyme case-surveillance context,case residence; exposure location not necessarily known,observed,s13_cdc_lyme,documented,high,The source page gives surveillance context but this baseline does not extract a comparable regional numerator.,"No neighborhood distribution, exposure location, or transmission rate is inferred."
IDO-008,DID-003,case_surveillance_context,2014–2025; 2024–2025 provisional,United States and jurisdictions,jurisdiction/national,reported legionellosis cases and incidence tables; value not extracted,reported cases/incidence context,two CDC national surveillance systems,reported cases in national surveillance,jurisdiction/year denominators are source-specific,legionellosis surveillance system and disease-specific case definition,exposure setting requires investigation; not inferred from residence,observed,s13_cdc_legionella_surv,documented,high,Provisional years and reporting system combination limit direct comparison.,Descriptive surveillance context only; no Western Basin case count is fabricated.
IDO-009,DID-004,outbreak_definition,current page,United States; outbreak investigation,outbreak/investigation,two or more epidemiologically linked ill people,definition,waterborne outbreak investigation,"ill people linked by time, exposure location, and illness type",not applicable; outbreak definition,CDC waterborne outbreak definition requires epidemiologic linkage and water implicated as probable source,"exposure location is part of investigation evidence, not assumed from residence",observed,s13_cdc_water_surv,documented,high,Individual infections outside an outbreak are difficult to link to water without investigation.,"This is a definition observation, not an outbreak assertion for the Western Basin."
IDO-010,DID-004,outbreak_reporting_scope,current page,United States; state/local/territorial partners,state/local/territorial,"waterborne, foodborne, animal-contact, and enteric outbreak reports",reported outbreaks,CDC NORS/SEDRIC reporting,outbreaks submitted by public-health partners,not a denominator for all infections,NORS outbreak-reporting categories,investigation-specific exposure setting,observed,s13_cdc_nors,documented,high,Reporting is investigation-dependent and cannot be read as absence when no report is present.,"NORS is a response and outbreak-observation system, not a continuous incidence surface."
