relationship_id,from_id,to_id,relationship_type,relationship_basis,geographic_scale,evidence_status,source_id,confidence,reality_status,canon_status,notes
IDR-001,DID-001,SUR-003,observed_by,documented_source,agency/county/state,documented_program,s13_cdc_wnv,high,real,verified,West Nile vector surveillance includes mosquito and other separate reporting streams.
IDR-002,DID-001,SUR-001,reported_through,documented_source,state/territorial/national,documented_program,s13_nndss_about,high,real,verified,West Nile disease is nationally notifiable; reported cases remain case-surveillance records.
IDR-003,DID-001,REF-12,vector_ecology_context,accepted_layer,county/habitat/program,accepted_reference,phase12_vector,high,real,verified,Phase 12 vector ecology is reused without inferring human infection or disease burden.
IDR-004,DID-001,REF-9,seasonal_environment_context,accepted_layer,station/county/regional,accepted_reference,phase9_climate,limited,real,inferred,"Climate context can frame seasonality but does not establish vector abundance, infection, or incidence."
IDR-005,DID-002,REF-12,vector_ecology_context,accepted_layer,county/habitat/program,accepted_reference,phase12_vector,high,real,verified,Accepted Ixodes records and habitat context are not human contact or Lyme case locations.
IDR-006,DID-002,SUR-001,reported_through,documented_source,state/county of residence/national,documented_program,s13_cdc_lyme,high,real,verified,"Case surveillance provides a reporting stream, not the exposure location or local transmission proof."
IDR-007,DID-003,ENV-002,environmental_interface,documented_source,building/healthcare/investigation,documented_relationship,s13_cdc_legionella_about,high,real,verified,Legionella aerosolized-water context is retained without building-specific contamination or illness claims.
IDR-008,DID-003,SUR-004,observed_by,documented_source,jurisdiction/national,documented_program,s13_cdc_legionella_surv,high,real,verified,CDC describes two national legionellosis surveillance systems and provisional reporting periods.
IDR-009,DID-003,SUR-001,reported_through,documented_source,state/territorial/national,documented_program,s13_nndss_wonder,high,real,verified,NNDSS reported occurrence is not source attribution or place of exposure.
IDR-010,DID-004,ENV-001,environmental_interface,documented_source,source/recreational-water/investigation,documented_relationship,s13_cdc_water_surv,high,real,verified,Waterborne illness linkage requires an evidence chain; contamination alone is insufficient.
IDR-011,DID-004,SUR-005,outbreak_observed_by,documented_source,state/local/territorial outbreak,documented_program,s13_cdc_nors,high,real,verified,"NORS records investigated outbreaks, not all water-associated infections."
IDR-012,DID-004,SUR-006,laboratory_context,documented_source,state/territorial/national,documented_program,s13_cdc_enteric,high,real,verified,Enteric laboratory reporting can identify agents but does not establish a water exposure without investigation.
IDR-013,DID-004,REF-7A,exposure_boundary_context,accepted_layer,pathway/monitoring,accepted_reference,phase7_exposure,high,real,verified,Accepted exposure ladder preserves contamination != exposure != infection != illness.
IDR-014,DID-005,SUR-006,laboratory_surveillance,documented_source,state/territorial/national,documented_program,s13_cdc_enteric,high,real,verified,Salmonella is separately represented in national laboratory/case surveillance.
IDR-015,DID-005,SUR-007,active_surveillance_context,documented_source,FoodNet surveillance area,documented_program,s13_cdc_foodnet,high,real,verified,FoodNet provides active surveillance context for Salmonella without Western Basin downscaling.
IDR-016,DID-006,SUR-006,laboratory_surveillance,documented_source,state/territorial/national,documented_program,s13_cdc_enteric,high,real,verified,Campylobacter is separately represented in national laboratory-based surveillance.
IDR-017,DID-006,SUR-007,active_surveillance_context,documented_source,FoodNet surveillance area,documented_program,s13_cdc_foodnet,high,real,verified,FoodNet coverage and optional-reporting changes are retained as program limits.
IDR-018,DID-007,SUR-006,laboratory_surveillance,documented_source,state/territorial/national,documented_program,s13_cdc_enteric,high,real,verified,STEC surveillance distinguishes laboratory and case streams; no exposure source is assumed.
IDR-019,DID-007,SUR-007,active_surveillance_context,documented_source,FoodNet surveillance area,documented_program,s13_cdc_foodnet,high,real,verified,"FoodNet is retained as complementary surveillance, not a regional incidence denominator."
IDR-020,DID-008,SUR-008,observed_by,documented_source,national/HHS region/state/stream,documented_program,s13_cdc_flu_methods,high,real,verified,"FluView combines distinct laboratory, outpatient, hospital, mortality, and other streams."
IDR-021,DID-008,ENV-004,community_interface,documented_plus_inferred,community/sewershed/healthcare,documented_context,s13_cdc_flu_methods,moderate,real,inferred,"Respiratory observations meet community and healthcare interfaces, but case count is not a transmission rate."
IDR-022,DID-009,SUR-009,observed_by,documented_source,sewershed/community/state/regional,documented_program,s13_cdc_wastewater,high,real,verified,Wastewater supplies community-level viral observation and early-warning context.
IDR-023,DID-009,ENV-004,community_interface,documented_source,sewershed/community,documented_context,s13_cdc_wastewater,high,real,verified,CDC states wastewater cannot currently determine the number of infections.
IDR-024,DID-010,SUR-010,animal_response_observed_by,documented_source,animal/state/exposure investigation,documented_program,s13_cdc_rabies,high,real,verified,"Animal testing, exposure assessment, and PEP are distinct response and surveillance records."
IDR-025,DID-010,ENV-003,animal_human_interface,documented_source,wildlife/domestic animal/public-health,documented_relationship,s13_cdc_rabies,high,real,verified,Animal contact is a pathway context; it does not establish human infection or disease.
IDR-026,DID-011,SUR-011,observed_by,documented_source,facility/state/regional/national,documented_program,s13_cdc_nhsn,high,real,verified,NHSN tracks HAI measures through facility reporting and does not represent community incidence.
