state_id,scenario_id,scenario,horizon,uncertainty_id,subject_type,subject_id,domain_system,uncertainty_category,current_fact,scenario_assumption,scenario_consequence,uncertainty_state,assumption_id,current_fact_source_id,source_id,reality_status,canon_status,notes
GAUQ-A2050-001,A2050,Integrated Basin Governance,2050,UNC-001,institutional_boundary,GA-019,Water,source_access,CURRENT FACT (2026 baseline): The IJC role page was not fully retrievable during this run; only bounded advisory/coordination roles are recorded.,"SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-01,s16_ijc,GFS-006,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-002,A2050,Integrated Basin Governance,2050,UNC-002,sovereignty,GA-022,Ecology / Biodiversity,current_jurisdiction,CURRENT FACT (2026 baseline): Nation-specific current authority in the Western Basin is not established by the available source set.,"SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-02,s18_epa_tribal,GFS-011,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-003,A2050,Integrated Basin Governance,2050,UNC-003,sovereignty,GA-023,Ecology / Biodiversity,current_jurisdiction,CURRENT FACT (2026 baseline): Nation-specific current authority in the Western Basin is not established by the available source set.,"SCENARIO ASSUMPTION: Nutrient, water, ecology, and climate programs use recurring evidence review and adjustment cycles across selected interfaces. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-03,s18_epa_tribal,GFS-014,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-004,A2050,Integrated Basin Governance,2050,UNC-004,institutional_boundary,GA-020,Water,agreement_vs_regulation,"CURRENT FACT (2026 baseline): The GLWQA provides a binational framework, but this package does not treat it as a stand-alone domestic regulator or individual permitter.","SCENARIO ASSUMPTION: Great Lakes and treaty-related coordination becomes more legible in planning and monitoring without merging sovereign nations or creating a single basin government. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-04,s15_glwqa,GFS-012,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-005,A2050,Integrated Basin Governance,2050,UNC-005,institutional_boundary,GA-017,Water,advisory_vs_binding,CURRENT FACT (2026 baseline): Great Lakes Commission policy recommendations and coordination are not generalized environmental regulation.,"SCENARIO ASSUMPTION: Selected resilience-finance programs align water, ecological-infrastructure, and infrastructure-maintenance priorities more consistently. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-05,s13_glc,GFS-008,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-006,A2050,Integrated Basin Governance,2050,UNC-006,institutional_boundary,GA-026,Energy / Grid / Compute,operator_vs_owner,CURRENT FACT (2026 baseline): PJM high-voltage/market operation is distinct from utility asset ownership and local distribution operation.,"SCENARIO ASSUMPTION: Public agencies and private operators use stronger reporting and continuity agreements while regulation, ownership, and operation remain distinct. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-06,s24_pjm,GFS-007,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-007,A2050,Integrated Basin Governance,2050,UNC-007,institutional_boundary,GA-024,Energy / Grid / Compute,federal_vs_local,"CURRENT FACT (2026 baseline): FERC interstate/wholesale jurisdiction does not cover all retail, local distribution, municipal, or nuclear functions.","SCENARIO ASSUMPTION: Wetlands, riparian systems, and other ecological infrastructure are treated as maintained cross-system assets in selected planning processes. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-07,s21_ferc,GFS-009,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-008,A2050,Integrated Basin Governance,2050,UNC-008,program_scope,GA-011,Biogeochemical / Nutrient Flux,voluntary_vs_mandatory,CURRENT FACT (2026 baseline): NRCS assistance and conservation contracts are not represented as a universal individual nutrient mandate.,"SCENARIO ASSUMPTION: Environmental analytics, bounded AI recommendations, digital model exchange, and institutional after-action learning improve selected decision handoffs without transferring legal authority to software. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-08,s12_nrcs_eqip,GFS-004,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-009,A2050,Integrated Basin Governance,2050,UNC-009,program_scope,GA-010,Climate / Natural Hazards,funding_vs_authority,"CURRENT FACT (2026 baseline): FEMA planning, mapping, and assistance roles do not make FEMA the local floodplain administrator or asset operator.","SCENARIO ASSUMPTION: Interoperable public environmental and infrastructure data standards expand across selected basin products. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-01,s35_fema_mitigation,GFS-006,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
GAUQ-A2050-010,A2050,Integrated Basin Governance,2050,UNC-010,data_dependency,GA-005,Water,monitoring_without_control,"CURRENT FACT (2026 baseline): USGS data can inform decisions without conferring permit, enforcement, or operational authority.","SCENARIO ASSUMPTION: Federal, state, local, tribal, and binational actors use clearer cross-system review protocols while retaining distinct authority. This is the A scenario's intermediate 2050 trajectory, not a legal forecast.","SCENARIO CONSEQUENCE: intermediate institutional trajectory: the inherited uncertainty gains a more legible cross-system handoff, shared review, or finance interface; the underlying actor's legal or ownership boundary is retained.",made_explicit_in_adaptive_review,GSA-A2050-02,s06_usgs_data,GFS-011,fictional,scenario,"Uncertainty state carries the accepted 2026 limitation forward; it does not convert a gap into risk, failure, or absence."
