edge_id,from_id,to_id,material,relationship_type,flux_status,relationship_basis,scale,source_id,confidence,quantity_status,notes,reality_status,canon_status
BGE-001,BGC-002,BGC-001,P,mobilized_from,documented directional relationship,agricultural input enters soil/crop system,field / watershed,bge_ohio_h2ohio,moderate,unknown quantity,No input total or farm allocation.,real,inferred
BGE-002,BGC-001,BGC-004,P;N;C;organic_matter,mobilized_by,inferred system relationship,runoff and drainage can mobilize landscape materials,field / HUC12,bge_usgs_wbd,moderate,unknown quantity,Mechanism does not establish delivery in every event.,real,inferred
BGE-003,BGC-003,BGC-004,P;N;C,mobilized_by,inferred system relationship,soil stock interacts with water movement,field / HUC12,bge_nrscs,limited,unknown quantity,No soil-stock measurement is asserted.,real,inferred
BGE-004,BGC-004,BGC-005,P;N;C;sediment,transported_by,documented directional relationship,runoff/drainage enters tributary network,HUC12 / HUC8,bge_usgs_3dhp,moderate,unknown quantity,Physical water connection is reused; flux magnitude unknown.,real,inferred
BGE-005,BGC-005,BGC-006,P;N;sediment,monitored_by,documented monitoring relationship,tributary material is observed at representative reaches,station / river,bge_ncwqr,moderate,unknown quantity,Station data are not basin-wide.,real,inferred
BGE-006,BGC-005,BGC-007,P;N;sediment,transported_by,documented directional relationship,tributaries join Lower Maumee carrier,HUC8 / river,bge_usgs_3dhp,high,unknown quantity,"Network relationship, not a measured load.",real,inferred
BGE-007,BGC-007,BGC-009,P;N;sediment;organic_matter,delivered_to,documented directional relationship,Lower Maumee discharges toward bay receiving interface,river / bay,bge_epa_lake_erie,high,unknown quantity,Delivery relationship does not imply retention-free transfer.,real,inferred
BGE-008,BGC-009,BGC-008,P;N;organic_matter,delivered_to,documented directional relationship,bay connects to western Lake Erie receiving system,bay / lake,bge_epa_lake_erie,high,unknown quantity,No exact plume or bloom footprint.,real,inferred
BGE-009,BGC-010,BGC-007,P;N;sediment,retained_or_transformed_by,inferred system relationship,wetland/floodplain can retain or transform materials before downstream delivery,wetland / river,bge_usfws_nwi,moderate,unknown quantity,Performance varies; no removal efficiency.,real,inferred
BGE-010,BGC-011,BGC-007,P;N;sediment,retained_or_transformed_by,inferred system relationship,riparian/floodplain interface can modify material movement,reach / river,bge_nrscs,moderate,unknown quantity,No buffer performance estimate.,real,inferred
BGE-011,BGC-012,BGC-005,P;N;organic_matter,transported_by,inferred system relationship,urban runoff can enter mapped tributaries,municipal / HUC8,bge_ohio_epa_npdes,moderate,unknown quantity,No outfall-specific load.,real,inferred
BGE-012,BGC-013,BGC-009,P;N;organic_matter,discharged_to,documented regulatory relationship,permitted wastewater systems discharge to receiving waters,facility / bay or river,bge_ohio_epa_npdes,high,unknown quantity,Permit status is not measured load.,real,inferred
BGE-013,BGC-014,BGC-005,P;N,monitored_by,documented monitoring relationship,monitoring network samples tributary conditions,station / HUC8,bge_ncwqr,moderate,unknown quantity,Coverage and timing vary.,real,inferred
BGE-014,BGC-014,BGC-008,P;N;HAB_context,monitored_by,documented monitoring relationship,lake monitoring and HAB programs observe receiving conditions,station/network / lake,bge_noaa_hab,high,unknown quantity,Observation is not causal attribution.,real,inferred
BGE-015,BGC-007,BGC-015,sediment;organic_matter,transported_by,inferred system relationship,river carrier transports particulate material,river / nearshore,bge_epa_lake_erie,limited,unknown quantity,No sediment budget.,real,inferred
BGE-016,BGC-015,BGC-009,P;N;organic_matter,delivered_to,inferred system relationship,particulate material can reach receiving interface,river / bay,bge_epa_lake_erie,limited,unknown quantity,Partitioning and settling are not quantified.,real,inferred
BGE-017,BGC-008,BGC-016,P;HAB_context,ecological_interface,documented condition relationship,western Lake Erie eutrophication/HAB condition relates to phosphorus context,lake,bge_epa_lake_erie,high,unknown quantity,No new bloom prediction.,real,inferred
BGE-018,BGC-017,BGC-001,P;N;soil_carbon,managed_by,documented program relationship,programs act on agricultural nutrient management and soil function,regional / watershed,bge_ohio_h2ohio,moderate,unknown quantity,Effectiveness remains evidence-qualified.,real,inferred
BGE-019,BGC-017,BGC-010,P;N;sediment,managed_by,documented program relationship,restoration programs can act on wetland/riparian retention,regional / wetland,bge_ohio_h2ohio,moderate,unknown quantity,No project performance claim.,real,inferred
BGE-020,BGC-017,BGC-013,P;N,managed_by,documented program relationship,regulatory/treatment programs act on point-source controls,facility / receiving water,bge_ohio_epa_npdes,moderate,unknown quantity,No compliance or outcome inference.,real,inferred
BGE-021,BGC-018,BGC-013,P;N,transformed_by,scenario-ready management interface,recovery could transform wastewater nutrient management,facility / regional,bge_ohio_epa_npdes,limited,unknown quantity,Not asserted as an operating 2026 system.,real,inferred
BGE-022,BGC-006,BGC-007,water_carrier,transported_by,documented directional relationship,representative river reach is part of downstream Maumee carrier,station / river,bge_usgs_3dhp,moderate,unknown quantity,Station location is not a basin boundary.,real,inferred
BGE-023,BGC-005,BGC-014,water_carrier,monitored_by,documented monitoring relationship,tributary network is sampled by public programs,HUC8 / station,bge_ncwqr,moderate,unknown quantity,Not exhaustive.,real,inferred
BGE-024,BGC-008,BGC-016,N;C;organic_matter,ecological_interface,inferred system relationship,receiving-water materials interact with aquatic ecological condition,lake,bge_noaa_hab,moderate,unknown quantity,"No disease, exposure, toxicity, or bloom magnitude claim.",real,inferred
