matrix_id,source_system_id,target_system_id,direct_exact_identity_join,system_level_conceptual_join,dependency_relationship_join,spatial_colocation_only,scenario_layer_reference,scenario_only_link,no_defensible_current_join,join_basis,caveat
JAB-001,SYS-WATER,SYS-MATERIALS,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-001,SYS-WATER,SYS-ENERGY,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-001,SYS-WATER,SYS-DATA,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-001,SYS-WATER,SYS-FREIGHT,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-001,SYS-WATER,SYS-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-001,SYS-WATER,SYS-EXPOSURE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-001,SYS-WATER,SYS-BIOGEOCHEMISTRY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-001,SYS-WATER,SYS-CLIMATE,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-001,SYS-WATER,SYS-GOVERNANCE,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-001,SYS-WATER,SYS-POPULATION,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-001,SYS-WATER,SYS-VECTOR-ECOLOGY,NO,YES,YES,NO,YES,NO,NO,system-level conceptual mapping; typed dependency/relationship record; separate scenario-layer reference,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Scenario link remains separate from 2026 baseline evidence."
JAB-001,SYS-WATER,SYS-INFECTIOUS-DISEASE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-002,SYS-MATERIALS,SYS-ENERGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-DATA,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-FREIGHT,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-EXPOSURE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-BIOGEOCHEMISTRY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-CLIMATE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-GOVERNANCE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-POPULATION,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-VECTOR-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-002,SYS-MATERIALS,SYS-INFECTIOUS-DISEASE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-003,SYS-ENERGY,SYS-DATA,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-003,SYS-ENERGY,SYS-FREIGHT,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-003,SYS-ENERGY,SYS-ECOLOGY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-003,SYS-ENERGY,SYS-EXPOSURE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-003,SYS-ENERGY,SYS-BIOGEOCHEMISTRY,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-003,SYS-ENERGY,SYS-CLIMATE,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
JAB-003,SYS-ENERGY,SYS-GOVERNANCE,NO,NO,NO,NO,NO,NO,YES,no selected defensible current join,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation. Absence of a selected join is not evidence of no real-world relationship."
JAB-003,SYS-ENERGY,SYS-POPULATION,NO,YES,YES,NO,NO,NO,NO,system-level conceptual mapping; typed dependency/relationship record,"This is an interoperability finding, not a risk or connectivity score. Co-location is not treated as causation."
