state_id,test_id,branch_id,stage_id,stage,position,system_id,state_descriptor,evidence_class,baseline_or_scenario,scenario_state_ids,phase16a_rule_id,source_lineage,notes
STATE-16B-001,P16B-CAND-001,P16B-001-HEAT,P16B-CAND-001-P16B-001-HEAT-STAGE-01,1,source,SYS-CLIMATE,climate stressed,OBSERVED_DOCUMENTED,baseline,,RULE-16A-001,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-001-13a6b9b4,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-002,P16B-CAND-001,P16B-001-HEAT,P16B-CAND-001-P16B-001-HEAT-STAGE-01,1,target,SYS-ENERGY,heat-related continuity pressure may constrain energy operations,OBSERVED_DOCUMENTED,baseline,,RULE-16A-001,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-001-13a6b9b4,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-003,P16B-CAND-001,P16B-001-LOW-FLOW,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-01,1,source,SYS-CLIMATE,hydrologic context constrained,OBSERVED_DOCUMENTED,baseline,,RULE-16A-005,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-011-6487677d,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-004,P16B-CAND-001,P16B-001-LOW-FLOW,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-01,1,target,SYS-WATER,physical-flow context may be constrained,OBSERVED_DOCUMENTED,baseline,,RULE-16A-005,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-011-6487677d,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-005,P16B-CAND-001,P16B-001-LOW-FLOW,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-02,2,source,SYS-WATER,water constrained after low-flow context,OBSERVED_DOCUMENTED,baseline,,RULE-16A-006,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-006,P16B-CAND-001,P16B-001-LOW-FLOW,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-02,2,target,SYS-ENERGY,water-dependent energy operations may become constrained,OBSERVED_DOCUMENTED,baseline,,RULE-16A-006,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-007,P16B-CAND-001,P16B-001-GRID,P16B-CAND-001-P16B-001-GRID-STAGE-01,1,source,SYS-ENERGY,energy stressed,SCENARIO_STATE,scenario-conditioned,TDS-A2050-01,RULE-16A-016,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-01,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-008,P16B-CAND-001,P16B-001-GRID,P16B-CAND-001-P16B-001-GRID-STAGE-01,1,target,SYS-DATA,technology/compute-dependent data services may become more coupled or delayed,SCENARIO_STATE,scenario-conditioned,TDS-A2050-01,RULE-16A-016,data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-01,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-009,P16B-CAND-002,P16B-002-HAB,P16B-CAND-002-P16B-002-HAB-STAGE-01,1,source,SYS-BIOGEOCHEMISTRY,nutrient-water-quality context constrained,INFERRED,baseline,,RULE-16A-012,metadata/atlas_systems.yml#architecture.interfaces:SYS-BIOGEOCHEMISTRY>SYS-ECOLOGY,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-010,P16B-CAND-002,P16B-002-HAB,P16B-CAND-002-P16B-002-HAB-STAGE-01,1,target,SYS-ECOLOGY,ecological condition may become constrained or less observable,INFERRED,baseline,,RULE-16A-012,metadata/atlas_systems.yml#architecture.interfaces:SYS-BIOGEOCHEMISTRY>SYS-ECOLOGY,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-011,P16B-CAND-002,P16B-002-TREATMENT-ENERGY,P16B-CAND-002-P16B-002-TREATMENT-ENERGY-STAGE-01,1,source,SYS-WATER,water operations constrained,OBSERVED_DOCUMENTED,baseline,,RULE-16A-014,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-012,P16B-CAND-002,P16B-002-TREATMENT-ENERGY,P16B-CAND-002-P16B-002-TREATMENT-ENERGY-STAGE-01,1,target,SYS-ENERGY,water-dependent energy operations may be constrained or delayed,OBSERVED_DOCUMENTED,baseline,,RULE-16A-014,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-013,P16B-CAND-002,P16B-002-TREATMENT-DISEASE,P16B-CAND-002-P16B-002-TREATMENT-DISEASE-STAGE-01,1,source,SYS-WATER,water operations constrained,INFERRED,baseline,,RULE-16A-015,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-007-c8da7d06,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
STATE-16B-014,P16B-CAND-002,P16B-002-TREATMENT-DISEASE,P16B-CAND-002-P16B-002-TREATMENT-DISEASE-STAGE-01,1,target,SYS-INFECTIOUS-DISEASE,potential exposure-pathway context may become delayed or less observable,INFERRED,baseline,,RULE-16A-015,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-007-c8da7d06,"Applied qualitative system state copied from the selected Phase 16A rule; descriptor is not a score, forecast, or failure claim."
