object_id,scenario_id,scenario_year,baseline_object_id,object_name,domain,future_role,change_type,reality_status,relationship_basis,assumption_id,plausibility,source_or_basis,notes
IF-A2050-01,A2050,2050,OBS-NET-NOAA-GLERL-HAB,NOAA GLERL interoperable HAB observation coordinator,lake_erie_hab,expanded coordinated observation role,expand_role,fictional,scenario_assumption,ISA-A2050-01,moderate,phase4c_noaa_ioos,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-02,A2050,2050,OBS-DAT-GLOS-ERDDAP-CRIB,Publicly cataloged GLOS crib data product,lake_erie_hab,provenance-linked public data product,data_opened,fictional,scenario_assumption,ISA-A2050-02,moderate,phase4c_nist_ai_rmf,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-03,A2050,2050,OBS-MOD-NOAA-HAB-FORECAST,Shared Lake Erie HAB decision-support forecast,lake_erie_hab,interoperable forecast role,provenance_strengthened,fictional,scenario_assumption,ISA-A2050-03,moderate,phase4a_glerl_hab,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-04,A2050,2050,OBS-ORG-CITY-TOLEDO-WATER,City of Toledo human water decision authority,lake_erie_hab,human decision authority retained,human_authority_retained,fictional,scenario_assumption,ISA-A2050-04,high,phase4a_toledo_water_quality,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-05,A2050,2050,OBS-MOD-NOAA-NWPS,Interoperable public water-prediction service,maumee_hydrology,shared forecast context,expand_role,fictional,scenario_assumption,ISA-A2050-05,moderate,phase4c_noaa_ioos,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-06,A2050,2050,OBS-ORG-NWS,NWS transparent warning and explanation role,maumee_hydrology,public warning advisor,expand_role,fictional,scenario_assumption,ISA-A2050-06,high,phase4a_nws_flood,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-07,A2050,2050,OBS-DAT-EPA-ECHO,Provenance-linked environmental compliance data,environmental_regulatory,traceable regulatory data product,provenance_strengthened,fictional,scenario_assumption,ISA-A2050-06,moderate,phase4c_nist_ai_rmf,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-08,A2050,2050,OBS-DAT-PJM-DATAMINER,Publicly documented PJM operating context,energy_information,high-level public operator information,persist,fictional,scenario_assumption,ISA-A2050-06,moderate,phase4a_pjm_dataminer,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-09,A2050,2050,OBS-ORG-PJM,PJM human regional operator authority,energy_information,operator authority retained,human_authority_retained,fictional,scenario_assumption,ISA-A2050-06,high,phase4a_pjm_operations,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-10,A2050,2050,,Regional provenance and catalog function,cross_system,shared source lineage and explanation,new_function,fictional,scenario_assumption,ISA-A2050-06,moderate,phase4c_nist_ai_rmf,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-11,A2050,2050,,Cross-agency model interoperability function,cross_system,compatible model exchange,new_function,fictional,scenario_assumption,ISA-A2050-06,moderate,phase4c_noaa_ioos,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2050-12,A2050,2050,,Public decision explanation function,cross_system,human-readable decision context,new_function,fictional,scenario_assumption,ISA-A2050-06,moderate,phase4c_nist_ai_rmf,Scenario delta only; no future coordinate or quantitative deployment claim.
IF-A2075-01,A2075,2075,OBS-NET-NOAA-GLERL-HAB,Mature interoperable Great Lakes observation coordination,lake_erie_hab,mature shared observation role,expand_role,fictional,scenario_assumption,ISA-A2075-01,moderate,phase4c_noaa_ioos,Scenario delta only; no future coordinate or quantitative deployment claim.
