endpoint_role_crosswalk_id,dependency_id,endpoint_position,local_endpoint_id,source_phase,source_artifact,inherited_atlas_entity_or_system_id,inherited_mapping_type,inherited_mapping_status,endpoint_role,role_mapping_status,conceptual_endpoint_preserved,role_basis,information_loss_or_caveat
ERP-XEP-IDB-001-FROM,IDB-001,from,EXT-CLIMATE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-CLIMATE,system-level concept,resolved_system_level,geographic unit,normalized_role_only,yes,Environmental context role only; no exact geometry or causal hazard surface is added.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-001-TO,IDB-001,to,EXT-VECTOR-ECOLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,"Conceptual ecological endpoint; it is not an abundance, infection, or disease endpoint.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-002-FROM,IDB-002,from,EXT-HYDROLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-WATER,system-level concept,resolved_system_level,geographic unit,normalized_role_only,yes,Environmental context role only; no exact geometry or causal hazard surface is added.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-002-TO,IDB-002,to,EXT-VECTOR-ECOLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,"Conceptual ecological endpoint; it is not an abundance, infection, or disease endpoint.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-003-FROM,IDB-003,from,EXT-ECOLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,Conceptual ecological context; no exact habitat or sensitive location is asserted.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-003-TO,IDB-003,to,EXT-VECTOR-ECOLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,"Conceptual ecological endpoint; it is not an abundance, infection, or disease endpoint.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-004-FROM,IDB-004,from,EXT-VECTOR-ECOLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-VECTOR-ECOLOGY,system-level concept,resolved_system_level,ecological entity,normalized_role_only,yes,"Conceptual ecological endpoint; it is not an abundance, infection, or disease endpoint.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-006-TO,IDB-006,to,REF-4,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-DATA,system-level concept,resolved_system_level,monitoring/surveillance interface,normalized_role_only,yes,Reference endpoint is an observation/data interface; it is not authority or incidence.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-007-FROM,IDB-007,from,EXT-HYDROLOGY,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-WATER,system-level concept,resolved_system_level,geographic unit,normalized_role_only,yes,Environmental context role only; no exact geometry or causal hazard surface is added.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-008-FROM,IDB-008,from,EXT-FLOODING,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-CLIMATE,system-level concept,resolved_system_level,geographic unit,normalized_role_only,yes,Environmental context role only; no exact geometry or causal hazard surface is added.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-009-FROM,IDB-009,from,EXT-WATER-INFRASTRUCTURE,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-WATER,system-level concept,resolved_system_level,physical asset,normalized_role_only,yes,Role only; retained conceptual endpoint is not localized to a facility or utility territory.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-012-FROM,IDB-012,from,REF-4,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-DATA,system-level concept,resolved_system_level,monitoring/surveillance interface,normalized_role_only,yes,Reference endpoint is an observation/data interface; it is not authority or incidence.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-012-TO,IDB-012,to,REF-10,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-GOVERNANCE,system-level concept,resolved_system_level,institutional actor,normalized_role_only,yes,Reference endpoint is a governance/coordination interface; it is not automatic operational control.,Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-013-FROM,IDB-013,from,EXT-FOOD-PRODUCTION,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-FREIGHT,system-level concept,resolved_system_level,generalized external interface,normalized_role_only,yes,"Food/freight interface remains generalized; no shipment, route, or facility identity is added.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
ERP-XEP-IDB-013-TO,IDB-013,to,EXT-FOOD-PROCESSING,13B,data/processed/analysis/infectious_disease_dependency_register.csv,SYS-FREIGHT,system-level concept,resolved_system_level,generalized external interface,normalized_role_only,yes,"Food/freight interface remains generalized; no shipment, route, or facility identity is added.",Endpoint role is an additive interface label; local endpoint ID and Phase 14A mapping remain authoritative.
