state_id,scenario_id,scenario,horizon,archetype,baseline_dependency_id,dependency_domain,object_a,object_b,relationship_type,spatial_scale,current_fact,scenario_assumption,scenario_consequence,dependency_state,assumption_id,source_or_basis,plausibility,uncertainty,reality_status,canon_status,relationship_basis,notes
IDFD-A2050-IDB-004,A2050,Coordinated Prevention & Detection,2050,vector-borne,IDB-004,ecological mediator,EXT-VECTOR-ECOLOGY,DID-001,frames_transmission_opportunity,county/habitat/program,CURRENT FACT (2026 baseline): EXT-VECTOR-ECOLOGY -> DID-001 is a frames_transmission_opportunity interface at county/habitat/program; evidence is inferred.,"SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and emerging and selective; episodic opportunities remain possible. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: Selected vector-borne environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_buffered,IDFA-A2050-01,phase12_vector_dependency_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2050-IDB-010,A2050,Coordinated Prevention & Detection,2050,waterborne/environmental,IDB-010,population/contact interface,ENV-001,DID-004,frames_exposure_opportunity,source/recreational-water/investigation,CURRENT FACT (2026 baseline): ENV-001 -> DID-004 is a frames_exposure_opportunity interface at source/recreational-water/investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and emerging and selective; episodic opportunities remain possible. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: Selected waterborne/environmental environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_buffered,IDFA-A2050-01,s13_cdc_water_surv,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2050-IDB-013,A2050,Coordinated Prevention & Detection,2050,foodborne/enteric,IDB-013,food/freight interface,EXT-FOOD-PRODUCTION,EXT-FOOD-PROCESSING,connects_food_system,regional/agricultural/bulk generalized,CURRENT FACT (2026 baseline): EXT-FOOD-PRODUCTION -> EXT-FOOD-PROCESSING is a connects_food_system interface at regional/agricultural/bulk generalized; evidence is inferred.,"SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and emerging and selective; connectivity is not transmission certainty. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: Selected foodborne/enteric environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_buffered,IDFA-A2050-02,phase5_freight_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2050-IDB-020,A2050,Coordinated Prevention & Detection,2050,respiratory,IDB-020,mobility interface,EXT-MOBILITY,EXT-CONTACT-STRUCTURE,connects_contact_opportunity,county/place/generalized mobility,CURRENT FACT (2026 baseline): EXT-MOBILITY -> EXT-CONTACT-STRUCTURE is a connects_contact_opportunity interface at county/place/generalized mobility; evidence is inferred.,"SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and emerging and selective; connectivity is not transmission certainty. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: Selected respiratory environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_buffered,IDFA-A2050-02,phase11_mobility_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2050-IDB-026,A2050,Coordinated Prevention & Detection,2050,zoonotic,IDB-026,population/contact interface,EXT-ANIMAL-HOSTS,DID-010,frames_animal_human_opportunity,wildlife/domestic animal/exposure investigation,CURRENT FACT (2026 baseline): EXT-ANIMAL-HOSTS -> DID-010 is a frames_animal_human_opportunity interface at wildlife/domestic animal/exposure investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and emerging and selective; episodic opportunities remain possible. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: Selected zoonotic environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_buffered,IDFA-A2050-01,s13_cdc_rabies,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2050-IDB-033,A2050,Coordinated Prevention & Detection,2050,healthcare/AMR,IDB-033,infrastructure dependency,EXT-INFRASTRUCTURE,EXT-HEALTHCARE,supports_service_continuity,regional/generalized infrastructure,CURRENT FACT (2026 baseline): EXT-INFRASTRUCTURE -> EXT-HEALTHCARE is a supports_service_continuity interface at regional/generalized infrastructure; evidence is inferred.,"SCENARIO ASSUMPTION: Treatment resilience, cold-chain/storage continuity, laboratory capacity, energy, communications, and selected facility interfaces are adapted in a emerging and selective pattern without assuming universal performance. 2050 is an intermediate trajectory in which coordinated prevention, detection, and response links are emerging in selected systems.","SCENARIO CONSEQUENCE: Selected healthcare/AMR environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_buffered,IDFA-A2050-05,phase3_energy_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2075-IDB-004,A2075,Coordinated Prevention & Detection,2075,vector-borne,IDB-004,ecological mediator,EXT-VECTOR-ECOLOGY,DID-001,frames_transmission_opportunity,county/habitat/program,CURRENT FACT (2026 baseline): EXT-VECTOR-ECOLOGY -> DID-001 is a frames_transmission_opportunity interface at county/habitat/program; evidence is inferred.,"SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and institutionalized in selected interfaces; episodic opportunities remain possible. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: Selected vector-borne environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_routinized,IDFA-A2075-01,phase12_vector_dependency_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2075-IDB-010,A2075,Coordinated Prevention & Detection,2075,waterborne/environmental,IDB-010,population/contact interface,ENV-001,DID-004,frames_exposure_opportunity,source/recreational-water/investigation,CURRENT FACT (2026 baseline): ENV-001 -> DID-004 is a frames_exposure_opportunity interface at source/recreational-water/investigation; evidence is documented.,"SCENARIO ASSUMPTION: Environmental-health prevention, vector observation, water-system maintenance, food safety interfaces, and host-interface attention become more coordinated and institutionalized in selected interfaces; episodic opportunities remain possible. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: Selected waterborne/environmental environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_routinized,IDFA-A2075-01,s13_cdc_water_surv,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2075-IDB-013,A2075,Coordinated Prevention & Detection,2075,foodborne/enteric,IDB-013,food/freight interface,EXT-FOOD-PRODUCTION,EXT-FOOD-PROCESSING,connects_food_system,regional/agricultural/bulk generalized,CURRENT FACT (2026 baseline): EXT-FOOD-PRODUCTION -> EXT-FOOD-PROCESSING is a connects_food_system interface at regional/agricultural/bulk generalized; evidence is inferred.,"SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and institutionalized in selected interfaces; connectivity is not transmission certainty. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: Selected foodborne/enteric environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_routinized,IDFA-A2075-02,phase5_freight_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
IDFD-A2075-IDB-020,A2075,Coordinated Prevention & Detection,2075,respiratory,IDB-020,mobility interface,EXT-MOBILITY,EXT-CONTACT-STRUCTURE,connects_contact_opportunity,county/place/generalized mobility,CURRENT FACT (2026 baseline): EXT-MOBILITY -> EXT-CONTACT-STRUCTURE is a connects_contact_opportunity interface at county/place/generalized mobility; evidence is inferred.,"SCENARIO ASSUMPTION: Mobility and freight connectivity remain active, while setting-aware communication, continuity planning, and investigation links become more coordinated and institutionalized in selected interfaces; connectivity is not transmission certainty. 2075 is a matured coordinated state in which selected prevention, detection, and response routines are institutionalized while residual uncertainty remains.","SCENARIO CONSEQUENCE: Selected respiratory environmental, mobility, surveillance, healthcare, and infrastructure handoffs are more connected, while source and scale limits remain. Dependency change is not a disease outcome, and no local or individual inference is made.",selected_dependency_routinized,IDFA-A2075-02,phase11_mobility_context,moderate,moderate,fictional,scenario,scenario_assumption,"Dependency state preserves the accepted native scale and does not convert infrastructure stress, mobility, or environmental change into illness or outbreak certainty."
