state_id,scenario_id,scenario,horizon,baseline_node_id,baseline_name,baseline_geographic_scale,baseline_settlement_class,current_fact,population_distribution_state,settlement_form_state,housing_form_state,employment_geography_state,mobility_interface_state,service_dependency_state,projection_relation,climate_migration_role,assumption_id,source_or_basis,plausibility,reality_status,canon_status,relationship_basis,numeric_future_value_adopted,notes
PFS-A2050-39039,A2050,Connected Reconcentration,2050,POP-ZONE-39039,"Defiance County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Defiance County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39051,A2050,Connected Reconcentration,2050,POP-ZONE-39051,"Fulton County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Fulton County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39063,A2050,Connected Reconcentration,2050,POP-ZONE-39063,"Hancock County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Hancock County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39069,A2050,Connected Reconcentration,2050,POP-ZONE-39069,"Henry County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Henry County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39095,A2050,Connected Reconcentration,2050,POP-ZONE-39095,"Lucas County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Lucas County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39123,A2050,Connected Reconcentration,2050,POP-ZONE-39123,"Ottawa County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Ottawa County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39125,A2050,Connected Reconcentration,2050,POP-ZONE-39125,"Paulding County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Paulding County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39137,A2050,Connected Reconcentration,2050,POP-ZONE-39137,"Putnam County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Putnam County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39143,A2050,Connected Reconcentration,2050,POP-ZONE-39143,"Sandusky County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Sandusky County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
PFS-A2050-39147,A2050,Connected Reconcentration,2050,POP-ZONE-39147,"Seneca County, OH",county,county_population_zone,"CURRENT FACT (2026 baseline): Seneca County, OH is represented as a Census county-scale population-zone node with a generalized settlement context; no future value is implied.",relative reconcentration toward existing anchors and connected secondary centers,hub-and-secondary-center pattern with stronger connected urban and town interfaces,"infill, reuse, and mixed housing forms receive stronger planning attention near anchors",employment remains concentrated at existing nodes while selected secondary centers gain linked functions,commuting interfaces become more anchor-connected; commuting is not migration and no individual path is modeled,"water, wastewater, energy, transport, housing, and hazard planning follows connected service interfaces without exact territory assignment",OFFICIAL PROJECTION CONTEXT AVAILABLE AT NATIONAL SCALE; no selected-county numeric projection adopted,high-uncertainty scenario mechanism that may alter housing and settlement demand; not a population-growth assumption,S11C-A2050-01,S11C-BASELINE-11A;S11C-POP-PROJ-TABLES;S11C-CLIMATE,moderate,fictional,scenario,qualitative scenario delta over accepted 2026 baseline,false,"County geography is a statistical/cartographic frame, not a jurisdiction or utility service territory. Population ≠ household ≠ housing unit ≠ worker ≠ job ≠ commuter; this row carries no numeric future value. No vulnerability/EJ score or protected-class ranking is represented."
