stage_id,test_id,branch_id,stage,stage_status,phase16a_stressor_id,stressor_initial_system_id,phase16a_rule_id,phase16a_chain_parent_rule_id,stage_parent_id,chain_relation_type,source_system_id,target_system_id,phase16a_relationship_id,relationship_class,propagation_mechanism,stressor_evidence_class,evidence_class,lineage_evidence_class,application_fit,direct_or_inferred,baseline_or_scenario,scenario_state_ids,scenario_condition,source_state_or_effect,system_effect,technology_modifier_ids,governance_modifier,phase16a_response_id,response_mechanism,second_order_effect,uncertainty,source_lineage,response_capacity_boundary,notes
P16B-CAND-001-P16B-001-HEAT-STAGE-01,P16B-CAND-001,P16B-001-HEAT,1,SELECTED QUALITATIVE STAGE,STRESS-HEAT-EXTREME,SYS-CLIMATE,RULE-16A-001,,,parallel_initial_branch,SYS-CLIMATE,SYS-ENERGY,REL-16A-001,operational dependency,energy dependency,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,climate stressed,heat-related continuity pressure may constrain energy operations,TM-16A-004;TM-16A-005,human/operator and institutional authority remain required,RESP-16A-003,load shifting,energy service may be delayed or redistributed,native-scale hazard and operating conditions are unresolved,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-001-13a6b9b4,an option is not a measured result,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-01,P16B-CAND-001,P16B-001-LOW-FLOW,1,SELECTED QUALITATIVE STAGE,STRESS-LOW-FLOW-DROUGHT,SYS-CLIMATE,RULE-16A-005,,,parallel_initial_branch,SYS-CLIMATE,SYS-WATER,REL-16A-034,physical flow,low-flow propagation,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,hydrologic context constrained,physical-flow context may be constrained,NONE,no operational control is inferred,RESP-16A-004,conservation,water-system observability may become less complete,spatial coverage and duration are unresolved,data/processed/analysis/climate_hazard_dependency_register.csv#AR-9B-HZD-011-6487677d,capacity or intent is not successful conservation,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-02,P16B-CAND-001,P16B-001-LOW-FLOW,2,SELECTED QUALITATIVE STAGE,STRESS-LOW-FLOW-DROUGHT,SYS-CLIMATE,RULE-16A-006,RULE-16A-005,P16B-CAND-001-P16B-001-LOW-FLOW-STAGE-01,sequential,SYS-WATER,SYS-ENERGY,REL-16A-008,operational dependency,operational dependency,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,water constrained after low-flow context,water-dependent energy operations may become constrained,TM-16A-005,operator review and authority remain required,RESP-16A-003,load shifting,water-energy coordination may be delayed,local operating evidence is not present,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,an option is not a measured result,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-001-P16B-001-GRID-STAGE-01,P16B-CAND-001,P16B-001-GRID,1,SCENARIO-CONDITIONED OPTIONAL STAGE,STRESS-ELECTRIC-GRID,SYS-ENERGY,RULE-16A-016,,,parallel_initial_branch,SYS-ENERGY,SYS-DATA,REL-16A-029,operational dependency,technology / compute dependency,INFERRED,SCENARIO_STATE,SCENARIO_STATE,SCENARIO_STATE_APPLICATION,scenario-conditioned,scenario-conditioned,TDS-A2050-01,Phase 15B state reference(s) TDS-A2050-01; not a baseline path,energy stressed,technology/compute-dependent data services may become more coupled or delayed,TM-16A-009;TM-16A-010;TM-16A-011,AI remains advisory; human authority remains explicit,RESP-16A-005,distributed operation,observability may improve in one regime and fragment in another,"scenario family, adoption, and continuity are unresolved",data/processed/scenarios/technology_dependency_states.csv#TDS-A2050-01,scenario option only,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-002-P16B-002-HAB-STAGE-01,P16B-CAND-002,P16B-002-HAB,1,SELECTED QUALITATIVE STAGE,STRESS-HAB-WATER-QUALITY,SYS-BIOGEOCHEMISTRY,RULE-16A-012,,,parallel_initial_branch,SYS-BIOGEOCHEMISTRY,SYS-ECOLOGY,REL-16A-033,ecological relationship,ecological pathway,OBSERVED_DOCUMENTED,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,nutrient-water-quality context constrained,ecological condition may become constrained or less observable,TM-16A-002;TM-16A-008,monitoring and stewardship are not control,RESP-16A-007,increased monitoring,ecological observation and governance coordination may be delayed,"conceptual interface is inferred, not exact local identity",metadata/atlas_systems.yml#architecture.interfaces:SYS-BIOGEOCHEMISTRY>SYS-ECOLOGY,monitoring capacity does not ensure detection or response,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-002-P16B-002-TREATMENT-ENERGY-STAGE-01,P16B-CAND-002,P16B-002-TREATMENT-ENERGY,1,SELECTED QUALITATIVE STAGE,STRESS-WATER-TREATMENT,SYS-WATER,RULE-16A-014,,,parallel_initial_branch,SYS-WATER,SYS-ENERGY,REL-16A-008,operational dependency,operational dependency,INFERRED,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,water operations constrained,water-dependent energy operations may be constrained or delayed,TM-16A-005,operator authority and treatment decisions are not modeled,RESP-16A-008,manual fallback,coordination and service timing may be delayed,facility-specific operating details are absent,data/processed/networks/energy_dependency_edges.csv#AR-3B-DEP-016-95a609bc,human authority does not imply successful fallback,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-002-P16B-002-TREATMENT-DISEASE-STAGE-01,P16B-CAND-002,P16B-002-TREATMENT-DISEASE,1,SELECTED QUALITATIVE STAGE,STRESS-WATER-TREATMENT,SYS-WATER,RULE-16A-015,,,parallel_initial_branch,SYS-WATER,SYS-INFECTIOUS-DISEASE,REL-16A-009,exposure pathway,exposure pathway,INFERRED,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,water operations constrained,potential exposure-pathway context may become delayed or less observable,TM-16A-007,diagnostic support is not health authority,RESP-16A-007,increased monitoring,detection and communication timing may change,no individual exposure or outcome is modeled,data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-007-c8da7d06,monitoring capacity does not ensure detection or response,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-003-P16B-003-TRANSPORT-STAGE-01,P16B-CAND-003,P16B-003-TRANSPORT,1,SELECTED QUALITATIVE STAGE,STRESS-TRANSPORT-FREIGHT,SYS-FREIGHT,RULE-16A-019,,,parallel_initial_branch,SYS-FREIGHT,SYS-ENERGY,REL-16A-014,material flow,supply-chain propagation,INFERRED,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,freight constrained,generalized fuel/material input interface may be constrained,TM-16A-006,no operator or market authority is inferred,RESP-16A-006,alternate routing,industrial operations may be delayed,route-level evidence is absent,data/processed/networks/freight_dependency_edges.csv#AR-5C-FDE-013-a496499f,an alternate interface is not guaranteed access,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-003-P16B-003-FUEL-STAGE-01,P16B-CAND-003,P16B-003-FUEL,1,SELECTED QUALITATIVE STAGE,STRESS-FUEL-CONSTRAINT,SYS-FREIGHT,RULE-16A-020,,,parallel_initial_branch,SYS-FREIGHT,SYS-ENERGY,REL-16A-014,material flow,supply-chain propagation,INFERRED,OBSERVED_DOCUMENTED,OBSERVED_DOCUMENTED,EXACT_SOURCE_APPLICATION,direct,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,fuel/material input constrained,energy-related freight interface may be constrained,TM-16A-004;TM-16A-006,coordination is not procurement control,RESP-16A-012,supply substitution,industrial and freight timing may be redistributed,no quantities or probabilities,data/processed/networks/freight_dependency_edges.csv#AR-5C-FDE-013-a496499f,substitution option is not immunity,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
P16B-CAND-004-P16B-004-INFECTIOUS-DATA-STAGE-01,P16B-CAND-004,P16B-004-INFECTIOUS-DATA,1,SELECTED QUALITATIVE STAGE,STRESS-INFECTIOUS-PRESSURE,SYS-INFECTIOUS-DISEASE,RULE-16A-022,,,parallel_initial_branch,SYS-INFECTIOUS-DISEASE,SYS-DATA,REL-16A-017,information / observation,surveillance / detection pathway,INFERRED,INFERRED,INFERRED,INFERRED_SOURCE_APPLICATION,inferred,baseline,,baseline Phase 16A rule application; no future scenario state is asserted,disease surveillance pressure,surveillance and reporting may become degraded or delayed,TM-16A-007;TM-16A-008,diagnostics and analytics are not authority,RESP-16A-010,mutual aid,detection timing and reported observations may change,"no cases, incidence, or outbreak probability",data/processed/analysis/infectious_disease_dependency_register.csv#AR-13B-IDB-006-1b416a5c,option is not deployment or outcome,Stage uses the exact frozen Phase 16A rule; fan-out remains parallel and no cross-stressor continuation is inferred.
