old_connector_id,from_huc12,to_huc12,old_length_km,qa_status,replacement_source,replacement_ids,replacement_feature_types,physical_channel_present,network_connector_present,authoritative_transition_count,released_physical_transition_count,source_generation,confidence,routing_basis,source_method,physical_geometry,source_authority,unresolved_category,observed_3dhp_downstream_huc12,explanation,notes
WTR-HUC-ROUTE-041000030706,041000030706,041000030707,9.73278,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,AQ57S;E3NQ7;G9JIT;GT0C4,Channel Line;Hydro Unenforced Connector;Waterbody Connector,False,True,2,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000040605,041000040605,041000040606,7.364336,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1A3SO;2RC1B;5G5ZS,Waterbody Connector,False,True,2,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000030805,041000030805,041000030806,6.694742,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1F9J5;4DQYH;4S91U;7HCSZ;9DHJG;9IBYN;9S29U;B4P1Y;DTY3Z,Canal;Channel Line;Hydro Unenforced Connector;Waterbody Connector,True,True,5,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040606,041000040606,041000050102,8.781763,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,10MMV;4IGRX;5GDC9;907FP;C2MHM;CM1RI,Canal;Channel Line;Drainageway;Waterbody Connector,True,True,3,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030806,041000030806,041000050102,6.887882,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,C8XLC;CM1RI,Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000040602,041000040602,041000040604,6.320077,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,2MHEW;3U1JH;7CS4;8TODP;C2ELX;DJWTL;E3C6N;F1FZZ;F6B3X,Channel Line;Drainageway;Surface Connector;Waterbody Connector,True,True,5,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040501,041000040501,041000040502,15.072643,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,4I9JV;CC5CJ,Channel Line;Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000040503,041000040503,041000040504,5.700525,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,2W602;QPZ9,Channel Line;Drainageway,True,False,1,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040403,041000040403,041000040405,12.625021,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,72H3M;G4FC6,Channel Line,True,False,1,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040603,041000040603,041000040604,4.201295,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,10EVL;3KCU7;4RXFG;77BFG;7LWTK;7QRLR;8F2DN;9MVUE;B4DVC;BXI4M;C2ENB;CVKN1;DTM3S;ED2Z5;EMTK0;G4EOY;GIYJB;H2GZI;QPYI,Canal;Channel Line;Drainageway;Hydro Unenforced Connector;Waterbody Connector,True,True,11,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040402,041000040402,041000040405,8.359526,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1TG4U;5ZLDO;AKXJC;FZJD7;G4FC6,Channel Line;Drainageway,True,False,3,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040404,041000040404,041000040405,8.028337,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,35V8C;B4DU9;DA7AJ;ED3TD,Channel Line;Waterbody Connector,True,True,2,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050101,041000050101,041000050102,5.977473,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1TNAD;3PF5Z;3U9BJ;4WZEL;7VUW8;BO0V6;E8EPA;EI5OH;F1NQT;FUUUY;QXUD,Channel Line;Drainageway;Hydro Unenforced Connector;Waterbody Connector,True,True,6,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050102,041000050102,041000050103,9.302969,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,10MR1;10MT3;1JYQR;1TNAL;1TNHP;2QM9;3AW60;3KKNJ;3PFC2;4NATY;56NOV;5L7IM;80Q0W;8FA96;AG9DG;AL500;B9FRR;DYP1V;FG9VM;FPZG4;FZQPQ;GEAUZ;GXSM6,Canal;Channel Line;Drainageway;Waterbody Connector,True,True,14,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050103,041000050103,041000050105,4.319941,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1YH7L;362HU;3FQJU;3U9CZ;6XTI4;7QZDC;8AFHV;8K5YK;8TW6C;CVSJM;DF93K;G9G0T;G9G22;GSWSG;H7KJY,Canal;Channel Line;Drainageway;Waterbody Connector,True,True,9,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050104,041000050104,041000050106,7.995929,REPLACED_AUTHORITATIVE_CONNECTOR,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,6SYE3;7M4YZ,Channel Line;Waterbody Connector,False,True,1,0,migrated_nhd,high,official_3dhp_connector,authoritative_3dhp,False,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.,Authoritative 3DHP topology or a forward-directed same-feature crossing uses a non-watercourse connector class.
WTR-HUC-ROUTE-041000050105,041000050105,041000050106,6.704616,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1ABCR;1ABDU;56NK6;56NPD;5UWQV;9N3LT;AUVJR;D0NOS;D5J40;DAEPA;DK41L;DTU3C;EN1BZ;FG9QE;FPZDW;H2OVP,Canal;Channel Line;Drainageway;Waterbody Connector,True,True,9,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000050106,041000050106,041000050202,9.903438,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,3Z3H1;4WZKF;8TW2Y;9WT8P;BSVX3;DK40U,Channel Line;Waterbody Connector,True,True,4,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000040604,041000040604,041000040606,9.031195,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,80IRB;AKXKE;B4DVC;CVKH4;DOQPQ,Channel Line;Drainageway;Waterbody Connector,True,True,3,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030801,041000030801,041000030802,6.136308,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1TR16;2UVN;48VJ0;5BLKK;6XWV5;7M8IW;85OFF;9S1XJ;AGCWN;BXTK6;DP2P3;GXW0G;GXX13;HCDM;M7J0,Canal;Channel Line;Drainageway,True,False,9,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030401,041000030401,041000030405,8.263684,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,366KM;5GGQM;64RVW;85OGR;98M0E;AZUCT;CHBM0,Channel Line;Drainageway,True,False,4,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030403,041000030403,041000030404,4.770654,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,1OWJH;2D3PE;4DQT9;4NF42;56R79;7VYGG;80TMX;9WXAC;BO4G3;CR0N4;G4QCG;GT0XJ;H2T4A,Channel Line;Drainageway;Surface Connector;Waterbody Connector,True,True,7,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
WTR-HUC-ROUTE-041000030404,041000030404,041000030406,9.151817,REPLACED_PHYSICAL,USGS 3DHP Flowline layer 50 / native hydrosequence derivatives,7NUS;BSZ85;C2QIP;R1XW,Channel Line;Drainageway,True,False,2,0,migrated_nhd,high,physical_3dhp,authoritative_3dhp,True,USGS,,,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.,Authoritative 3DHP topology or a forward-directed same-feature HUC crossing provides physical geometry.
