relationship_id,actor_id,domain_system,relationship_type,authority_or_role,binding_or_nonbinding,geographic_scope,jurisdictional_scale,source_id,evidence_strength,reality_status,canon_status,notes
REL-001,GA-001,Water,actor_system_role,regulate,binding,United States,federal,s01_epa_sdwa,high,real,verified,Federal standards are not municipal operation.
REL-002,GA-001,Water,actor_system_role,set_standard,binding,United States,federal,s01_epa_sdwa,high,real,verified,A standard is not a treatment-plant operating command.
REL-003,GA-001,Water,actor_system_role,coordinate,mixed,Great Lakes / United States,federal,s15_glwqa,moderate,real,verified,Coordination is distinct from each state or local permit.
REL-004,GA-001,Water,actor_system_role,monitor,not_applicable,Great Lakes,federal,s07_glerl,moderate,real,verified,Monitoring does not itself regulate or operate.
REL-005,GA-002,Water,actor_system_role,regulate,binding,Ohio,state,s02_ohio_pws,high,real,verified,Scope is program-specific.
REL-006,GA-002,Water,actor_system_role,permit,binding,Ohio,state,s05_ohio_npdes,high,real,verified,Permitting is not physical operation.
REL-007,GA-002,Water,actor_system_role,enforce,binding,Ohio,state,s05_ohio_npdes,moderate,real,verified,No facility-specific enforcement finding is made.
REL-008,GA-002,Water,actor_system_role,monitor,not_applicable,Ohio,state,s02_ohio_pws,high,real,verified,Monitoring is not the same as regulation even when the same agency administers both.
REL-009,GA-002,Biogeochemical / Nutrient Flux,actor_system_role,regulate,binding,Ohio,state,s05_ohio_npdes,high,real,verified,Point-source regulation is not a farm-level diffuse-source obligation.
REL-010,GA-002,Ecology / Biodiversity,actor_system_role,permit,binding,Ohio,state,s05_ohio_npdes,high,real,verified,Ecological interest alone does not establish this permit role; the program source does.
REL-011,GA-002,Environmental Health / Exposure,actor_system_role,monitor,not_applicable,Ohio,state,s09_ohio_air,moderate,real,verified,No medical or individual-exposure conclusion is inferred.
REL-012,GA-003,Water,actor_system_role,own,not_applicable,Toledo and surrounding service areas,municipal,s03_toledo_treatment,high,real,verified,Ownership does not equal state regulation.
REL-013,GA-003,Water,actor_system_role,operate,not_applicable,Toledo and surrounding service areas,municipal,s03_toledo_treatment,high,real,verified,Operational control is not federal/state regulatory authority.
REL-014,GA-004,Water,actor_system_role,operate,not_applicable,Toledo service area,public utility,s03_toledo_treatment,high,real,verified,"The utility is an operator, not the primary drinking-water regulator."
REL-015,GA-004,Water,actor_system_role,monitor,not_applicable,Toledo service area,public utility,s04_toledo_quality,high,real,verified,Monitoring does not create independent regulatory authority.
REL-016,GA-004,Environmental Health / Exposure,actor_system_role,provide_data,not_applicable,Toledo service area,public utility,s04_toledo_quality,high,real,verified,Public data are not themselves legal decisions.
REL-017,GA-005,Water,actor_system_role,monitor,not_applicable,United States / monitoring locations,federal,s06_usgs_data,high,real,verified,"No permit, enforcement, or operational role."
REL-018,GA-005,Climate / Natural Hazards,actor_system_role,provide_data,not_applicable,United States / monitoring locations,federal,s06_usgs_data,high,real,verified,Observation can inform decisions without binding authority.
REL-019,GA-005,Water,actor_system_role,research,not_applicable,United States,federal,s06_usgs_data,high,real,verified,Research is distinct from regulation.
REL-020,GA-006,Climate / Natural Hazards,actor_system_role,warn,not_applicable,United States / forecast areas,federal,s36_nws,high,real,verified,Warning is not emergency command or asset operation.
REL-021,GA-006,Climate / Natural Hazards,actor_system_role,monitor,not_applicable,United States / forecast areas,federal,s36_nws,high,real,verified,Observation is not regulation.
REL-022,GA-006,Data / Sensors / Security,actor_system_role,provide_data,not_applicable,United States / forecast areas,federal,s36_nws,high,real,verified,Information is not legal decision authority.
REL-023,GA-007,Data / Sensors / Security,actor_system_role,research,not_applicable,Great Lakes,federal,s07_glerl,high,real,verified,No direct permit or operating control.
REL-024,GA-007,Ecology / Biodiversity,actor_system_role,monitor,not_applicable,Great Lakes,federal,s07_glerl,high,real,verified,Monitoring does not equal ecological regulation.
REL-025,GA-007,Water,actor_system_role,provide_data,not_applicable,Great Lakes,federal,s07_glerl,high,real,verified,Scientific information does not bind the recipient.
REL-026,GA-008,Ecology / Biodiversity,actor_system_role,permit,binding,United States / covered waters and projects,federal,s07_usace_regulatory,high,real,verified,Permit authority is activity-specific and not ownership or operation.
REL-027,GA-008,Ecology / Biodiversity,actor_system_role,enforce,binding,United States / covered activities,federal,s07_usace_regulatory,moderate,real,verified,No site-specific enforcement action is asserted.
REL-028,GA-009,Ecology / Biodiversity,actor_system_role,monitor,not_applicable,United States,federal,s08_usfws_nwi,high,real,verified,Inventory and monitoring are not permit authority.
REL-029,GA-009,Ecology / Biodiversity,actor_system_role,research,not_applicable,United States,federal,s08_usfws_nwi,moderate,real,verified,No species-sensitive location or local enforcement claim.
REL-030,GA-009,Ecology / Biodiversity,actor_system_role,restore,mixed,United States / program sites,federal,s08_usfws_nwi,moderate,real,inferred,Restoration authority and funding are project-specific.
REL-031,GA-010,Climate / Natural Hazards,actor_system_role,fund,mixed,"United States / state, tribal, and local partners",federal,s35_fema_mitigation,high,real,verified,Funding conditions do not make FEMA the local operator.
REL-032,GA-010,Climate / Natural Hazards,actor_system_role,plan,nonbinding,"United States / state, tribal, and local governments",federal,s35_fema_mitigation,high,real,verified,Planning is distinct from local land-use administration.
