dependency_id,system_a,system_b,actor_a,actor_b,role_a,role_b,dependency_type,coordination_mechanism,mandatory_or_voluntary,documented_or_inferred,jurisdictional_scale,evidence_strength,source_id,notes
GDEP-001,Biogeochemical / Nutrient Flux,Water,GA-012,GA-002,coordinate,regulate,split_responsibility,planning process,voluntary,inferred,state / state,moderate,s10_h2ohio,Agricultural program coordination and point-source water regulation are separate institutional tracks; no individual nutrient duty is inferred.
GDEP-002,Water,Water,GA-002,GA-004,permit,operate,permit_dependency,permit,mandatory,documented,state / public utility,high,s02_ohio_pws,Ohio EPA public-water requirements constrain the operator; permitting is not physical operation.
GDEP-003,Water,Water,GA-005,GA-002,monitor,regulate,information_dependency,scientific/data-sharing network,unknown,documented,federal / state,high,s06_usgs_data,"USGS water observations may inform regulation, but observation does not transfer regulatory authority."
GDEP-004,Water,Water,GA-004,GA-002,monitor,regulate,mandatory_coordination,statute/regulation,mandatory,documented,public utility / state,high,s04_toledo_quality,Toledo water monitoring/reporting supports Ohio EPA compliance; the utility remains the operator and Ohio EPA remains the regulator.
GDEP-005,Water,Water,GA-007,GA-004,research,operate,monitoring-without-control,scientific/data-sharing network,unknown,inferred,federal / public utility,moderate,s07_glerl,Great Lakes research can inform management decisions without controlling the treatment plant.
GDEP-006,Climate / Natural Hazards,Energy / Grid / Compute,GA-006,GA-030,warn,operate,information_dependency,emergency protocol,unknown,inferred,federal / private,moderate,s36_nws,Weather warnings may inform utility operations; no formal utility protocol or outcome is asserted.
GDEP-007,Energy / Grid / Compute,Energy / Grid / Compute,GA-026,GA-030,operate,operate,public_private_dependency,market/operator rule,mandatory,documented,system operator / private,high,s24_pjm,PJM wholesale/high-voltage operation and utility asset operation are linked but not identical; PJM is not utility ownership.
GDEP-008,Energy / Grid / Compute,Energy / Grid / Compute,GA-024,GA-026,regulate,operate,sequential_authority,market/operator rule,mandatory,documented,federal / system operator,high,s21_ferc,FERC regulatory oversight and PJM operation occupy different institutional roles.
GDEP-009,Energy / Grid / Compute,Energy / Grid / Compute,GA-025,GA-030,set_standard,operate,control-without-direct-observation,market/operator rule,mandatory,documented,interstate / private,high,s23_nerc,Reliability standards create requirements without making NERC the owner or physical operator of utility assets.
GDEP-010,Energy / Grid / Compute,Energy / Grid / Compute,GA-027,GA-030,regulate,operate,sequential_authority,statute/regulation,mandatory,documented,state / private,high,s25_puco,PUCO economic/service regulation is distinct from utility operation.
GDEP-011,Climate / Natural Hazards,Climate / Natural Hazards,GA-006,GA-038,warn,plan,emergency_coordination,emergency protocol,unknown,inferred,federal / county,moderate,s35_fema_mitigation,Warnings and county mitigation planning meet as a coordination interface; no command structure is modeled.
GDEP-012,Climate / Natural Hazards,Climate / Natural Hazards,GA-010,GA-038,fund,plan,funding_dependency,funding program,mixed,documented,federal / county,high,s35_fema_mitigation,FEMA assistance and planning conditions can support local mitigation without making FEMA the local planner/operator.
GDEP-013,Climate / Natural Hazards,Climate / Natural Hazards,GA-010,GA-038,provide_data,plan,information_dependency,planning process,mixed,documented,federal / county,high,s34_fema_nfhl,NFHL data inform local planning; mapped data are not local ownership or observed-event control.
GDEP-014,Ecology / Biodiversity,Ecology / Biodiversity,GA-008,GA-002,permit,permit,overlapping_authority,permit,mandatory,documented,federal / state,high,s07_usace_regulatory,Federal aquatic permitting and Ohio 401/isolated-wetland programs can overlap by activity and authority; no blanket priority is inferred.
GDEP-015,Ecology / Biodiversity,Ecology / Biodiversity,GA-009,GA-008,monitor,permit,monitoring-without-control,scientific/data-sharing network,unknown,inferred,federal / federal,moderate,s08_usfws_nwi,USFWS inventory/monitoring may inform decisions without itself being the permitter.
GDEP-016,Water,Water,GA-002,GA-015,regulate,regulate,interstate_dependency,compact,mixed,documented,state / state,moderate,s14_gsgp,Ohio and Michigan state programs are separate authorities connected through regional Great Lakes coordination; no shared regulator is created.
GDEP-017,Water,Water,GA-020,GA-019,coordinate,coordinate,binational_dependency,treaty/agreement,mixed,inferred,binational / binational,limited,s15_glwqa,"GLWQA implementation and IJC reference/coordination roles are binational interfaces, not domestic permits."
GDEP-018,Ecology / Biodiversity,Water,GA-021,GA-018,advise,coordinate,advisory_relationship,consultation relationship,voluntary,inferred,tribal / binational,moderate,s17_glifwc,Intertribal treaty-rights/resource expertise may inform regional coordination; no Western Basin jurisdiction is inferred.
GDEP-019,Ecology / Biodiversity,Water,GA-022,GA-001,advise,coordinate,advisory_relationship,consultation relationship,voluntary,documented,tribal / federal,limited,s18_epa_tribal,EPA describes Tribal-government involvement; this does not establish a specific nation-specific project jurisdiction.
GDEP-020,Biogeochemical / Nutrient Flux,Water,GA-011,GA-013,advise,advise,voluntary_coordination,funding program,voluntary,documented,federal / special district,moderate,s11_nrcs_ohio,NRCS technical/financial assistance and local conservation support are voluntary/program-based rather than general regulation.
GDEP-021,Freight / Industry,Freight / Industry,GA-032,GA-031,fund,own,funding_dependency,funding program,mixed,documented,federal / state,high,s29_fhwa,Federal freight funding and state public-road ownership/operation are sequential support roles.
GDEP-022,Freight / Industry,Freight / Industry,GA-033,GA-036,regulate,operate,public_private_dependency,statute/regulation,mandatory,documented,federal / private,high,s30_fra,FRA safety regulation/enforcement and Norfolk Southern private operation are distinct.
GDEP-023,Freight / Industry,Freight / Industry,GA-035,GA-037,own,operate,public_private_dependency,memorandum/agreement,mixed,inferred,regional authority / private,moderate,s32_port,Port-authority facilities and private railroad operation can interface without public operation of the railroad.
GDEP-024,Freight / Industry,Freight / Industry,GA-034,GA-035,plan,own,funding_dependency,funding program,mixed,inferred,federal / regional authority,limited,s31_marad,Federal maritime assistance may interface with port-authority facilities; no project-specific award or control is asserted.
GDEP-025,Environmental Health / Exposure,Water,GA-039,GA-004,monitor,operate,monitoring-without-control,scientific/data-sharing network,unknown,inferred,special district / public utility,limited,s40_lucas_health,Local health information can inform utility/public-health decisions without controlling treatment operations.
