interface_id,technology_id,technology_family,technology_label,technology_status,source_system_id,target_system_id,interface_type,normalized_relationship_class,evidence_class,current_or_emerging,regional_relevance,dependency_basis,governance_interface,uncertainty,source_id,notes
TSI-001,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,AI / advanced compute decision support,commercially emerging,,SYS-ENERGY,grid and load decision support,operational dependency,INFERRED,emerging,emerging,"Compute, data, communications, and operator review are required; no dispatch or control is inferred.",Decision support is not autonomous authority or grid control.,Model validity and continuity are unresolved.,REG-PHASE3A-ENERGY,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-002,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,AI / advanced compute decision support,commercially emerging,,SYS-WATER,water-system decision support,information / observation,INFERRED,emerging,emerging,Existing water observations can be inputs to analysis; sensor coverage and treatment operations remain local.,"Recommendation is not treatment authority, intake control, or legal mandate.",Toledo intake coordinate discrepancy and operating details remain unresolved.,REG-PHASE4A-DATA,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-003,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,AI / advanced compute decision support,commercially emerging,,SYS-DATA,environmental modeling and analytics,information / observation,INFERRED,emerging,emerging,Phase 4 observation-to-decision chains provide a current data interface.,Analysis is not an institutional decision or enforcement action.,"Data quality, representativeness, and model error are unresolved.",REG-PHASE4B-INFO-GOV,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-004,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,AI / advanced compute decision support,commercially emerging,,SYS-CLIMATE,climate and hazard modeling,information / observation,INFERRED,emerging,emerging,Phase 9 hazard observations provide a regional context for model-assisted interpretation.,"Model output is not a hazard forecast, probability, or emergency authority.","Resolution, model error, and event attribution are unresolved.",REG-PHASE9A-CLIMATE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-005,TECH-AI-INDUSTRIAL-AUTOMATION,AI / ADVANCED COMPUTE / AUTOMATION,Industrial automation and machine-assisted operations,commercially emerging,,SYS-FREIGHT,industrial optimization and logistics,operational dependency,INFERRED,emerging,emerging,Freight and industrial nodes provide a documented system context; facility automation is not claimed.,"Automation does not establish operator authority, route selection, or shipment volume.","Facility integration, workforce, and continuity are unresolved.",REG-PHASE5A-FREIGHT,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-006,TECH-AI-INDUSTRIAL-AUTOMATION,AI / ADVANCED COMPUTE / AUTOMATION,Industrial automation and machine-assisted operations,commercially emerging,,SYS-MATERIALS,process and materials optimization,operational dependency,INFERRED,emerging,emerging,Phase 2 materials processing and Phase 5 industry provide regional context.,A recommendation is not a production decision or capability claim.,"Nonlocal feed, equipment, and qualification remain unresolved.",REG-PHASE2-MATERIALS,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-007,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,AI / advanced compute decision support,commercially emerging,,SYS-INFECTIOUS-DISEASE,public-health surveillance analytics,surveillance / detection,INFERRED,emerging,emerging,Phase 13 surveillance and reporting interfaces support a high-level analytics connection.,"Analytics is not diagnosis, incidence, outbreak declaration, or response authority.","Sampling, reporting, and interpretation remain uncertain.",REG-PHASE13A-DISEASE,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-008,TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Advanced environmental sensing and observing,established,,SYS-WATER,water-quality observation,surveillance / detection,INFERRED,current,current,Phase 4A and Phase 8/13 water-observation context supports a current regional interface.,"Measurement is not treatment failure, exposure, or enforcement.","Coverage, calibration, timing, and representativeness vary.",REG-PHASE4A-DATA,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-009,TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Advanced environmental sensing and observing,established,,SYS-ECOLOGY,ecosystem observation,surveillance / detection,INFERRED,current,current,Phase 6 ecological and Phase 12 vector observation contexts support measurement interfaces.,"Observation is not habitat enforcement, abundance, or disease incidence.",Detection is not establishment; ecological interpretation remains separate.,REG-PHASE6A-ECOLOGY,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
TSI-010,TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Advanced environmental sensing and observing,established,,SYS-BIOGEOCHEMISTRY,nutrient and runoff observation,surveillance / detection,INFERRED,current,current,Phase 8 nutrient and water-carrier records provide a regional observation context.,"Measurement is not a load estimate, bloom forecast, or control result.","Seasonal coverage, source apportionment, and retention are unresolved.",REG-PHASE8A-BGC,"Additive project inference over accepted/frozen regional system context; not a deployment, causal, risk, or quantity claim."
