assumption_id,scenario_id,scenario_year,scope,assumption,basis,value_type,source_id,plausibility,uncertainty,reality_status,notes
CSA-A2050-01,A,2050,climate_hazard_system,Shared climate projection envelopes remain possible while adaptation and ecological buffers substantially improve.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_summary,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2050-02,A,2050,climate_hazard_system,"Extreme heat and hot-day exposure are addressed through cooling, warning, and urban adaptation.",projection envelope plus scenario adaptation premise,qualitative,c9_glisa_trends,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2050-03,A,2050,climate_hazard_system,"Precipitation variability and flood pathways are buffered through floodplain, wetland, and stormwater investment.",projection envelope plus scenario adaptation premise,qualitative,c9_basile_precip,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2050-04,A,2050,climate_hazard_system,"Drought and low-water variability are managed through water monitoring, conservation, and agricultural adaptation.",projection envelope plus scenario adaptation premise,qualitative,c9_epa_great_lakes,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2050-05,A,2050,climate_hazard_system,"Lake-level sign uncertainty remains, while coastal planning targets exposure to high water, waves, and seiche.",projection envelope plus scenario adaptation premise,qualitative,c9_notaro_levels,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2050-06,A,2050,climate_hazard_system,"Monitoring, governance, and infrastructure redundancy improve without eliminating physical hazards.",projection envelope plus scenario adaptation premise,qualitative,c9_nca_midwest,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2075-01,A,2075,climate_hazard_system,Shared climate projection envelopes remain possible while adaptation and ecological buffers substantially improve.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_summary,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2075-02,A,2075,climate_hazard_system,"Extreme heat and hot-day exposure are addressed through cooling, warning, and urban adaptation.",projection envelope plus scenario adaptation premise,qualitative,c9_glisa_trends,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2075-03,A,2075,climate_hazard_system,"Precipitation variability and flood pathways are buffered through floodplain, wetland, and stormwater investment.",projection envelope plus scenario adaptation premise,qualitative,c9_basile_precip,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2075-04,A,2075,climate_hazard_system,"Drought and low-water variability are managed through water monitoring, conservation, and agricultural adaptation.",projection envelope plus scenario adaptation premise,qualitative,c9_epa_great_lakes,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2075-05,A,2075,climate_hazard_system,"Lake-level sign uncertainty remains, while coastal planning targets exposure to high water, waves, and seiche.",projection envelope plus scenario adaptation premise,qualitative,c9_notaro_levels,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-A2075-06,A,2075,climate_hazard_system,"Monitoring, governance, and infrastructure redundancy improve without eliminating physical hazards.",projection envelope plus scenario adaptation premise,qualitative,c9_nca_midwest,limited,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2050-01,B,2050,climate_hazard_system,Regional warming and precipitation variability increase while adaptation proceeds unevenly.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_summary,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2050-02,B,2050,climate_hazard_system,Heat burden persists and cooling adaptation is selective across urban and infrastructure systems.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_trends,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2050-03,B,2050,climate_hazard_system,Flood and stormwater management improves in targeted places while management burden persists.,projection envelope plus scenario adaptation premise,qualitative,c9_basile_precip,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2050-04,B,2050,climate_hazard_system,Drought and low-water conditions remain variable with uneven agricultural and ecological adaptation.,projection envelope plus scenario adaptation premise,qualitative,c9_epa_great_lakes,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2050-05,B,2050,climate_hazard_system,Lake-level sign remains uncertain and coastal management is selective rather than comprehensive.,projection envelope plus scenario adaptation premise,qualitative,c9_notaro_levels,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2050-06,B,2050,climate_hazard_system,Monitoring and infrastructure controls improve incrementally but redundancy is uneven.,projection envelope plus scenario adaptation premise,qualitative,c9_nca_midwest,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2075-01,B,2075,climate_hazard_system,Regional warming and precipitation variability increase while adaptation proceeds unevenly.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_summary,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2075-02,B,2075,climate_hazard_system,Heat burden persists and cooling adaptation is selective across urban and infrastructure systems.,projection envelope plus scenario adaptation premise,qualitative,c9_glisa_trends,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2075-03,B,2075,climate_hazard_system,Flood and stormwater management improves in targeted places while management burden persists.,projection envelope plus scenario adaptation premise,qualitative,c9_basile_precip,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2075-04,B,2075,climate_hazard_system,Drought and low-water conditions remain variable with uneven agricultural and ecological adaptation.,projection envelope plus scenario adaptation premise,qualitative,c9_epa_great_lakes,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
CSA-B2075-05,B,2075,climate_hazard_system,Lake-level sign remains uncertain and coastal management is selective rather than comprehensive.,projection envelope plus scenario adaptation premise,qualitative,c9_notaro_levels,moderate,moderate,fictional,No probability or deterministic future hazard value is assigned.
