dependency_id,technology_id,technology_family,dependency_class,dependency_role,dependency_label,affected_system_id,technology_status,evidence_class,regional_relevance,dependency_basis,limitation,governance_interface,uncertainty,source_id,notes
TDEP-001,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,compute,enabling,compute capacity,SYS-ENERGY,commercially emerging,INFERRED,emerging,"Compute capacity is an enabling dependency, not a guaranteed bottleneck.","Availability, allocation, and useful model performance are unresolved.","Decision support only; no autonomous legal, operational, or enforcement authority.","Model validity, data quality, compute access, operator trust, and deployment continuity are unresolved.",REG-PHASE3A-ENERGY,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-002,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,data,enabling,quality and provenance data,SYS-DATA,commercially emerging,INFERRED,emerging,"Useful intelligence requires data, provenance, and validation.",Data availability does not ensure permission or representativeness.,"Decision support only; no autonomous legal, operational, or enforcement authority.","Model validity, data quality, compute access, operator trust, and deployment continuity are unresolved.",REG-PHASE4B-INFO-GOV,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-003,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,communications,limiting,communications continuity,SYS-DATA,commercially emerging,INFERRED,emerging,Decision support depends on communications and data exchange.,No topology or failure probability is modeled.,"Decision support only; no autonomous legal, operational, or enforcement authority.","Model validity, data quality, compute access, operator trust, and deployment continuity are unresolved.",REG-PHASE3B-ENERGY-DEPENDENCIES,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-004,TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,skilled workforce,limiting,model stewardship and operator skill,SYS-GOVERNANCE,commercially emerging,INFERRED,emerging,"Human review, maintenance, and accountability are required.",Workforce capacity is not measured.,"Decision support only; no autonomous legal, operational, or enforcement authority.","Model validity, data quality, compute access, operator trust, and deployment continuity are unresolved.",REG-PHASE10A-GOVERNANCE,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-005,TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,electricity,enabling,sensor power,SYS-ENERGY,established,INFERRED,current,Measurement platforms require energy and maintenance.,No device-level load or redundancy is inferred.,Measurement supports interpretation and decisions; observation is not enforcement or authority.,"Coverage, calibration, timeliness, representativeness, and data stewardship vary.",REG-PHASE3B-ENERGY-DEPENDENCIES,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-006,TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,communications,enabling,data transmission,SYS-DATA,established,INFERRED,current,Networked observation requires communications and data stewardship.,No network topology is modeled.,Measurement supports interpretation and decisions; observation is not enforcement or authority.,"Coverage, calibration, timeliness, representativeness, and data stewardship vary.",REG-PHASE4A-DATA,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-007,TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,data,limiting,calibration and interpretation data,SYS-DATA,established,INFERRED,current,Measurement is distinct from interpretation and decision.,Coverage and quality are variable.,Measurement supports interpretation and decisions; observation is not enforcement or authority.,"Coverage, calibration, timeliness, representativeness, and data stewardship vary.",REG-PHASE4B-INFO-GOV,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-008,TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,physical infrastructure,limiting,platform access and maintenance,SYS-WATER,established,INFERRED,current,Field observation depends on access and maintained assets.,Facility-level condition is not represented.,Measurement supports interpretation and decisions; observation is not enforcement or authority.,"Coverage, calibration, timeliness, representativeness, and data stewardship vary.",REG-PHASE4A-DATA,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-009,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,communications,enabling,trusted communications,SYS-DATA,established,INFERRED,current,Defensive resilience requires trusted communications and authentication.,No offensive or exploit detail is modeled.,"Defensive risk management, accountability, continuity, and recovery; no offensive technique or attack procedure.","Asset inventories, redundancy, authentication coverage, recovery time, and cross-organization coordination are unresolved.",REG-PHASE4B-INFO-GOV,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
TDEP-010,TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,skilled workforce,limiting,security and recovery workforce,SYS-GOVERNANCE,established,INFERRED,current,Continuity and recovery depend on people and roles.,Staffing and performance are unresolved.,"Defensive risk management, accountability, continuity, and recovery; no offensive technique or attack procedure.","Asset inventories, redundancy, authentication coverage, recovery time, and cross-organization coordination are unresolved.",REG-PHASE10A-GOVERNANCE,"Dependency is not a guaranteed bottleneck, failure probability, risk, or benefit; capability and adoption remain separate."
