source_id,title,url,source_type,source_product,reference_year,release_year,estimate_period,geographic_scale,observed_estimated_modeled,retrieval_date,use_limitations
s11a_decennial_oh_pl,2020 Census P.L. 94-171 Ohio summary file,https://www2.census.gov/programs-surveys/decennial/2020/data/01-Redistricting_File--PL_94-171/Ohio/oh2020.pl.zip,federal_decennial,2020 Decennial Census P.L. 94-171 legacy summary file,2020,2021,2020-04-01 enumeration,county/place,observed,2026-09-08,P1 population and H1 housing-unit geography records; no ACS households or current estimate.
s11a_decennial_mi_pl,2020 Census P.L. 94-171 Michigan summary file,https://www2.census.gov/programs-surveys/decennial/2020/data/01-Redistricting_File--PL_94-171/Michigan/mi2020.pl.zip,federal_decennial,2020 Decennial Census P.L. 94-171 legacy summary file,2020,2021,2020-04-01 enumeration,county/place,observed,2026-09-08,P1 population and H1 housing-unit geography records; no ACS households or current estimate.
s11a_decennial_in_pl,2020 Census P.L. 94-171 Indiana summary file,https://www2.census.gov/programs-surveys/decennial/2020/data/01-Redistricting_File--PL_94-171/Indiana/in2020.pl.zip,federal_decennial,2020 Decennial Census P.L. 94-171 legacy summary file,2020,2021,2020-04-01 enumeration,county/place,observed,2026-09-08,P1 population and H1 housing-unit geography records; no ACS households or current estimate.
s11a_pep_county_2024,Population Estimates Program county totals,https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/counties/totals/co-est2024-alldata.csv,federal_estimates,2024 Vintage Population Estimates Program county totals,2024,2025,"July 1 annual estimates, 2020-2024",county,estimated,2026-09-08,Annual estimates are not decennial enumeration and are not a complete 2026 Census.
s11a_pep_place_2024,Population Estimates Program city and town totals,https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/cities/totals/sub-est2024.csv,federal_estimates,2024 Vintage Population Estimates Program city/place totals,2024,2025,"July 1 annual estimates, 2020-2024",place,estimated,2026-09-08,Annual place estimates are not decennial enumeration and may differ from 2020 Census counts.
s11a_acs_2024_5yr,Census Reporter ACS 2024 5-year API mirror,https://api.censusreporter.org/1.0/data/show/acs2024_5yr,federal_survey_api_mirror,ACS 2024 5-year detailed tables,2024,2025,2020-2024 5-year estimate period,county/place,estimated,2026-09-08,"Census Reporter is a programmatic mirror of Census ACS tables; values are estimates, not 2026 observations."
s11a_tiger_counties,Census TIGER/TIGERweb county geography,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html?layer=counties,federal_geography,Census TIGER county boundaries used by repository,2020,2020,2020 geography,county,observed,2026-09-08,"Boundary geometry is cartographic/statistical geography, not a utility service territory."
s11a_tiger_places,Census TIGER/TIGERweb incorporated-place geography,https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html?layer=places,federal_geography,Census TIGER place geography used by repository,2020,2020,2020 geography,place,observed,2026-09-08,Place geography is not an urbanized-area or municipal utility-service assignment.
s11b_acs_commute_2024,Census Reporter ACS commuting tables,"https://api.censusreporter.org/1.0/data/show/acs2024_5yr?tables=B08301,B08303",federal_survey_api_mirror,ACS 2024 5-year B08301/B08303 journey-to-work tables,2024,2025,2020-2024 5-year estimate period,county,estimated,2026-09-08,Residence-based survey commuting context; not migration or individual travel paths.
s11b_lodes_oh_wac,LEHD LODES 8.4 OH WAC,https://lehd.ces.census.gov/data/lodes/LODES8/oh/wac/oh_wac_S000_JT00_2023.csv.gz,federal_lehd,LODES 8.4 WAC 2023,2023,2025,2023,workplace block/county aggregate,modeled,2026-09-08,"LODES is tabulated/modelled administrative data with nonsampling error; aggregated here to generalized county interfaces, not individuals."
