assumption_id,scenario_id,scenario_family,horizon,axis,assumption,evidence_basis,source_or_basis,uncertainty,reality_status,canon_status,classification,numeric_future_value_adopted,notes
TFA-A2050-01,A2050,Coordinated Technological Adaptation,2050,technology_maturity,selective high maturity in priority interfaces,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,EXT-NIST-QIS,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2050-02,A2050,Coordinated Technological Adaptation,2050,regional_adoption,selective high-value adoption; no universal rollout,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,REG-PHASE14B-ATLAS,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2050-03,A2050,Coordinated Technological Adaptation,2050,infrastructure_adequacy,"resilient grid, compute, communications, and maintenance in priority nodes",Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,REG-PHASE3B-ENERGY-DEPENDENCIES,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2050-04,A2050,Coordinated Technological Adaptation,2050,interoperability,stronger shared standards and interface contracts,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,REG-PHASE14B-ATLAS,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2050-05,A2050,Coordinated Technological Adaptation,2050,governance_capacity,institutional capacity broadly keeps pace in selected systems,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,REG-PHASE10A-GOVERNANCE,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2050-06,A2050,Coordinated Technological Adaptation,2050,trust_legitimacy,trust is supported by transparent stewardship and human review,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,EXT-NIST-PRIVACY,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2050-07,A2050,Coordinated Technological Adaptation,2050,cyber_digital_resilience,defensive cybersecurity and recovery practices are coordinated,Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,EXT-CISA-CPG,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2050-08,A2050,Coordinated Technological Adaptation,2050,workforce_energy_material_capacity,"workforce, energy, materials, and maintenance investment are targeted",Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2050 is a plausible intermediate trajectory with selective high-value convergence and bounded institutional adaptation.,EXT-NIST-MANUFACTURING,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-01,A2075,Coordinated Technological Adaptation,2075,technology_maturity,mature capability in selected interoperable interfaces,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",EXT-NIST-QIS,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-02,A2075,Coordinated Technological Adaptation,2075,regional_adoption,broad but still selective adoption with residual gaps,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",REG-PHASE14B-ATLAS,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-03,A2075,Coordinated Technological Adaptation,2075,infrastructure_adequacy,maintained and redundant infrastructure in selected connected systems,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",REG-PHASE3B-ENERGY-DEPENDENCIES,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-04,A2075,Coordinated Technological Adaptation,2075,interoperability,mature interoperability where institutions sustain common rules,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",REG-PHASE14B-ATLAS,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-05,A2075,Coordinated Technological Adaptation,2075,governance_capacity,oversight and maintenance routines are institutionalized but bounded,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",REG-PHASE10A-GOVERNANCE,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-06,A2075,Coordinated Technological Adaptation,2075,trust_legitimacy,legitimacy is maintained through auditable use and visible recourse,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",EXT-NIST-PRIVACY,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-07,A2075,Coordinated Technological Adaptation,2075,cyber_digital_resilience,defensive transition and continuity practices are mature in selected systems,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",EXT-CISA-CPG,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
TFA-A2075-08,A2075,Coordinated Technological Adaptation,2075,workforce_energy_material_capacity,workforce and supply-chain institutions support sustained maintenance with friction,"Phase 15A accepted/frozen capability and interface baseline plus explicit qualitative scenario construction; 2075 is a wider-uncertainty scenario in which selected interoperability and maintenance routines have matured without eliminating cost, failure, or inequality.",EXT-NIST-MANUFACTURING,moderate,scenario,scenario,SCENARIO ASSUMPTION,false,"No exact deployment percentage, capacity, adoption rate, health outcome, or probability is assigned. Capability is not deployment; deployment is not adoption; adoption is not benefit."
