feedback_id,coupling_pair,feedback_class,evidence_basis,plausible_interaction,boundary,numeric_gain_or_stability_claim,notes
FC-16A-001,energy ↔ compute/data,scenario-conditioned,Phase 15B energy/data dependency states,energy continuity can condition compute/data observability and compute can increase energy coupling,no documented two-way operational loop in the frozen baseline; no gain or stability claim,false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-002,water ↔ energy,inferred,Phase 14 AR-3B-DEP-016-95a609bc,water-dependent energy operation is documented as a dependency; reverse influence is not separately established,"inventory is one-way-supported plus plausible context, not a closed dynamic loop",false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-003,industry ↔ freight/materials,scenario-conditioned,Phase 14 Atlas architecture and Phase 15 TDS-A2050-06,"industrial processing, feedstock, and logistics can condition one another in a scenario","no shipment quantity, capacity, or production loop is modeled",false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-004,population ↔ workforce,inferred,Phase 11B aggregate population/mobility context and Phase 15 workforce states,population/workplace context and workforce requirements are connected at aggregate scale,commuting is not migration; no individual or labor-market forecast,false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-005,sensing ↔ governance,inferred,Phase 14 AR-13B-IDB-012-50ef95ce,observation and stewardship can condition coordination while coordination conditions access and interpretation,"observation is not authority, enforcement, or control",false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-006,public health ↔ workforce,inferred,Phase 13B disease/governance and Phase 11B population context,surveillance/response strain and aggregate workforce continuity can interact,"no cases, absenteeism rate, incidence, or health-outcome forecast",false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-007,ecology ↔ water quality,inferred,Phase 14 conceptual BGC/ecology interface plus Phase 8 accepted context,water-quality/nutrient conditions and ecological observations can condition one another,"no bloom model, ecological score, abundance, or causal gain",false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-008,surveillance ↔ response coordination,inferred,Phase 13B AR-13B-IDB-006-1b416a5c and AR-13B-IDB-029-40f322e0,detection timing can condition coordination while coordination can condition reporting,surveillance is not incidence and response capacity is not absence of disease,false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-009,technology ↔ governance/trust,scenario-conditioned,Phase 15B governance states TGS-A2050-01 through TGS-C2050-06,"technology can improve observability or coordination while increasing privacy, trust, or authority friction",not a governance performance or legitimacy score,false,Inventory only; no dynamic simulation or runaway interpretation.
FC-16A-010,unresolved or unsupported loops,not currently supported,Phase 14 joinability and evidence rules,"no defensible current closed loop is selected for exact co-location, generic proximity, or unreferenced causation",do not interpret absence of a selected loop as absence of interaction,false,Inventory only; no dynamic simulation or runaway interpretation.
