technology_id,technology_family,technology_label,technology_status,capability_scope,current_or_emerging,regional_relevance,source_id,regional_evidence_source_id,evidence_class,governance_interface,adoption_boundary,uncertainty,notes
TECH-AI-COMPUTE,AI / ADVANCED COMPUTE / AUTOMATION,AI / advanced compute decision support,commercially emerging,"Models, optimization, forecasting, and decision-support tools for human-supervised use.",emerging,emerging,EXT-DOE-AI-RECOMMENDATIONS,REG-PHASE14B-ATLAS,OBSERVED_DOCUMENTED,"Decision support only; no autonomous legal, operational, or enforcement authority.",AI capability and compute capacity do not establish reliable deployment or useful intelligence.,"Model validity, data quality, compute access, operator trust, and deployment continuity are unresolved.","Regional interface is inferred from existing energy, data, water, freight, health, and governance systems; local AI deployment is not claimed."
TECH-AI-INDUSTRIAL-AUTOMATION,AI / ADVANCED COMPUTE / AUTOMATION,Industrial automation and machine-assisted operations,commercially emerging,"Machine-assisted inspection, scheduling, process optimization, and bounded automation.",emerging,emerging,EXT-NIST-MANUFACTURING,REG-PHASE5A-FREIGHT,OBSERVED_DOCUMENTED,Human/operator accountability remains separate from automated recommendation or actuation; automation is not autonomous authority.,A manufacturing capability is not evidence of adoption at a named Western Basin facility.,"Workforce, integration, safety validation, and continuity requirements are unresolved.","Phase 5 industrial and freight nodes provide the regional interface, not proof of advanced automation."
TECH-SENS-ENVIRONMENTAL,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Advanced environmental sensing and observing,established,"In-situ, remote, networked, and quality-controlled measurement of environmental conditions.",current,current,EXT-NOAA-IOOS,REG-PHASE4A-DATA,OBSERVED_DOCUMENTED,Measurement supports interpretation and decisions; observation is not enforcement or authority.,"A sensing platform measures; interpretation, decision, and enforcement remain separate steps.","Coverage, calibration, timeliness, representativeness, and data stewardship vary.",Existing Phase 4A public observation chains establish a current regional interface; no exhaustive advanced-sensor inventory is added.
TECH-SENS-AUTONOMOUS,ADVANCED SENSING / AUTONOMOUS SYSTEMS,Autonomous and mobile environmental observing,established,Autonomous or mobile platforms that collect environmental measurements or support bounded inspection.,emerging,emerging,EXT-NOAA-IOOS-GLIDERS,REG-PHASE3B-ENERGY-DEPENDENCIES,OBSERVED_DOCUMENTED,"Autonomous collection does not create decision authority, consent, or enforcement power.",Platform capability does not establish routine regional operation or reliable interpretation.,"Communications, battery/energy, weather, retrieval, safety, and data-quality dependencies are unresolved.","Potential interface to water, energy, freight, exposure, and infectious-disease observation systems remains qualitative."
TECH-CYBER-RESILIENCE,CYBERSECURITY / DIGITAL RESILIENCE,Defensive cybersecurity and digital resilience,established,"Asset identification, authentication, secure configuration, monitoring, continuity, recovery, and incident communication.",current,current,EXT-CISA-CPG,REG-PHASE14B-ATLAS,OBSERVED_DOCUMENTED,"Defensive risk management, accountability, continuity, and recovery; no offensive technique or attack procedure.","A framework or goal does not demonstrate implementation, maturity, or uninterrupted service.","Asset inventories, redundancy, authentication coverage, recovery time, and cross-organization coordination are unresolved.","Interfaces are intentionally kept at defensive/system-resilience level for water, grid, industry, freight, health, and municipal services."
TECH-CYBER-PQC,CYBERSECURITY / DIGITAL RESILIENCE,Post-quantum cryptographic transition,commercially emerging,Migration planning and deployment of quantum-resistant cryptographic standards and inventory practices.,emerging,emerging,EXT-NIST-PQC,REG-PHASE4B-INFO-GOV,OBSERVED_DOCUMENTED,"Trust, authentication, procurement, standards, and lifecycle governance; not a prediction of quantum attack timing.",Published standards and migration guidance do not prove local migration completion.,"Legacy inventories, vendor support, interoperability, cost, and migration sequencing are unresolved.","This is a defensive transition context connected to data and municipal systems, not an offensive cyber model."
TECH-ENERGY-ADVANCED-NUCLEAR,ADVANCED ENERGY,Advanced nuclear reactors,demonstration / pilot,Reactor concepts and demonstration programs intended to mature advanced nuclear generation.,emerging,speculative,EXT-DOE-ARDP,REG-PHASE3A-ENERGY,OBSERVED_DOCUMENTED,"Regulatory, siting, ownership, operation, fuel, and emergency-planning roles remain separate.","Demonstration support is not commercial availability, dependable regional generation, or local deployment.","Licensing, cost, fuel supply, cooling, workforce, interconnection, and public legitimacy are unresolved.",The regional interface is a strategic possibility over the frozen energy baseline; no new reactor is added to the basin inventory.
TECH-ENERGY-LDES,ADVANCED ENERGY,Long-duration and grid-scale energy storage,demonstration / pilot,Storage systems intended to shift energy across longer durations or support grid services.,emerging,emerging,EXT-DOE-ENERGY-STORAGE,REG-PHASE3B-ENERGY-DEPENDENCIES,OBSERVED_DOCUMENTED,"Storage service, dispatch, ownership, and grid authority remain distinct; no dispatch schedule is modeled.","A storage pathway does not establish duration, capacity, dispatch, or regional adoption.","Duration, degradation, materials, interconnection, market rules, and replacement supply are unresolved.",Phase 3 storage assets are reused context; this record does not alter their frozen capacity or status.
TECH-ENERGY-DISTRIBUTED,ADVANCED ENERGY,Distributed energy and microgrid coordination,commercially emerging,"Distributed generation, storage, controls, and continuity arrangements at generalized system level; this record uses accepted regional energy context rather than a national deployment claim.",emerging,emerging,REG-PHASE3A-ENERGY,REG-PHASE3A-ENERGY,CONTEXT_REUSED,"Coordination and continuity support do not imply feeder topology, automatic control, or service-territory assignment.","Capability does not establish a microgrid, islanding behavior, or dependable resilience benefit.","Interconnection, control trust, maintenance, fuel, storage duration, and ownership are unresolved.",The existing energy/grid/compute package is reused without rebuilding the energy system.
TECH-ENERGY-HYDROGEN,ADVANCED ENERGY,"Hydrogen production, storage, and use",demonstration / pilot,"Hydrogen as an energy carrier for selected industrial, storage, and heavy-transport interfaces.",emerging,speculative,EXT-DOE-H2HUBS,REG-PHASE5A-FREIGHT,OBSERVED_DOCUMENTED,"Production, delivery, end-use, safety, environmental permitting, and market coordination remain separate.",A national hub program is not evidence of a Western Basin hydrogen project or supply chain.,"Feedstock, water, electricity, storage, delivery, demand, and regional permitting are unresolved.","Hydrogen is retained as an emerging strategic interface, not a current regional deployment claim."
TECH-ENERGY-FUSION,ADVANCED ENERGY,Fusion energy research,research-stage,Research and development toward a future fusion energy source and supporting materials/diagnostics.,speculative,speculative,EXT-DOE-FUSION,REG-PHASE3A-ENERGY,OBSERVED_DOCUMENTED,"Research, regulation, commercialization, and operation remain distinct.","Research trajectory is not commercial availability, firm power, or current regional generation.","Foundational science, materials, fuel cycle, cost, licensing, and deployment pathway are unresolved.",Fusion is a bounded strategic watch item only; no current Western Basin fusion facility is represented.
TECH-MATERIALS-ADVANCED,ADVANCED MATERIALS / MANUFACTURING,Advanced materials and smart manufacturing,commercially emerging,"Measurement, process control, advanced materials, and manufacturing methods that may affect industrial products.",emerging,emerging,EXT-NIST-MANUFACTURING,REG-PHASE2-MATERIALS,OBSERVED_DOCUMENTED,"Standards, quality, safety, procurement, and ownership remain separate from production authority.",National manufacturing capability does not establish a named regional facility's process or product adoption.,"Feedstock, qualification, workforce, equipment, recycling, and market demand are unresolved.","Phase 2 materials and Phase 5 industry are reused as regional interface context; no capability is invented for Elmore, Woodville, Genoa, or Luckey."
TECH-MATERIALS-CIRCULAR,ADVANCED MATERIALS / MANUFACTURING,Sustainable circular materials management,established,"Life-cycle material reuse, recovery, and recycling interfaces.",emerging,emerging,EXT-EPA-SMM,REG-PHASE5A-FREIGHT,OBSERVED_DOCUMENTED,"Material certification, waste/recovery regulation, and production decisions remain role-bounded.",A plausible materials interface is not a documented local recycling or additive-manufacturing operation.,"Material recovery rates, quality, energy, water, waste classification, and customer demand are unresolved.",The interface remains system-level and non-quantitative.
TECH-QUANTUM-SENSING,QUANTUM TECHNOLOGIES,Quantum sensing and timing,research-stage,Quantum-enabled measurement and timing concepts for high-precision sensing or synchronization.,speculative,speculative,EXT-NIST-QIS,REG-PHASE4A-DATA,OBSERVED_DOCUMENTED,"Measurement standards, calibration, procurement, and interpretation remain separate.","Laboratory capability is not operational deployment in basin water, grid, or ecological monitoring.","Robustness, cost, calibration, field integration, and useful regional signal are unresolved.",Retained as a low-priority watch item with a defensible data/sensing interface.
TECH-QUANTUM-COMPUTING,QUANTUM TECHNOLOGIES,Quantum computing and optimization,research-stage,"Quantum-computing research and possible future optimization, simulation, or chemistry applications.",speculative,speculative,EXT-NIST-QIS,REG-PHASE3A-ENERGY,OBSERVED_DOCUMENTED,"Research, access, standards, and procurement remain distinct from operational decision authority.","Quantum research is not economically transformative application, useful intelligence, or local deployment.","Error correction, algorithms, access, cost, workforce, and comparative advantage are unresolved.","The regional interface is limited to compute, optimization, materials, and cryptographic transition context."
TECH-BIO-DIAGNOSTICS,BIOTECHNOLOGY / GENETIC ENGINEERING,Genomic diagnostics and environmental molecular monitoring,commercially emerging,"Sequencing, molecular detection, diagnostics, and bioinformatics for public-health or environmental interpretation.",emerging,emerging,EXT-CDC-AMD,REG-PHASE13A-DISEASE,OBSERVED_DOCUMENTED,"Laboratory quality, privacy, reporting, public communication, and response roles remain distinct.","National or state capacity does not establish a local laboratory result, disease incidence, or transmission finding.","Sampling, laboratory capacity, attribution, turnaround, data sharing, and interpretation are unresolved.","The record is high-level and does not include pathogen engineering, wet-lab protocols, or operational misuse detail."
TECH-BIO-BIOMANUFACTURING,BIOTECHNOLOGY / GENETIC ENGINEERING,Biomanufacturing and industrial biotechnology,commercially emerging,"Biological production pathways for materials, products, agriculture, or industrial processes.",emerging,speculative,EXT-NIST-MANUFACTURING,REG-PHASE2-MATERIALS,OBSERVED_DOCUMENTED,"Biosafety, quality, environmental review, intellectual property, and supply-chain oversight remain separate.","General biomanufacturing capability does not demonstrate a Western Basin plant, product, or economic effect.","Feedstocks, water, energy, containment, qualification, workforce, and markets are unresolved.",High-level industrial interface only; no biological production protocol is modeled.
TECH-DATA-GOVERNANCE,PRIVACY / SURVEILLANCE / DATA GOVERNANCE,"Privacy, surveillance, and data governance",established,"Data stewardship, privacy risk management, access control, provenance, retention, and accountable use of observations.",current,current,EXT-NIST-PRIVACY,REG-PHASE4B-INFO-GOV,OBSERVED_DOCUMENTED,Observation is not authority; data availability is not permission; technical capability is not legal authority.,"A framework or sensor network does not establish justified intervention, consent, or lawful use.","Data quality, legal basis, consent, access, interoperability, public trust, and retention are unresolved.",Phase 4 and Phase 10 are reused without creating a privacy-impact assessment or surveillance-state scenario.
